Nom,Marque,Prix,Description,Url,Url_image
Apple AirPods Pro 2e Génération 2023 avec Boîtier de charge MagSafe USB-C - Écouteurs sans fil,Apple,249€00,"Écouteurs True Wireless, intra-auriculaires, Bluetooth 5.3",https://www.materiel.net/produit/202309130355.html,https://media.materiel.net/r250/products/MN0006066912.jpg
Apple AirPods 2 avec boîtier de charge - Écouteurs sans fil,Apple,129€00,"Écouteurs True Wireless, intra-auriculaires, Bluetooth",https://www.materiel.net/produit/201903230013.html,https://media.materiel.net/r250/products/MN0005265154_1.jpg
JVC HA-F14 Blanc - Écouteurs,JVC,4€99,Écouteurs audio,https://www.materiel.net/produit/201504030029.html,https://media.materiel.net/r250/products/MN0005179853_1.jpg
JVC HA-FX10 Noir - Écouteurs,JVC,8€95,Écouteurs intra-auriculaires,https://www.materiel.net/produit/201504030031.html,https://media.materiel.net/r250/products/MN0005179862_1.jpg
Sony MDR-EX15AP Noir - Écouteurs,Sony,11€95,Écouteurs intra auriculaires,https://www.materiel.net/produit/201408180035.html,https://media.materiel.net/r250/products/MN0005181365_1.jpg
Apple AirPods 3 avec boîtier de charge MagSafe - Écouteurs sans fil,Apple,189€00,"Écouteurs True Wireless, intra-auriculaires, Bluetooth",https://www.materiel.net/produit/202110190030.html,https://media.materiel.net/r250/products/MN0005899270_1.jpg
Samsung Galaxy Buds2 Pro Noir - Écouteurs sans fil,Samsung,199€95,"Écouteurs True Wireless, intra-auriculaires, réduction de bruit, Bluetooth 5.3",https://www.materiel.net/produit/202207180028.html,https://media.materiel.net/r250/products/MN0005971365.jpg
Samsung Galaxy Buds Fe Noir - Écouteurs sans fil,Samsung,99€95,"Écouteurs True Wireless, intra-auriculaires, réduction de bruit, Bluetooth 5.2",https://www.materiel.net/produit/202309260036.html,https://media.materiel.net/r250/products/MN0006071418.jpg
StarTech.com Adaptateur casque avec prises ecouteur / micro,StarTech.com,12€95,"Adaptateur / Doubleur, Blanc",https://www.materiel.net/produit/201702280877.html,https://media.materiel.net/r250/products/MN0005045948_1.jpg
Sony MDR-EX110AP Noir - Écouteurs,Sony,19€94,Écouteurs intra auriculaires,https://www.materiel.net/produit/201408180048.html,https://media.materiel.net/r250/oproducts/AR201408180048_g1.jpg
