Nom,Marque,Prix,Description,Url,Url_image
Z200 - Noir,Logitech,39€90,Format : 2 HPCouleur : NoirInterface : Jack,https://www.grosbill.com/enceinte-pc/logitech-z200-noir-23127.aspx,/images_produits/8553dbea-52bd-49c2-a7ea-aeab8aa25f4e.jpg
960 USB,Logitech,29€90,Utilisation : BureautiqueType : Supra-auriculaireConnectivité : FilaireCouleur : NoirConnecteur : USBMicro : OuiTechnologie Audio : Stereo,https://www.grosbill.com/micro-casque/logitech-960-usb-26702.aspx,/images_produits/f1495804-54fe-42a2-886f-4a85f7570d94.jpg
Combo Helium,The G-LAB,28€99,Utilisation : GamerRétroéclairage : Avec rétroéclairageConnectivité : FilaireCouleur : NoirAlimentation souris et clavier : Filaire,https://www.grosbill.com/pack-clavier-souris/the-g-lab-combo-helium-33497.aspx,/images_produits/8b744303-c840-4990-9ec8-df61643722e9.png
Rallonge M/F Jack 3.5mm 4pts - 2m,StarTech,12€99,Connecteur 1 : Jack 3.5 FemelleConnecteur 2 : Jack 3.5Longueur Câble : 2m,https://www.grosbill.com/connectique-tv-hifi-video/startech-rallonge-m-f-jack-3-5mm-4pts-2m-51530.aspx,/images_produits/71cad0db-fd61-4e84-9e00-fa5c07cf16ab.jpg
H340 USB,Logitech,34€99,Utilisation : BureautiqueType : Supra-auriculaireConnectivité : FilaireCouleur : GrisConnecteur : USBMicro : OuiTechnologie Audio : Stereo,https://www.grosbill.com/micro-casque/logitech-h340-usb-23147.aspx,/images_produits/8761a5a9-50a6-4feb-a25b-dd9bfed6786e.jpg
Z623 - Noir,Logitech,153€99,Format : 2 HP + CaissonCouleur : NoirInterface : JackInterface : RCA,https://www.grosbill.com/enceinte-pc/logitech-z623-noir-15255.aspx,/images_produits/1aa8076e-ac52-4b72-ba9b-f74cc71672db.jpg
SPORT COACH WIRELESS SE Bleu,Jabra,118€90,,https://www.grosbill.com/micro-casque/jabra-sport-coach-wireless-se-bleu-50492.aspx,/images_produits/5587d686-a7e7-4999-ac31-a5bcae867386.jpg
SC 135,Sennheiser,49€99,Utilisation : ProType : Supra-auriculaireConnectivité : FilaireCouleur : NoirConnecteur : USBConnecteur : Jack 3.5Micro : OuiTechnologie Audio : Mono,https://www.grosbill.com/micro-casque/sennheiser-sc-135-46985.aspx,/images_produits/97c2621f-2186-4144-8598-e62db38d1de3.jpg
H110 Stereo,Logitech,14€90,Utilisation : BureautiqueType : Supra-auriculaireConnectivité : FilaireCouleur : GrisConnecteur : Jack 3.5Micro : OuiTechnologie Audio : Stereo,https://www.grosbill.com/micro-casque/logitech-h110-stereo-23145.aspx,/images_produits/d91892cb-e3d6-44bb-a260-63af3cfb93d0.jpg
Z150 - Blanc,Logitech,34€90,Format : 2 HPCouleur : BlancInterface : Jack,https://www.grosbill.com/enceinte-pc/logitech-z150-blanc-22984.aspx,/images_produits/f4261b48-15f8-4743-a59a-fc13a5dc8101.jpg
Airpods 2 avec boitier de charge filaire,Apple,129€,Type : Ecouteur,https://www.grosbill.com/accessoire-telephonie/apple-airpods-2-avec-boitier-de-charge-filaire-37324.aspx,/images_produits/d818739f-e3f7-4fe6-9b14-3bf7ccec1fe3.jpg
ECOUTEURS MICRO INTRA AURICULAI,V7,15€35,,https://www.grosbill.com/micro-casque/v7-ecouteurs-micro-intra-auriculai-43737.aspx,/images_produits/c8d2ce16-65c6-425c-b59c-591ee76146ad.jpg
ECOUTEURS INTRA AURICULAI JACK,V7,12€95,,https://www.grosbill.com/micro-casque/v7-ecouteurs-intra-auriculai-jack-43735.aspx,/images_produits/42169f3a-d18f-4119-8ffd-2e68e1ab64ff.jpg
Z150 - Noir,Logitech,32€99,Format : 2 HPCouleur : NoirInterface : Jack,https://www.grosbill.com/enceinte-pc/logitech-z150-noir-22983.aspx,/images_produits/ce99ecdc-0398-4659-b711-ce30280117c5.jpg
