Nom,Marque,Prix,Description,Url,Url_image
BUNDLE PRIME B760-PLUS + Core i7-14700KF,Asus,579€99,Gamme processeur : Intel Core i7Socket : INTEL LGA1700Format Carte-mère : ATXChipset : INTEL B760Constructeur GPU : Intel,https://www.grosbill.com/kit-upgrade-pc/asus-bundle-prime-b760-plus-core-i7-14700kf-141074.aspx,/images_produits/7b14b54f-2f42-4200-9820-fe69ab9564ce.png
BUNDLE PRIME B760-PLUS D4 + Core i5-14600KF,Asus,459€99,Gamme processeur : Intel Core i5Socket : INTEL LGA1700Format Carte-mère : ATXChipset : INTEL B760Constructeur GPU : Intel,https://www.grosbill.com/kit-upgrade-pc/asus-bundle-prime-b760-plus-d4-core-i5-14600kf-141065.aspx,/images_produits/4d37d7f0-fe50-4f4e-955f-e2d0473e9a14.png
PRIME Z790-P,Asus,219€99,Utilisation : GamerUtilisation : ProSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : Sans WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR5LED : RGB,https://www.grosbill.com/carte-mere/asus-prime-z790-p-125681.aspx,/images_produits/b574d288-104b-4afb-9c7f-912200c804c9.jpg
PRIME Z790-A WIFI,Asus,299€99,Utilisation : GamerUtilisation : ProSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR5LED : RGB,https://www.grosbill.com/carte-mere/asus-prime-z790-a-wifi-125679.aspx,/images_produits/8cf5259a-cb58-43a4-800e-8420a1b46f74.jpg
TUF GAMING Z790-PLUS WIFI,Asus,289€99,Utilisation : GamerUtilisation : ProSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR5LED : Non RGB,https://www.grosbill.com/carte-mere/asus-tuf-gaming-z790-plus-wifi-125676.aspx,/images_produits/58bdb2c3-6d28-4e0d-b381-554cf610afef.jpg
ROG STRIX Z790-E GAMING WIFI,Asus,529€99,Utilisation : GamerUtilisation : ProSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR5LED : RGB,https://www.grosbill.com/carte-mere/asus-rog-strix-z790-e-gaming-wifi-125663.aspx,/images_produits/0c8b67e9-1068-4276-8e02-d1dbc1ee8e0e.jpg
GeForce TUF RTX 4080 SUPER 16G GAMING,Asus,1189€99,,https://www.grosbill.com/carte-graphique/asus-geforce-tuf-rtx-4080-super-16g-gaming-138827.aspx,/images_produits/0425d587-edb2-455c-816b-d6f91bba13b5.jpg
TUF GAMING Z790-PRO WIFI,Asus,319€99,Utilisation : GamerUtilisation : ProSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR5LED : Non RGB,https://www.grosbill.com/carte-mere/asus-tuf-gaming-z790-pro-wifi-136942.aspx,/images_produits/d96214b5-eb62-44c9-8012-c2d41b36b499.jpg
VivoBook 17 P1704ZA-AU137X BLEU,Asus,649€90,"Utilisation : ProTaille PC Portable : 17.3""Résolution : 1920x1080Mémoire RAM : 8 GoProcesseur : INTEL Core i3SSD : SSD 240/256 GoOS : Windows 11 PROChipset graphique : Intel Intégré",https://www.grosbill.com/pc-portable/asus-vivobook-17-p1704za-au137x-bleu-136824.aspx,/images_produits/1b1f008d-cb75-43ee-a3b0-2b1831d2cba3.jpg
PROART Z790-CREATOR WIFI,Asus,529€99,Utilisation : ProUtilisation : Art GraphiqueSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR5Nombre de Port M2 : 4,https://www.grosbill.com/carte-mere/asus-proart-z790-creator-wifi-131796.aspx,/images_produits/49d5d16a-60a1-4187-9914-c0f6be8c2611.jpg
