Nom,Marque,Prix,Description,Url,Url_image
Asus TUF VG249Q1A,Asus,169€95,"24"", IPS, 16:9, 1920 x 1080 (FHD), 1 ms, 165 Hz, FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202111030105.html,https://media.materiel.net/r250/products/MN0005911467_1.jpg
Asus TUF VG279Q1A,Asus,209€95,"27"", IPS, 16:9, 1920 x 1080 (FHD), 1 ms, 165 Hz, FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202007070027.html,https://media.materiel.net/r250/products/MN0005697875_1.jpg
Asus PCE-AX1800,Asus,39€95,"PCI-Express, Sans fil (Wi-Fi 6), Bluetooth 5.2",https://www.materiel.net/produit/202202240027.html,https://media.materiel.net/r250/products/MN0005934187_1.jpg
Asus TUF GAMING B760-PLUS WIFI,Asus,205€95,Intel B760 - Socket LGA1700 - ATX - Wi-Fi 6ax - Compatible processeurs Intel Core 12 et 13ème génération - Support DDR5,https://www.materiel.net/produit/202307180094.html,https://media.materiel.net/r250/products/MN0006055304.jpg
Asus VG27AQ3A,Asus,279€95,"27"", IPS, 16:9, 2560 x 1440 (WQHD), 1 ms, 180 Hz, HDR, G-Sync/FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202306200022.html,https://media.materiel.net/r250/products/MN0006053285.jpg
Asus PCE-AX3000,Asus,49€96,"PCI-Express, Sans fil (Wi-Fi 6)",https://www.materiel.net/produit/202011060086.html,https://media.materiel.net/r250/products/MN0005764084_1.jpg
Asus GeForce RTX 4060 Ti DUAL OC,Asus,449€95,"GeForce RTX 4060 Ti, PCI-Express 4.0 x8, 8 Go GDDR6, DLSS 3",https://www.materiel.net/produit/202305100029.html,https://media.materiel.net/r250/products/MN0006038623.jpg
Asus GeForce RTX 4060 DUAL OC,Asus,359€95,"GeForce RTX 4060, PCI-Express 4.0 8x, 8 Go GDDR6, DLSS 3",https://www.materiel.net/produit/202306200059.html,https://media.materiel.net/r250/products/MN0006047700.jpg
Asus PRIME B650-Plus,Asus,189€95,AMD B650 - Socket AM5 - ATX - Raphael - Compatible processeurs AMD Ryzen 7000,https://www.materiel.net/produit/202210070071.html,https://media.materiel.net/r250/products/MN0005986148.jpg
ASUS Vivobook 16 S1605VA-MB574W,ASUS,999€95,"PC portable, 16"", IPS, Full HD+, 16:10, 60 Hz, Core i9-13900H, RAM 24 Go, SSD 1 To, Windows 11, 1,88 kg",https://www.materiel.net/produit/202310310110.html,https://media.materiel.net/r250/products/MN0006095848_0006103730.jpg
Asus TUF VG27AQ,Asus,309€90,"27"", IPS, 16:9, 2560 x 1440 (WQHD), 1 ms, 165 Hz, HDR, FreeSync/G-Sync, HDMI/DisplayPort",https://www.materiel.net/produit/201908290045.html,https://media.materiel.net/r250/products/MN0005748171_1.jpg
Asus TUF GAMING B550-PLUS,Asus,149€95,"Socket AM4, 2 ports PCI-Express 16x, 3200 MHz (DDR4), 2 ports M.2 , 2 ports USB 3.2 Gen 2, ATX",https://www.materiel.net/produit/202005250069.html,https://media.materiel.net/r250/products/MN0005686345_1.jpg
Asus GeForce RTX 4070 DUAL OC,Asus,649€95,"GeForce RTX 4070, PCI-Express 16x, 12 Go GDDR6X, DLSS 3",https://www.materiel.net/produit/202303080040.html,https://media.materiel.net/r250/products/MN0006030784.jpg
Asus PRIME B760-PLUS,Asus,164€95,Intel B760 - Socket LGA1700 - ATX - Compatible processeurs Intel Core 12 et 13ème génération - Support DDR5,https://www.materiel.net/produit/202307180093.html,https://media.materiel.net/r250/products/MN0006055359.jpg
ASUS Zenbook Pro 15 OLED UM3504DA-MA447W,ASUS,999€95,"PC portable, 15.6"", OLED, 2880 x 1620, 120 Hz, Ryzen 7 7735U, RAM 16 Go, SSD 1 To, Windows 11, 1,40 kg",https://www.materiel.net/produit/202310310115.html,https://media.materiel.net/r250/products/MN0006035321_0006104852.jpg
Asus ROG Strix G18 G814JV-N5159W,Asus,2 049€95,"PC portable gamer, 18"", IPS, 1920 x 1200 (Full HD+), 16:10, 165 Hz, Core i9-13980HX, RTX 4060, RAM 32 Go, SSD 1 To, Windows 11, 3 kg",https://www.materiel.net/produit/202310310055.html,https://media.materiel.net/r250/products/MN0006109082_0006109615.jpg
Asus VA24EHF,Asus,109€95,"23.8"", IPS, 16:9, 1920 x 1080 (FHD), 1 ms (MPRT), 100Hz, HDMI",https://www.materiel.net/produit/202306190101.html,https://media.materiel.net/r250/products/MN0006051560.jpg
Asus TUF Gaming A17 TUF707XI-HX016W,Asus,1 899€95,"Gamer, 17"", IPS, Full HD, 144 Hz, Ryzen 9 7940HS, RTX 4070, RAM 16 Go, SSD 1 To, Windows 11, 2,60 kg",https://www.materiel.net/produit/202306260172.html,https://media.materiel.net/r250/products/MN0006056137.jpg
Asus ROG STRIX G16 G614JV-N4426W,Asus,1 999€94,"PC portable gamer, 16"", IPS, 2560 x 1600 (QHD+), 16:10, 240 Hz, Core i9-13980HX, RTX 4060, RAM 32 Go, SSD 1 To, Windows 11, 2.50 kg",https://www.materiel.net/produit/202310310046.html,https://media.materiel.net/r250/products/MN0006112594.jpg
Asus ROG STRIX B760-F GAMING WI-FI,Asus,259€95,Intel B760 - Socket LGA1700 - ATX - Wi-Fi 6E - Compatible processeurs Intel Core 12 et 13ème génération - Support DDR5,https://www.materiel.net/produit/202211250025.html,https://media.materiel.net/r250/products/MN0006004477.jpg
Asus GeForce RTX 4060 DUAL OC WHITE,Asus,364€95,"GeForce RTX 4060, PCI-Express 4.0 8x, 8 Go GDDR6, DLSS 3",https://www.materiel.net/produit/202310100059.html,https://media.materiel.net/r250/products/MN0006074170.jpg
