Nom,Marque,Prix,Description,Url,Url_image
GeForce TUF RTX 4080 SUPER O16G GAMING,Asus,1349€90,,https://www.cybertek.fr/carte-graphique/asus-geforce-tuf-rtx-4080-super-o16g-gaming-138828.aspx,https://www.cybertek.fr/images_produits/2d7c3e74-5338-4870-8e4b-3085ab308700.jpg
GeForce TUF RTX 4080 SUPER 16G GAMING,Asus,1194€99,,https://www.cybertek.fr/carte-graphique/asus-geforce-tuf-rtx-4080-super-16g-gaming-138827.aspx,https://www.cybertek.fr/images_produits/0425d587-edb2-455c-816b-d6f91bba13b5.jpg
GeForce RTX 4060 DUAL O8G,Asus,354€99,Utilisation : GamerConstructeur GPU : NVIDIAGPU : NVIDIA GF RTX 4060Sorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 8GoRefroidissement : ActifLongueur GPU : 230 mm,https://www.cybertek.fr/carte-graphique/asus-geforce-rtx-4060-dual-o8g-134574.aspx,https://www.cybertek.fr/images_produits/121e0e9a-5008-47b7-9107-0ab11eff2b7d.jpg
PRIME B660-PLUS D4,Asus,129€99,Utilisation : ProUtilisation : MultimédiaSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : Sans WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR4LED : Non RGB,https://www.cybertek.fr/carte-mere/asus-prime-b660-plus-d4-99318.aspx,https://www.cybertek.fr/images_produits/40ee06b3-9609-4578-bf87-279fa42a5d0f.jpg
VivoBook 15 P1500ZA-BQ1330X,Asus,749€90,"Utilisation : ProTaille PC Portable : 15.6""Résolution : 1920x1080Mémoire RAM : 8 GoProcesseur : INTEL Core i5SSD : SSD 240/256 GoOS : Windows 11 PROChipset graphique : Intel Intégré",https://www.cybertek.fr/pc-portable/asus-vivobook-15-p1500za-bq1330x-134907.aspx,https://www.cybertek.fr/images_produits/c5b7014d-c1bf-4521-b546-fe3ea8552e72.jpg
DUAL RTX 4060 Ti O8G,Asus,459€99,Utilisation : GamerConstructeur GPU : NVIDIAGPU : NVIDIA GF RTX 4060 TiSorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 8GoRefroidissement : ActifLongueur GPU : 230 mm,https://www.cybertek.fr/carte-graphique/asus-dual-rtx-4060-ti-o8g-133673.aspx,https://www.cybertek.fr/images_produits/ee03e45c-da0c-4fe9-9a23-ed8f05a71d8a.jpg
Adaptateur USB pour Bluetooth V5.0 USB-BT500,Asus,19€90,Connecteur 2 : BluetoothConnecteur 1 : USB 3.0Longueur Câble : 0.0m,https://www.cybertek.fr/connectique-pc/asus-adaptateur-usb-pour-bluetooth-v5-0-usb-bt500-47653.aspx,https://www.cybertek.fr/images_produits/ae1d439f-25c4-47a7-9372-391f7225483b.jpg
Chargeur secteur ASUS 100% compatible 90W,Port,49€99,Type : Adaptateur Alim.,https://www.cybertek.fr/accessoire-pc-portable/port-chargeur-secteur-asus-100-compatible-90w-46474.aspx,https://www.cybertek.fr/images_produits/afd91f83-9dcc-4830-ba57-58fead9975e5.jpg
PCE-AXE5400 - Wi-Fi 6E AX5400,Asus,59€90,Interface : PCI-ENorme : Wi-Fi 6EPOE (Power Over Ethernet) : Sans POEExterne/Interne : Interne,https://www.cybertek.fr/carte-reseau/asus-pce-axe5400-wi-fi-6e-ax5400-139456.aspx,https://www.cybertek.fr/images_produits/4a673d67-d5f5-4588-8eba-ca2ee5487dfa.jpg
PRIME B760-PLUS D4,Asus,154€99,Utilisation : BureautiqueUtilisation : GamerSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : Sans WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR4LED : RGB,https://www.cybertek.fr/carte-mere/asus-prime-b760-plus-d4-129240.aspx,https://www.cybertek.fr/images_produits/51d6c4a8-dc3a-4d61-bb51-cfdfa1bc3d51.jpg
VivoBook 17 X1701CEA-BX893W - Sacoche et Souris inclus,Asus,549€90,"Utilisation : BureautiqueTaille PC Portable : 17.3""Résolution : 1600x900Mémoire RAM : 8 GoProcesseur : INTEL Core i3SSD : SSD 480/512 GoOS : Windows 11Chipset graphique : Intel Intégré",https://www.cybertek.fr/pc-portable/asus-vivobook-17-x1701cea-bx893w-sacoche-et-souris-inclus-135158.aspx,https://www.cybertek.fr/images_produits/97f05189-dacc-479f-9a7c-d2d1e9d3933d.png
Radeon DUAL RX 7600 O8G V2,Asus,319€99,Utilisation : BureautiqueUtilisation : GamerConstructeur GPU : AMDGPU : AMD Radeon RX 7600Sorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 8GoRefroidissement : Actif,https://www.cybertek.fr/carte-graphique/asus-radeon-dual-rx-7600-o8g-v2-135201.aspx,https://www.cybertek.fr/images_produits/d4d1a43a-d6ab-46d7-9cb7-872920d2d7b3.png
TUF GAMING B760-PLUS WIFI D4,Asus,199€90,Utilisation : BureautiqueUtilisation : GamerSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR4LED : RGB,https://www.cybertek.fr/carte-mere/asus-tuf-gaming-b760-plus-wifi-d4-129239.aspx,https://www.cybertek.fr/images_produits/95f3c0e0-3b7e-4440-9581-01eb5242ae6d.jpg
GeForce TUF RTX 4070Ti SUPER 16G GAMING,Asus,944€99,Utilisation : GamerConstructeur GPU : NVIDIAGPU : NVIDIA GF RTX 4070Ti SUPERSorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 16GoRefroidissement : Actif,https://www.cybertek.fr/carte-graphique/asus-geforce-tuf-rtx-4070ti-super-16g-gaming-138824.aspx,https://www.cybertek.fr/images_produits/50e3d5ea-29ef-4d6c-84f0-88f326477e17.jpg
PRIME A520M-K,Asus,79€99,Utilisation : BureautiqueUtilisation : ProUtilisation : MultimédiaSocket : AMD AM4Format Carte-mère : Micro-ATXConnectivité : Sans WifiNombre de barrettes RAM : 2Norme Mémoire RAM : DDR4,https://www.cybertek.fr/carte-mere/asus-prime-a520m-k-50022.aspx,https://www.cybertek.fr/images_produits/9cad7882-f25d-476e-96c9-e7952488ad17.jpg
GeForce DUAL RTX 4070 SUPER 12G,Asus,719€99,Utilisation : GamerConstructeur GPU : NVIDIAGPU : NVIDIA GF RTX 4070 SUPERSorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 12GoRefroidissement : ActifLongueur GPU : 268 mm,https://www.cybertek.fr/carte-graphique/asus-geforce-dual-rtx-4070-super-12g-138817.aspx,https://www.cybertek.fr/images_produits/cf74045c-398c-47f9-b382-dde58344f815.jpg
