Nom,Marque,Prix,Description,Url,Url_image
"AppleiPhone 14, Smartphone",Apple,"€ 917,00","Affichage: 15,4 cm (6,1 pouce)Processeur: Apple A15 BionicAppareil photo: 12 MP + 12 MPCaméra frontale: 12 MP",https://www.alternate.fr/Apple/iPhone-14-Smartphone/html/product/1905448,https://www.alternate.fr/p/200x200/8/4/Apple_iPhone_14__Smartphone@@1905448.jpg
"AppleiPhone 14 Pro, Smartphone",Apple,"€ 1.209,00","Affichage: 15,5 cm (6,1 pouce)Processeur: Apple A16 BionicAppareil photo: 48 MP + 12 MP + 12 MPCaméra frontale: 12 MP",https://www.alternate.fr/Apple/iPhone-14-Pro-Smartphone/html/product/1881635,https://www.alternate.fr/p/200x200/5/3/Apple_iPhone_14_Pro__Smartphone@@1881635.jpg
"PanzerGlassiPhone 14/13/13 Pro - Classic Fit, Film de protection",PanzerGlass,"€ 16,99",adapté aux: SmartphoneTexture: Brillant,https://www.alternate.fr/PanzerGlass/iPhone-14-13-13-Pro-Classic-Fit-Film-de-protection/html/product/1875295,https://www.alternate.fr/p/200x200/5/9/PanzerGlass_iPhone_14_13_13_Pro___Classic_Fit__Film_de_protection@@1875295.jpg
"AppleiPhone 14, Smartphone",Apple,"€ 747,00","Affichage: 15,4 cm (6,1 pouce)Processeur: Apple A15 BionicAppareil photo: 12 MP + 12 MPCaméra frontale: 12 MP",https://www.alternate.fr/Apple/iPhone-14-Smartphone/html/product/1866562,https://www.alternate.fr/p/200x200/2/6/Apple_iPhone_14__Smartphone@@1866562.jpg
"AppleiPhone 14, Smartphone",Apple,"€ 757,00","Affichage: 15,4 cm (6,1 pouce)Processeur: Apple A15 BionicAppareil photo: 12 MP + 12 MPCaméra frontale: 12 MP",https://www.alternate.fr/Apple/iPhone-14-Smartphone/html/product/1866560,https://www.alternate.fr/p/200x200/0/6/Apple_iPhone_14__Smartphone@@1866560.jpg
"AppleiPhone 14, Smartphone",Apple,"€ 765,00","Affichage: 15,4 cm (6,1 pouce)Processeur: Apple A15 BionicAppareil photo: 12 MP + 12 MPCaméra frontale: 12 MP",https://www.alternate.fr/Apple/iPhone-14-Smartphone/html/product/1866500,https://www.alternate.fr/p/200x200/0/0/Apple_iPhone_14__Smartphone@@1866500.jpg
"AppleiPhone 14, Smartphone",Apple,"€ 765,00","Affichage: 15,4 cm (6,1 pouce)Processeur: Apple A15 BionicAppareil photo: 12 MP + 12 MPCaméra frontale: 12 MP",https://www.alternate.fr/Apple/iPhone-14-Smartphone/html/product/1866499,https://www.alternate.fr/p/200x200/9/9/Apple_iPhone_14__Smartphone@@1866499.jpg
"AppleiPhone 13, Téléphone",Apple,"€ 642,00","Affichage: 15,4 cm (6,1 pouce)Processeur: Apple A15 BionicAppareil photo: 12 MP + 12 MPCaméra frontale: 12 MP",https://www.alternate.fr/Apple/iPhone-13-Téléphone/html/product/1833614,https://www.alternate.fr/p/200x200/4/1/Apple_iPhone_13__T_l_phone@@1833614.jpg
"AppleiPhone SE (2022), Smartphone",Apple,"€ 524,00","Affichage: 11,94 cm (4,7 pouce)Processeur: Apple A15 BionicAppareil photo: 12 MPCaméra frontale: 7 MP",https://www.alternate.fr/Apple/iPhone-SE-(2022)-Smartphone/html/product/1830668,https://www.alternate.fr/p/200x200/8/6/Apple_iPhone_SE__2022___Smartphone@@1830668_30.jpg
"AppleiPhone SE (2022), Smartphone",Apple,"€ 521,00","Affichage: 11,94 cm (4,7 pouce)Processeur: Apple A15 BionicAppareil photo: 12 MPCaméra frontale: 7 MP",https://www.alternate.fr/Apple/iPhone-SE-(2022)-Smartphone/html/product/1830667,https://www.alternate.fr/p/200x200/7/6/Apple_iPhone_SE__2022___Smartphone@@1830667_30.jpg
