Nom,Marque,Prix,Description,Url,Url_image
Classic Desktop MK120,Logitech,24€49,Utilisation : BureautiqueRétroéclairage : Sans rétroéclairageConnectivité : FilaireCouleur : NoirAlimentation souris et clavier : Filaire,https://www.cybertek.fr/pack-clavier-souris/logitech-classic-desktop-mk120-15075.aspx,https://www.cybertek.fr/images_produits/419eb504-e0cb-4889-9773-436047a7d750.jpg
Wireless Desktop MK270,Logitech,34€90,Utilisation : BureautiqueRétroéclairage : Sans rétroéclairageConnectivité : Sans filCouleur : NoirAlimentation souris et clavier : Filaire,https://www.cybertek.fr/pack-clavier-souris/logitech-wireless-desktop-mk270-21927.aspx,https://www.cybertek.fr/images_produits/85b086c3-7bf4-41db-a942-4e3b41884e0e.jpg
GTA-210 RGB,Advance,19€90,Utilisation : GamerCouleur : NoirCouleur : RGBConnectivité : FilaireType de clavier : ClassiqueRétroéclairé : RétroéclairéInterface avec le PC : USB 2.0,https://www.cybertek.fr/clavier-pc/advance-gta-210-rgb-47129.aspx,https://www.cybertek.fr/images_produits/31f04aa1-e546-4ef3-80f2-34979960de24.jpg
Keyz Rubidium-E,The G-LAB,69€90,Utilisation : GamerCouleur : RGBConnectivité : FilaireType de clavier : MécaniqueRétroéclairé : RétroéclairéInterface avec le PC : USB 2.0,https://www.cybertek.fr/clavier-pc/the-g-lab-keyz-rubidium-e-34454.aspx,https://www.cybertek.fr/images_produits/62fe3b20-399a-4c08-9b18-e09a4fb50757.jpg
Combo Tungsten - Souris/clavier/sans fil/RGB,The G-LAB,49€90,Utilisation : GamerRétroéclairage : Avec rétroéclairageConnectivité : Sans filCouleur : NoirAlimentation souris et clavier : Batterie rechargeable,https://www.cybertek.fr/pack-clavier-souris/the-g-lab-combo-tungsten-souris-clavier-sans-fil-rgb-51701.aspx,https://www.cybertek.fr/images_produits/403dcf2b-0584-48fd-ab4f-389f9c4857a5.jpg
Wireless MK235,Logitech,37€99,Utilisation : BureautiqueRétroéclairage : Sans rétroéclairageConnectivité : Sans filCouleur : NoirCouleur : GrisAlimentation souris et clavier : Filaire,https://www.cybertek.fr/pack-clavier-souris/logitech-wireless-mk235-28875.aspx,https://www.cybertek.fr/images_produits/dfba3453-2523-4629-8d1e-cce2e457ac5d.jpg
K120 OEM Noir,Logitech,15€50,Utilisation : BureautiqueCouleur : NoirConnectivité : FilaireType de clavier : ClassiqueRétroéclairé : Non rétroéclairéInterface avec le PC : USB 2.0Interface avec le PC : USB 1.1,https://www.cybertek.fr/clavier-pc/logitech-k120-oem-noir-17469.aspx,https://www.cybertek.fr/images_produits/d9707ae5-0a20-4a53-aadc-cdd32a582c14.jpg
MK650 Offwhite Signature - Wireless combo,Logitech,69€99,Utilisation : BureautiqueUtilisation : ProRétroéclairage : Sans rétroéclairageConnectivité : Sans filCouleur : BlancAlimentation souris et clavier : Filaire,https://www.cybertek.fr/pack-clavier-souris/logitech-mk650-offwhite-signature-wireless-combo-121842.aspx,https://www.cybertek.fr/images_produits/abfe0edc-2728-40c1-a9fe-26aa62d22c1b.jpg
Keyz Neon,The G-LAB,19€90,Utilisation : BureautiqueUtilisation : GamerCouleur : NoirConnectivité : FilaireType de clavier : ClassiqueRétroéclairé : Non rétroéclairéInterface avec le PC : USB 2.0,https://www.cybertek.fr/clavier-pc/the-g-lab-keyz-neon-33376.aspx,https://www.cybertek.fr/images_produits/b32b5978-1b73-4afc-a8d5-c1792f5f1d3e.jpg
Wireless Combo MK330,Logitech,59€90,Utilisation : BureautiqueRétroéclairage : Sans rétroéclairageConnectivité : Sans filCouleur : NoirAlimentation souris et clavier : Filaire,https://www.cybertek.fr/pack-clavier-souris/logitech-wireless-combo-mk330-21662.aspx,https://www.cybertek.fr/images_produits/95ba1ddc-ede4-445f-8d85-ff4bbc43d4d5.jpg
MK650 Graphite Signature - Wireless combo,Logitech,69€99,Utilisation : BureautiqueUtilisation : ProRétroéclairage : Sans rétroéclairageConnectivité : Sans filCouleur : NoirAlimentation souris et clavier : Filaire,https://www.cybertek.fr/pack-clavier-souris/logitech-mk650-graphite-signature-wireless-combo-121841.aspx,https://www.cybertek.fr/images_produits/d4cfd9d2-75a8-4cc6-821c-07919aa39b40.jpg
Wireless Office Pack,Bluestork,17€90,Utilisation : BureautiqueRétroéclairage : Sans rétroéclairageConnectivité : Sans filCouleur : NoirAlimentation souris et clavier : Filaire,https://www.cybertek.fr/pack-clavier-souris/bluestork-wireless-office-pack-37345.aspx,https://www.cybertek.fr/images_produits/1ae8d8f7-3cea-4fcf-8962-09a3ca76641d.jpg
Aurora G715 TKL Blanc,Logitech,209€90,Utilisation : GamerCouleur : BlancConnectivité : Sans filType de clavier : MécaniqueRétroéclairé : Non rétroéclairéInterface avec le PC : BlueTooth,https://www.cybertek.fr/clavier-pc/logitech-aurora-g715-tkl-blanc-124849.aspx,https://www.cybertek.fr/images_produits/46e29361-fef6-4f2f-b40c-b14b442e2af2.jpg
MX Graphite,Logitech,139€90,Utilisation : BureautiqueCouleur : NoirCouleur : GrisConnectivité : Sans filType de clavier : MécaniqueRétroéclairé : RétroéclairéInterface avec le PC : BlueTooth,https://www.cybertek.fr/clavier-pc/logitech-mx-graphite-120829.aspx,https://www.cybertek.fr/images_produits/c94e8a3a-fadc-4bbd-87ef-48fdf6427f66.jpg
G915 TKL Lightspeed Noir,Logitech,199€90,Utilisation : GamerCouleur : NoirConnectivité : Sans filType de clavier : MécaniqueRétroéclairé : RétroéclairéInterface avec le PC : USB 2.0,https://www.cybertek.fr/clavier-pc/logitech-g915-tkl-lightspeed-noir-91730.aspx,https://www.cybertek.fr/images_produits/e9682e88-5da8-4776-a1f9-c2d770ac879c.jpg
MX Keys Mac Gris,Logitech,124€90,Utilisation : BureautiqueCouleur : GrisConnectivité : Sans filType de clavier : ClassiqueRétroéclairé : RétroéclairéInterface avec le PC : USB 2.0Interface avec le PC : BlueTooth,https://www.cybertek.fr/clavier-pc/logitech-mx-keys-mac-gris-50032.aspx,https://www.cybertek.fr/images_produits/988aee68-ab21-4265-b4b7-44466c484f98.jpg
Wireless Desktop MK270-Seconde Vie-Très Bon Etat,Logitech,33€14,Utilisation : BureautiqueRétroéclairage : Sans rétroéclairageConnectivité : Sans filCouleur : NoirAlimentation souris et clavier : Filaire,https://www.cybertek.fr/pack-clavier-souris/logitech-wireless-desktop-mk270-seconde-vie-tres-bon-etat-141455.aspx,https://www.cybertek.fr/images_produits/85b086c3-7bf4-41db-a942-4e3b41884e0e.jpg
Pop Keys Violet,Logitech,94€90,Utilisation : BureautiqueCouleur : VioletConnectivité : Sans filType de clavier : MécaniqueRétroéclairé : Non rétroéclairéInterface avec le PC : BlueTooth,https://www.cybertek.fr/clavier-pc/logitech-pop-keys-violet-99134.aspx,https://www.cybertek.fr/images_produits/4217e4f8-7ca2-447b-bda1-89c357801ac4.jpg
MX Keys Mini Graphite,Logitech,109€99,Utilisation : BureautiqueCouleur : NoirConnectivité : Sans filType de clavier : ClassiqueRétroéclairé : RétroéclairéInterface avec le PC : BlueTooth,https://www.cybertek.fr/clavier-pc/logitech-mx-keys-mini-graphite-92439.aspx,https://www.cybertek.fr/images_produits/ac9da1c1-3056-498c-a32f-22d25fd1c8b8.jpg
MX Keys Mini Gris,Logitech,94€90,Utilisation : BureautiqueCouleur : GrisConnectivité : Sans filType de clavier : ClassiqueRétroéclairé : RétroéclairéInterface avec le PC : BlueTooth,https://www.cybertek.fr/clavier-pc/logitech-mx-keys-mini-gris-92438.aspx,https://www.cybertek.fr/images_produits/95482bad-99e4-4708-97d1-5c3752a392d2.jpg
