Nom,Marque,Prix,Description,Url,Url_image
Logitech G213 Prodigy,Logitech,59€95,"Clavier gamer, Classique, Filaire, Classique (Membrane), 16,8 millions de couleurs",https://www.materiel.net/produit/201609020053.html,https://media.materiel.net/r250/products/MN0005061954_1.jpg
Logitech K120 for Business,Logitech,15€95,"Bureautique, Classique, Filaire, Classique (Membrane)",https://www.materiel.net/produit/201009100037.html,https://media.materiel.net/r250/oproducts/AR201009100037_g1.jpg
Logitech K120,Logitech,15€95,"Bureautique, Classique, Filaire, Classique (Membrane)",https://www.materiel.net/produit/201007200098.html,https://media.materiel.net/r250/oproducts/AR201007200098_g1.jpg
Logitech K280e,Logitech,26€95,"Bureautique, Classique, Filaire, PC portable (Chiclet)",https://www.materiel.net/produit/201604220037.html,https://media.materiel.net/r250/products/MN0005646111_1.jpg
Logitech K270,Logitech,39€95,"Bureautique, Classique, Sans-fil, Classique (Membrane)",https://www.materiel.net/produit/201202100152.html,https://media.materiel.net/r250/oproducts/AR201202100152_g1.jpg
Logitech K400 Plus - Noir,Logitech,52€95,"Home-Cinéma, TKL, Sans-fil, Classique (Membrane)",https://www.materiel.net/produit/201506120113.html,https://media.materiel.net/r250/products/MN0005062028_1.jpg
Logitech G915 TKL Lightspeed - GL Tactile - Carbone,Logitech,199€95,"Clavier gamer, TKL, Sans-fil, Mécanique (Switchs), GL Tactile, 16,8 millions de couleurs",https://www.materiel.net/produit/202009250083.html,https://media.materiel.net/r250/products/MN0006118487.jpg
Logitech G512 - GX Blue,Logitech,129€95,"Clavier gamer, Classique, Filaire, Mécanique (Switches), GX Blue, 16,8 millions de couleurs",https://www.materiel.net/produit/202105030042.html,https://media.materiel.net/r250/products/MN0005587625_1_0005840310.jpg
Logitech Signature K650 - Graphite,Logitech,49€96,"Clavier bureautique membrane, Sans-fil",https://www.materiel.net/produit/202207250009.html,https://media.materiel.net/r250/products/MN0006062748.jpg
Logitech G413 TKL SE - Kaihua Brown,Logitech,79€95,"Clavier gamer TKL mécanique, Filaire, Switchs Kaihua Brown",https://www.materiel.net/produit/202206010097.html,https://media.materiel.net/r250/products/MN0005959300.jpg
Logitech MX Keys S - Graphite,Logitech,119€95,"Clavier bureautique chiclet, Sans-fil",https://www.materiel.net/produit/202305160006.html,https://media.materiel.net/r250/products/MN0006062731.jpg
Logitech MX Keys S - Gris pâle,Logitech,119€95,"Clavier bureautique chiclet, Sans-fil",https://www.materiel.net/produit/202305160007.html,https://media.materiel.net/r250/products/MN0006062741.jpg
Logitech Signature K650 - Blanc,Logitech,49€96,"Clavier bureautique membrane, Sans-fil",https://www.materiel.net/produit/202207250010.html,https://media.materiel.net/r250/products/MN0006062753.jpg
Logitech G915 Lightspeed - GL Clicky,Logitech,269€95,"Clavier gamer, Classique, Sans-fil, Mécanique (Switchs), GL Clicky, 16,8 millions de couleurs",https://www.materiel.net/produit/201909040014.html,https://media.materiel.net/r250/products/MN0006118464.jpg
Logitech G413 SE - Kaihua Brown,Logitech,89€95,"Clavier gamer mécanique, Filaire, Switchs Kaihua Brown",https://www.materiel.net/produit/202212120005.html,https://media.materiel.net/r250/products/MN0006062675.jpg
Logitech MX Keys S Plus - Graphite,Logitech,129€95,"Clavier bureautique chiclet, Sans-fil",https://www.materiel.net/produit/202305160008.html,https://media.materiel.net/r250/products/MN0006062747.jpg
Logitech MX Mechanical,Logitech,179€95,"Bureautique, Classique, Sans-fil, Mécanique (Switchs)",https://www.materiel.net/produit/202205120079.html,https://media.materiel.net/r250/products/MN0005958709.jpg
Logitech K750 Solar,Logitech,99€95,"Bureautique, Classique, Sans-fil, PC portable (Chiclet)",https://www.materiel.net/produit/201012210021.html,https://media.materiel.net/r250/oproducts/AR201012210021_g1.jpg
Logitech G513 - GX Brown,Logitech,169€95,"Clavier gamer, Classique, Filaire, Mécanique (Switchs), GX Brown, 16,8 millions de couleurs",https://www.materiel.net/produit/202007060095.html,https://media.materiel.net/r250/oproducts/AR201802270083_g1_0005694413.jpg
Logitech MX Keys pour Mac,Logitech,124€95,"Bureautique, Classique, Sans-fil, PC portable (Chiclet)",https://www.materiel.net/produit/202006260013.html,https://media.materiel.net/r250/products/MN0005729066_1.jpg
Logitech G915 TKL Lightspeed - GL Clicky,Logitech,239€95,"Clavier gamer, TKL, Sans-fil, Mécanique (Switchs), GL Clicky, 16,8 millions de couleurs",https://www.materiel.net/produit/202010190126.html,https://media.materiel.net/r250/products/MN0006118474.jpg
Logitech G915 TKL Lightspeed - GL Tactile - Blanc,Logitech,239€95,"Clavier gamer, TKL, Sans-fil, Mécanique (Switchs), GL Tactile, 16,8 millions de couleurs",https://www.materiel.net/produit/202012160029.html,https://media.materiel.net/r250/products/MN0006118455.jpg
Logitech K860 Ergo,Logitech,119€95,"Bureautique, Classique, Sans-fil, Classique (Membrane)",https://www.materiel.net/produit/202102160184.html,https://media.materiel.net/r250/products/MN0005825772_1.jpg
Logitech MX Keys Mini - Rose,Logitech,109€96,"Clavier bureautique TKL chiclet, Sans-fil",https://www.materiel.net/produit/202109130084.html,https://media.materiel.net/r250/products/MN0005893004_1.jpg
Logitech MX Keys Mini pour Mac - Gris pâle,Logitech,119€95,"Bureautique, TKL, Sans-fil, PC portable (Chiclet)",https://www.materiel.net/produit/202110040014.html,https://media.materiel.net/r250/products/MN0005892993_1_0005901674.jpg
Logitech POP Keys - Blast,Logitech,99€95,"Bureautique, TKL, Sans-fil, Mécanique (Switchs), Brown",https://www.materiel.net/produit/202112210006.html,https://media.materiel.net/r250/products/MN0005917920_1.jpg
Logitech POP Keys - Heartbreaker,Logitech,99€95,"Bureautique, TKL, Sans-fil, Mécanique (Switchs), Brown",https://www.materiel.net/produit/202112210007.html,https://media.materiel.net/r250/products/MN0005917929_1.jpg
Logitech POP Keys - Daydream,Logitech,99€95,"Bureautique, TKL, Sans-fil, Mécanique (Switchs), Brown",https://www.materiel.net/produit/202112210008.html,https://media.materiel.net/r250/products/MN0005917933_1.jpg
Logitech MX Mechanical Mini,Logitech,139€95,"Bureautique, TKL, Sans-fil, Mécanique (Switchs)",https://www.materiel.net/produit/202205120080.html,https://media.materiel.net/r250/products/MN0005958705.jpg
Logitech MX Mechanical Mini for Mac - Gris Pâle,Logitech,159€95,"Bureautique, TKL, Sans-fil, Mécanique (Switchs)",https://www.materiel.net/produit/202209210068.html,https://media.materiel.net/r250/products/MN0005999973.jpg
Logitech MX Mechanical Mini for Mac - Gris Sidéral,Logitech,159€95,"Bureautique, TKL, Sans-fil, Mécanique (Switchs)",https://www.materiel.net/produit/202209210067.html,https://media.materiel.net/r250/products/MN0005999978.jpg
Logitech G Pro X TKL - GX Brown - Noir,Logitech,229€95,"Clavier gamer TKL mécanique, Sans-fil, Switchs GX Brown, Rétro-éclairage RGB",https://www.materiel.net/produit/202307180120.html,https://media.materiel.net/r250/products/MN0006061260.jpg
Logitech Wave Keys - Graphite,Logitech,79€96,"Clavier bureautique membrane, Sans-fil",https://www.materiel.net/produit/202310100061.html,https://media.materiel.net/r250/products/MN0006117947.jpg
Logitech G Pro X 60 Lightspeed - Logitech GX Tactile - Noir,Logitech,199€95,"Clavier gamer TKL optique, Sans-fil, Switchs Logitech GX Tactile, Rétroéclairage RGB",https://www.materiel.net/produit/202403080232.html,https://media.materiel.net/r250/products/MN0006126729.jpg
