Nom,Marque,Prix,Description,Url,Url_image
"AOCC24G2AE/BK 24"" 24"" incurvé Gaming Moniteur",AOC,"€ 157,90",Surface visible: 60 cm (24 pouce)Résolution: 1920 x 1080 PixelTemps de réponse: 1 ms (MPRT)Format: 16:9,https://www.alternate.fr/AOC/C24G2AE-BK-2Zoll-2Zoll-incurvé-Gaming-Moniteur/html/product/1671659,https://www.alternate.fr/p/200x200/9/5/AOC_C24G2AE_BK_24__24__incurv__Gaming_Moniteur@@1671659.jpg
"AOCC24G2AE/BK 24"" 24"" incurvé Gaming Moniteur",AOC,"€ 157,90",Surface visible: 60 cm (24 pouce)Résolution: 1920 x 1080 PixelTemps de réponse: 1 ms (MPRT)Format: 16:9,https://www.alternate.fr/AOC/C24G2AE-BK-2Zoll-2Zoll-incurvé-Gaming-Moniteur/html/product/1671659,https://www.alternate.fr/p/200x200/9/5/AOC_C24G2AE_BK_24__24__incurv__Gaming_Moniteur@@1671659.jpg
"AOCC27G2ZE/BK 27"" incurvé Gaming Moniteur",AOC,"€ 238,90",Surface visible: 69 cm (27 pouce)Résolution: 1920 x 1080 PixelTemps de réponse: 0.5 ms (MPRT)Format: 16:9,https://www.alternate.fr/AOC/C27G2ZE-BK-2Zoll-incurvé-Gaming-Moniteur/html/product/1650430,https://www.alternate.fr/p/200x200/v/AOC_C27G2ZE_BK_27__incurv__Gaming_Moniteur@@v6lm53.jpg
"AOCC27G2ZE/BK 27"" incurvé Gaming Moniteur",AOC,"€ 238,90",Surface visible: 69 cm (27 pouce)Résolution: 1920 x 1080 PixelTemps de réponse: 0.5 ms (MPRT)Format: 16:9,https://www.alternate.fr/AOC/C27G2ZE-BK-2Zoll-incurvé-Gaming-Moniteur/html/product/1650430,https://www.alternate.fr/p/200x200/v/AOC_C27G2ZE_BK_27__incurv__Gaming_Moniteur@@v6lm53.jpg
"ASUSTUF Gaming VG289Q 28"" 4K Ultra HD Gaming Moniteur",ASUS,"€ 339,00",Surface visible: 71 cm (28 pouce)Résolution: 3840 x 2160 PixelTemps de réponse: 5 ms (GtG)Format: 16:9,https://www.alternate.fr/ASUS/TUF-Gaming-VG289Q-2Zoll-4K-Ultra-HD-Gaming-Moniteur/html/product/1600479,https://www.alternate.fr/p/200x200/v/ASUS_TUF_Gaming_VG289Q_28__4K_Ultra_HD_Gaming_Moniteur@@v6lo98.jpg
"ASUSTUF Gaming VG289Q 28"" 4K Ultra HD Gaming Moniteur",ASUS,"€ 339,00",Surface visible: 71 cm (28 pouce)Résolution: 3840 x 2160 PixelTemps de réponse: 5 ms (GtG)Format: 16:9,https://www.alternate.fr/ASUS/TUF-Gaming-VG289Q-2Zoll-4K-Ultra-HD-Gaming-Moniteur/html/product/1600479,https://www.alternate.fr/p/200x200/v/ASUS_TUF_Gaming_VG289Q_28__4K_Ultra_HD_Gaming_Moniteur@@v6lo98.jpg
"ASUSTUF Gaming VG27VQ 27"" Curved 27"" incurvé Gaming Moniteur",ASUS,"€ 246,90",Surface visible: 69 cm (27 pouce)Résolution: 1920 x 1080 PixelTemps de réponse: 1 ms (MPRT)Format: 16:9,https://www.alternate.fr/ASUS/TUF-Gaming-VG27VQ-2Zoll-Curved-2Zoll-incurvé-Gaming-Moniteur/html/product/1595460,https://www.alternate.fr/p/200x200/v/ASUS_TUF_Gaming_VG27VQ_27__Curved_27__incurv__Gaming_Moniteur@@v6lo93.jpg
"ASUSTUF Gaming VG27VQ 27"" Curved 27"" incurvé Gaming Moniteur",ASUS,"€ 246,90",Surface visible: 69 cm (27 pouce)Résolution: 1920 x 1080 PixelTemps de réponse: 1 ms (MPRT)Format: 16:9,https://www.alternate.fr/ASUS/TUF-Gaming-VG27VQ-2Zoll-Curved-2Zoll-incurvé-Gaming-Moniteur/html/product/1595460,https://www.alternate.fr/p/200x200/v/ASUS_TUF_Gaming_VG27VQ_27__Curved_27__incurv__Gaming_Moniteur@@v6lo93.jpg
"TechniSatTV-SAT Diviseur de câbles Argent, Jaune, Distributeur",TechniSat,"€ 9,29","Article: DistributeurEntrées et sorties: 2x Entrée F-plug, 1x Sortie F-plugGamme de fréquence: 5 - 2400 MHz",https://www.alternate.fr/TechniSat/TV-SAT-Diviseur-de-câbles-Argent-Jaune-Distributeur/html/product/1617938,https://www.alternate.fr/p/200x200/x/TechniSat_TV_SAT_Diviseur_de_c_bles_Argent__Jaune__Distributeur@@xkzt48.jpg
"TechniSatTV-SAT Diviseur de câbles Argent, Jaune, Distributeur",TechniSat,"€ 9,29","Article: DistributeurEntrées et sorties: 2x Entrée F-plug, 1x Sortie F-plugGamme de fréquence: 5 - 2400 MHz",https://www.alternate.fr/TechniSat/TV-SAT-Diviseur-de-câbles-Argent-Jaune-Distributeur/html/product/1617938,https://www.alternate.fr/p/200x200/x/TechniSat_TV_SAT_Diviseur_de_c_bles_Argent__Jaune__Distributeur@@xkzt48.jpg
"GIGABYTEFI32U 32"" 4K Ultra HD Gaming Moniteur",GIGABYTE,"€ 874,00",Surface visible: 80 cm (32 pouce)Résolution: 3840 x 2160 PixelTemps de réponse: 1 ms (GtG)Format: 16:9,https://www.alternate.fr/AORUS/FI32U-3Zoll-4K-Ultra-HD-Gaming-Moniteur/html/product/1768291,https://www.alternate.fr/p/200x200/1/9/GIGABYTE_FI32U_32__4K_Ultra_HD_Gaming_Moniteur@@1768291_30.jpg
"GIGABYTEFI32U 32"" 4K Ultra HD Gaming Moniteur",GIGABYTE,"€ 874,00",Surface visible: 80 cm (32 pouce)Résolution: 3840 x 2160 PixelTemps de réponse: 1 ms (GtG)Format: 16:9,https://www.alternate.fr/AORUS/FI32U-3Zoll-4K-Ultra-HD-Gaming-Moniteur/html/product/1768291,https://www.alternate.fr/p/200x200/1/9/GIGABYTE_FI32U_32__4K_Ultra_HD_Gaming_Moniteur@@1768291_30.jpg
"AppleTV 4K (3e gen) Wi‑Fi, Boxe de streaming",Apple,"€ 159,90","Type d’appareil: Le streaming clientCommunication: Bluetooth, WLANCaractéristiques: AirPlaySorties: 1x HDMI",https://www.alternate.fr/Apple/TV-4K-(3e-gen)-WiFi-Boxe-de-streaming/html/product/1876237,https://www.alternate.fr/p/200x200/7/3/Apple_TV_4K__3e_gen__Wi_Fi__Boxe_de_streaming@@1876237.jpg
"AppleTV 4K (3e gen) Wi‑Fi, Boxe de streaming",Apple,"€ 159,90","Type d’appareil: Le streaming clientCommunication: Bluetooth, WLANCaractéristiques: AirPlaySorties: 1x HDMI",https://www.alternate.fr/Apple/TV-4K-(3e-gen)-WiFi-Boxe-de-streaming/html/product/1876237,https://www.alternate.fr/p/200x200/7/3/Apple_TV_4K__3e_gen__Wi_Fi__Boxe_de_streaming@@1876237.jpg
"AppleTV 4K (3e generation) Wi‑Fi + Ethernet, Boxe de streaming",Apple,"€ 184,90","Type d’appareil: Le streaming clientCommunication: Bluetooth, WLANCaractéristiques: AirPlaySorties: 1x HDMI",https://www.alternate.fr/Apple/TV-4K-(3e-generation)-WiFi-plus-Ethernet-Boxe-de-streaming/html/product/1876230,https://www.alternate.fr/p/200x200/0/3/Apple_TV_4K__3e_generation__Wi_Fi___Ethernet__Boxe_de_streaming@@1876230.jpg
"AppleTV 4K (3e generation) Wi‑Fi + Ethernet, Boxe de streaming",Apple,"€ 184,90","Type d’appareil: Le streaming clientCommunication: Bluetooth, WLANCaractéristiques: AirPlaySorties: 1x HDMI",https://www.alternate.fr/Apple/TV-4K-(3e-generation)-WiFi-plus-Ethernet-Boxe-de-streaming/html/product/1876230,https://www.alternate.fr/p/200x200/0/3/Apple_TV_4K__3e_generation__Wi_Fi___Ethernet__Boxe_de_streaming@@1876230.jpg
"PhilipsTV 65"" Philips OLED 65OLED986/12",Philips,"€ 2.179,00","Classe d'efficacité énergétique: GSurface visible: 164 cm (65"")Résolution: 3840 x 2160 PixelFormat: 16:9",https://www.alternate.fr/Philips/TV-6Zoll-Philips-OLED-65OLED986-12/html/product/100054912,https://www.alternate.fr/p/200x200/2/1/Philips_TV_65__Philips_OLED_65OLED986_12@@100054912.jpg
"PhilipsTV 65"" Philips OLED 65OLED986/12",Philips,"€ 2.179,00","Classe d'efficacité énergétique: GSurface visible: 164 cm (65"")Résolution: 3840 x 2160 PixelFormat: 16:9",https://www.alternate.fr/Philips/TV-6Zoll-Philips-OLED-65OLED986-12/html/product/100054912,https://www.alternate.fr/p/200x200/2/1/Philips_TV_65__Philips_OLED_65OLED986_12@@100054912.jpg
"PhilipsTV 65"" Philips OLED 65OLED908/12",Philips,"€ 2.409,00","Classe d'efficacité énergétique: GSurface visible: 164 cm (65"")Résolution: 3840 x 2160 PixelFormat: 16:9",https://www.alternate.fr/Philips/TV-6Zoll-Philips-OLED-65OLED908-12/html/product/100054910,https://www.alternate.fr/p/200x200/nopic/751/TV@@nopic_751.png
