Nom,Marque,Prix,Description,Url,Url_image
"AppleAirPods (3.Generation), Casque/Écouteur",Apple,"€ 183,90","Conception: Earbuds Écouteurs intra-auriculairesAdapté: iPad, iPhone, iPod, MacintoshConnexion sans fil: Ja, via BluetoothConnexion par câble: 1x Lightning",https://www.alternate.fr/Apple/AirPods-(3-Generation)-Casque-Écouteur/html/product/1867556,https://www.alternate.fr/p/200x200/6/5/Apple_AirPods__3_Generation___Casque__couteur@@1867556_30.jpg
"AppleAirPods (3.Generation), Casque/Écouteur",Apple,"€ 183,90","Conception: Earbuds Écouteurs intra-auriculairesAdapté: iPad, iPhone, iPod, MacintoshConnexion sans fil: Ja, via BluetoothConnexion par câble: 1x Lightning",https://www.alternate.fr/Apple/AirPods-(3-Generation)-Casque-Écouteur/html/product/1867556,https://www.alternate.fr/p/200x200/6/5/Apple_AirPods__3_Generation___Casque__couteur@@1867556_30.jpg
"AppleAirPods Pro (2ème génération), Casque/Écouteur",Apple,"€ 278,00","Conception: Dans l’oreille Écouteurs intra-auriculairesAdapté: iPad, iPhone, iPod, Macintosh, VoyageConnexion sans fil: Ja, via Bluetooth, TWS (True Wireless)Connexion par câble: 1x Lightning",https://www.alternate.fr/Apple/AirPods-Pro-(2ème-génération)-Casque-Écouteur/html/product/1867530,https://www.alternate.fr/p/200x200/0/3/Apple_AirPods_Pro__2_me_g_n_ration___Casque__couteur@@1867530.jpg
"AppleAirPods Pro (2ème génération), Casque/Écouteur",Apple,"€ 278,00","Conception: Dans l’oreille Écouteurs intra-auriculairesAdapté: iPad, iPhone, iPod, Macintosh, VoyageConnexion sans fil: Ja, via Bluetooth, TWS (True Wireless)Connexion par câble: 1x Lightning",https://www.alternate.fr/Apple/AirPods-Pro-(2ème-génération)-Casque-Écouteur/html/product/1867530,https://www.alternate.fr/p/200x200/0/3/Apple_AirPods_Pro__2_me_g_n_ration___Casque__couteur@@1867530.jpg
"AppleAirPods 3e Gen, Casque/Écouteur",Apple,"€ 195,90","Conception: Earbuds Écouteurs intra-auriculairesAdapté: iPad, iPhone, iPod, MacintoshConnexion sans fil: Ja, via BluetoothConnexion par câble: 1x Lightning",https://www.alternate.fr/Apple/AirPods-3e-Gen-Casque-Écouteur/html/product/1793045,https://www.alternate.fr/p/200x200/5/4/Apple_AirPods_3e_Gen__Casque__couteur@@1793045.jpg
"AppleAirPods 3e Gen, Casque/Écouteur",Apple,"€ 195,90","Conception: Earbuds Écouteurs intra-auriculairesAdapté: iPad, iPhone, iPod, MacintoshConnexion sans fil: Ja, via BluetoothConnexion par câble: 1x Lightning",https://www.alternate.fr/Apple/AirPods-3e-Gen-Casque-Écouteur/html/product/1793045,https://www.alternate.fr/p/200x200/5/4/Apple_AirPods_3e_Gen__Casque__couteur@@1793045.jpg
"AppleAirPods Max, Casque/Écouteur",Apple,"€ 546,00","Conception: Over-Ear Support de casqueAdapté: iPad, iPhone, iPod, MacintoshConnexion sans fil: Ja, via BluetoothType de casque: fermé",https://www.alternate.fr/Apple/AirPods-Max-Casque-Écouteur/html/product/1703686,https://www.alternate.fr/p/200x200/6/8/Apple_AirPods_Max__Casque__couteur@@1703686.jpg
"AppleAirPods Max, Casque/Écouteur",Apple,"€ 546,00","Conception: Over-Ear Support de casqueAdapté: iPad, iPhone, iPod, MacintoshConnexion sans fil: Ja, via BluetoothType de casque: fermé",https://www.alternate.fr/Apple/AirPods-Max-Casque-Écouteur/html/product/1703686,https://www.alternate.fr/p/200x200/6/8/Apple_AirPods_Max__Casque__couteur@@1703686.jpg
"AppleAirPods Max, Casque/Écouteur",Apple,"€ 546,00","Conception: Over-Ear Support de casqueAdapté: iPad, iPhone, iPod, MacintoshConnexion sans fil: Ja, via BluetoothType de casque: fermé",https://www.alternate.fr/Apple/AirPods-Max-Casque-Écouteur/html/product/1703685,https://www.alternate.fr/p/200x200/5/8/Apple_AirPods_Max__Casque__couteur@@1703685.jpg
"AppleAirPods Max, Casque/Écouteur",Apple,"€ 546,00","Conception: Over-Ear Support de casqueAdapté: iPad, iPhone, iPod, MacintoshConnexion sans fil: Ja, via BluetoothType de casque: fermé",https://www.alternate.fr/Apple/AirPods-Max-Casque-Écouteur/html/product/1703685,https://www.alternate.fr/p/200x200/5/8/Apple_AirPods_Max__Casque__couteur@@1703685.jpg
"AppleAirPods Max, Casque/Écouteur",Apple,"€ 546,00","Conception: Over-Ear Support de casqueAdapté: iPad, iPhone, iPod, MacintoshConnexion sans fil: Ja, via BluetoothType de casque: fermé",https://www.alternate.fr/Apple/AirPods-Max-Casque-Écouteur/html/product/1703684,https://www.alternate.fr/p/200x200/4/8/Apple_AirPods_Max__Casque__couteur@@1703684.jpg
"AppleAirPods Max, Casque/Écouteur",Apple,"€ 546,00","Conception: Over-Ear Support de casqueAdapté: iPad, iPhone, iPod, MacintoshConnexion sans fil: Ja, via BluetoothType de casque: fermé",https://www.alternate.fr/Apple/AirPods-Max-Casque-Écouteur/html/product/1703684,https://www.alternate.fr/p/200x200/4/8/Apple_AirPods_Max__Casque__couteur@@1703684.jpg
"AppleAirPods Max, Casque/Écouteur",Apple,"€ 546,00","Conception: Over-Ear Support de casqueAdapté: iPad, iPhone, iPod, MacintoshConnexion sans fil: Ja, via BluetoothType de casque: fermé",https://www.alternate.fr/Apple/AirPods-Max-Casque-Écouteur/html/product/1703681,https://www.alternate.fr/p/200x200/1/8/Apple_AirPods_Max__Casque__couteur@@1703681.jpg
"AppleAirPods Max, Casque/Écouteur",Apple,"€ 546,00","Conception: Over-Ear Support de casqueAdapté: iPad, iPhone, iPod, MacintoshConnexion sans fil: Ja, via BluetoothType de casque: fermé",https://www.alternate.fr/Apple/AirPods-Max-Casque-Écouteur/html/product/1703681,https://www.alternate.fr/p/200x200/1/8/Apple_AirPods_Max__Casque__couteur@@1703681.jpg
"AppleAirPods 2de Gen, Casque/Écouteur",Apple,"€ 127,90","Conception: Earbuds Écouteurs intra-auriculairesAdapté: iPad, iPhone, iPod, MacintoshConnexion sans fil: Ja, via Bluetooth, TWS (True Wireless)Type de casque: fermé",https://www.alternate.fr/Apple/AirPods-2de-Gen-Casque-Écouteur/html/product/1534072,https://www.alternate.fr/p/200x200/9/Apple_AirPods_2de_Gen__Casque__couteur@@9akkla0g.jpg
"AppleAirPods 2de Gen, Casque/Écouteur",Apple,"€ 127,90","Conception: Earbuds Écouteurs intra-auriculairesAdapté: iPad, iPhone, iPod, MacintoshConnexion sans fil: Ja, via Bluetooth, TWS (True Wireless)Type de casque: fermé",https://www.alternate.fr/Apple/AirPods-2de-Gen-Casque-Écouteur/html/product/1534072,https://www.alternate.fr/p/200x200/9/Apple_AirPods_2de_Gen__Casque__couteur@@9akkla0g.jpg
"AppleAirPods Pro (2e génération) avec étui de charge MagSafe (USB-C), Casque/Écouteur",Apple,"€ 257,00","Conception: Dans l’oreille Écouteurs intra-auriculairesAdapté: iPad, iPhone, iPod, Macintosh, VoyageConnexion sans fil: Ja, via Bluetooth, TWS (True Wireless)Connexion par câble: 1x USB-C",https://www.alternate.fr/Apple/AirPods-Pro-(2e-génération)-avec-étui-de-charge-MagSafe-(USB-C)-Casque-Écouteur/html/product/100015992,https://www.alternate.fr/p/200x200/2/9/Apple_AirPods_Pro__2e_g_n_ration__avec__tui_de_charge_MagSafe__USB_C___Casque__couteur@@100015992.jpg
"AppleAirPods Pro (2e génération) avec étui de charge MagSafe (USB-C), Casque/Écouteur",Apple,"€ 257,00","Conception: Dans l’oreille Écouteurs intra-auriculairesAdapté: iPad, iPhone, iPod, Macintosh, VoyageConnexion sans fil: Ja, via Bluetooth, TWS (True Wireless)Connexion par câble: 1x USB-C",https://www.alternate.fr/Apple/AirPods-Pro-(2e-génération)-avec-étui-de-charge-MagSafe-(USB-C)-Casque-Écouteur/html/product/100015992,https://www.alternate.fr/p/200x200/2/9/Apple_AirPods_Pro__2e_g_n_ration__avec__tui_de_charge_MagSafe__USB_C___Casque__couteur@@100015992.jpg
"AppleAirPods Max, Casque/Écouteur",Apple,"€ 546,00","Conception: Over-Ear Support de casqueAdapté: iPad, iPhone, iPod, MacintoshConnexion sans fil: Ja, via BluetoothType de casque: fermé",https://www.alternate.fr/Apple/AirPods-Max-Casque-Écouteur/html/product/1703683,https://www.alternate.fr/p/200x200/3/8/Apple_AirPods_Max__Casque__couteur@@1703683.jpg
"AppleAirPods Max, Casque/Écouteur",Apple,"€ 546,00","Conception: Over-Ear Support de casqueAdapté: iPad, iPhone, iPod, MacintoshConnexion sans fil: Ja, via BluetoothType de casque: fermé",https://www.alternate.fr/Apple/AirPods-Max-Casque-Écouteur/html/product/1703683,https://www.alternate.fr/p/200x200/3/8/Apple_AirPods_Max__Casque__couteur@@1703683.jpg
"AppleBoîtier de charge sans fil pour AirPods, Chargeur",Apple,"€ 77,90",Type de chargement: Apple,https://www.alternate.fr/Apple/Boîtier-de-charge-sans-fil-pour-AirPods-Chargeur/html/product/1534191,https://www.alternate.fr/p/200x200/9/Apple_Bo_tier_de_charge_sans_fil_pour_AirPods__Chargeur@@9akkla0h.jpg
"AppleBoîtier de charge sans fil pour AirPods, Chargeur",Apple,"€ 77,90",Type de chargement: Apple,https://www.alternate.fr/Apple/Boîtier-de-charge-sans-fil-pour-AirPods-Chargeur/html/product/1534191,https://www.alternate.fr/p/200x200/9/Apple_Bo_tier_de_charge_sans_fil_pour_AirPods__Chargeur@@9akkla0h.jpg
ADATASSD externe,ADATA,"€ 111,90","Capacité: 1 ToVitesse: Lire: 2 000 Mo/s, Écrire: 2 000 Mo/sType de construction: Ext.",https://www.alternate.fr/ADATA/SSD-externe/html/product/1834056,https://www.alternate.fr/p/200x200/6/5/ADATA__SSD_externe@@1834056.jpg
ADATASSD externe,ADATA,"€ 111,90","Capacité: 1 ToVitesse: Lire: 2 000 Mo/s, Écrire: 2 000 Mo/sType de construction: Ext.",https://www.alternate.fr/ADATA/SSD-externe/html/product/1834056,https://www.alternate.fr/p/200x200/6/5/ADATA__SSD_externe@@1834056.jpg
ADATASSD externe,ADATA,"€ 75,90","Capacité: 500 GoVitesse: Lire: 2 000 Mo/s, Écrire: 2 000 Mo/sType de construction: Ext.",https://www.alternate.fr/ADATA/SSD-externe/html/product/1834055,https://www.alternate.fr/p/200x200/5/5/ADATA__SSD_externe@@1834055.jpg
ADATASSD externe,ADATA,"€ 75,90","Capacité: 500 GoVitesse: Lire: 2 000 Mo/s, Écrire: 2 000 Mo/sType de construction: Ext.",https://www.alternate.fr/ADATA/SSD-externe/html/product/1834055,https://www.alternate.fr/p/200x200/5/5/ADATA__SSD_externe@@1834055.jpg
ADATASSD externe,ADATA,"€ 361,00","Capacité: 4 ToVitesse: Lire: 2 000 Mo/s, Écrire: 2 000 Mo/sType de construction: Ext.",https://www.alternate.fr/ADATA/SSD-externe/html/product/100024179,https://www.alternate.fr/p/200x200/9/7/ADATA__SSD_externe@@100024179.jpg
