Nom,Marque,Prix,Description,Url,Url_image
TV QLEDHISENSE65A79KQ,HISENSE,"599,00€","164 cm (65"") -
              
            
              
              4K 50HzLxHxP (sans pied) : 144.9 x 83.5 x 7.8 cmHDMI 2.0 : x3 -
              
            
              
              USB : x2Son : 2 x 10 Watts -
              
            
              
              Pied centralLe + :Compensateur de mouvement pour profiter du sport ou des films d'actions en toute fluidité",/ref/1202760,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/6942147492772_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
TV QLEDHISENSE65A79KQ,HISENSE,"599,00€","164 cm (65"") -
              
            
              
              4K 50HzLxHxP (sans pied) : 144.9 x 83.5 x 7.8 cmHDMI 2.0 : x3 -
              
            
              
              USB : x2Son : 2 x 10 Watts -
              
            
              
              Pied centralLe + :Compensateur de mouvement pour profiter du sport ou des films d'actions en toute fluidité",/ref/1202760,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/6942147492772_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
TV OLEDLGOLED55C3,LG,"1190,00€","139 cm (55"") -
              
            
              
              4K 120HzLxHxP (sans pied) : 122.2 x 70.3 x 4.5 cmHDMI 2.1 : x4 -
              
            
              
              USB : x3Son : 2 x 10 + 20 Watts -
              
            
              
              Pied centralLe + :Vivez l'expérience cinéma et gaming ultime avec une image OLED réaliste et fluide !",/ref/1190240,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/8806084073662_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
TV OLEDLGOLED55C3,LG,"1190,00€","139 cm (55"") -
              
            
              
              4K 120HzLxHxP (sans pied) : 122.2 x 70.3 x 4.5 cmHDMI 2.1 : x4 -
              
            
              
              USB : x3Son : 2 x 10 + 20 Watts -
              
            
              
              Pied centralLe + :Vivez l'expérience cinéma et gaming ultime avec une image OLED réaliste et fluide !",/ref/1190240,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/8806084073662_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
TV QLEDSAMSUNGTQ75Q72D 4K UHD AI Smart TV 2024,SAMSUNG,"1690,00€","189 cm (75"") -
              
            
              
              4K 120HzLxHxP (sans pied) : 167.7 x 96 x 2.7 cmHDMI 2.1 : x4 -
              
            
              
              USB : x2Son : 20 Watts -
              
            
              
              Pied centralLe + :L'expérience cinéma et gaming sans box TV, ni console, avec les couleurs réalistes des Quantum Dots",/ref/1204113,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/8806095493299_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
TV QLEDSAMSUNGTQ75Q72D 4K UHD AI Smart TV 2024,SAMSUNG,"1690,00€","189 cm (75"") -
              
            
              
              4K 120HzLxHxP (sans pied) : 167.7 x 96 x 2.7 cmHDMI 2.1 : x4 -
              
            
              
              USB : x2Son : 20 Watts -
              
            
              
              Pied centralLe + :L'expérience cinéma et gaming sans box TV, ni console, avec les couleurs réalistes des Quantum Dots",/ref/1204113,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/8806095493299_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
TV QLEDSAMSUNGTQ75Q72D 4K UHD AI Smart TV 2024,SAMSUNG,"1690,00€","189 cm (75"") -
              
            
              
              4K 120HzLxHxP (sans pied) : 167.7 x 96 x 2.7 cmHDMI 2.1 : x4 -
              
            
              
              USB : x2Son : 20 Watts -
              
            
              
              Pied centralLe + :L'expérience cinéma et gaming sans box TV, ni console, avec les couleurs réalistes des Quantum Dots",/ref/1204113,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/8806095493299_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
TV OLEDLGOLED65G3,LG,"1990,00€","164 cm (65"") -
              
            
              
              4K 120HzLxHxP (sans pied) : 144.1 x 82.6 x 2.4 cmHDMI 2.1 : x4 -
              
            
              
              USB : x3Son : 60 Watts -
              
            
              
              Sans pied (en option)Le + :Le TV LG OLED le plus lumineux, au design ultra-fin, conçu pour s'accrocher au mur tel un tableau !",/ref/1190254,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/8806091985491_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
TV OLEDLGOLED65G3,LG,"1990,00€","164 cm (65"") -
              
            
              
              4K 120HzLxHxP (sans pied) : 144.1 x 82.6 x 2.4 cmHDMI 2.1 : x4 -
              
            
              
              USB : x3Son : 60 Watts -
              
            
              
              Sans pied (en option)Le + :Le TV LG OLED le plus lumineux, au design ultra-fin, conçu pour s'accrocher au mur tel un tableau !",/ref/1190254,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/8806091985491_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
TV OLEDSAMSUNGTQ55S90C,SAMSUNG,"1190,00€","138 cm (55"") -
              
            
              
              4K 144HzLxHxP (sans pied) : 122.5 x 70.8 x 3.9 cmHDMI 2.1 : x4 -
              
            
              
              USB : x2Son : 40 Watts -
              
            
              
              Pied centralLe + :Gaming hub: jouer sans console; Applications TV opérateurs; Technologie OLED; Filtre antireflet",/ref/1189118,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/8806094949070_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
