Nom,Marque,Prix,Description,Url,Url_image
Airpods Pro - MQD83ZM/A,Apple,279€,,https://www.cybertek.fr/accessoire-telephonie/apple-airpods-pro-mqd83zm-a-127535.aspx,https://www.cybertek.fr/images_produits/69cbf4b7-a401-4dee-9878-a5e3071b57af.jpg
Airpods Pro - MQD83ZM/A,Apple,279€,,https://www.cybertek.fr/accessoire-telephonie/apple-airpods-pro-mqd83zm-a-127535.aspx,https://www.cybertek.fr/images_produits/69cbf4b7-a401-4dee-9878-a5e3071b57af.jpg
Airpods 2 avec boitier de charge filaire,Apple,148€99,Type : Ecouteur,https://www.cybertek.fr/accessoire-telephonie/apple-airpods-2-avec-boitier-de-charge-filaire-37324.aspx,https://www.cybertek.fr/images_produits/d818739f-e3f7-4fe6-9b14-3bf7ccec1fe3.jpg
Airpods 2 avec boitier de charge filaire,Apple,148€99,Type : Ecouteur,https://www.cybertek.fr/accessoire-telephonie/apple-airpods-2-avec-boitier-de-charge-filaire-37324.aspx,https://www.cybertek.fr/images_produits/d818739f-e3f7-4fe6-9b14-3bf7ccec1fe3.jpg
Airpods 3 - MME73ZM/A,Apple,189€90,Type : Ecouteur,https://www.cybertek.fr/accessoire-telephonie/apple-airpods-3-mme73zm-a-93635.aspx,https://www.cybertek.fr/images_produits/1ae1a70a-cfd1-48de-9a8a-886f57b921c9.jpg
Airpods 3 - MME73ZM/A,Apple,189€90,Type : Ecouteur,https://www.cybertek.fr/accessoire-telephonie/apple-airpods-3-mme73zm-a-93635.aspx,https://www.cybertek.fr/images_produits/1ae1a70a-cfd1-48de-9a8a-886f57b921c9.jpg
AirPods Max Bleu ciel,Apple,578€99,Utilisation : MultimédiaType : Circum-auralConnectivité : Sans filCouleur : BleuConnecteur : BlueToothMicro : OuiTechnologie Audio : Stereo,https://www.cybertek.fr/micro-casque/apple-airpods-max-bleu-ciel-83183.aspx,https://www.cybertek.fr/images_produits/41152d1b-89fc-4b84-bd93-f719e960cd8b.jpg
AirPods Max Bleu ciel,Apple,578€99,Utilisation : MultimédiaType : Circum-auralConnectivité : Sans filCouleur : BleuConnecteur : BlueToothMicro : OuiTechnologie Audio : Stereo,https://www.cybertek.fr/micro-casque/apple-airpods-max-bleu-ciel-83183.aspx,https://www.cybertek.fr/images_produits/41152d1b-89fc-4b84-bd93-f719e960cd8b.jpg
AirPods Max Gris Sidéral,Apple,578€99,Utilisation : MultimédiaType : Circum-auralConnectivité : Sans filCouleur : NoirCouleur : GrisConnecteur : BlueToothMicro : OuiTechnologie Audio : Stereo,https://www.cybertek.fr/micro-casque/apple-airpods-max-gris-sideral-61171.aspx,/images_assets/no-image.jpg
AirPods Max Gris Sidéral,Apple,578€99,Utilisation : MultimédiaType : Circum-auralConnectivité : Sans filCouleur : NoirCouleur : GrisConnecteur : BlueToothMicro : OuiTechnologie Audio : Stereo,https://www.cybertek.fr/micro-casque/apple-airpods-max-gris-sideral-61171.aspx,/images_assets/no-image.jpg
