Nom,Marque,Prix,Description,Url,Url_image
"USB3.0 pour DD 2.5"" SATA",,14€99,Interface Disque : SATA IIIFormat : 2''1/2Interface : USB 3.0Matériau : PVCVentilation : Boitier non ventiléCouleur : Noir,https://www.cybertek.fr/boitier-externe/generique-usb3-0-pour-dd-2-5-sata-14668.aspx,https://www.cybertek.fr/images_produits/84f5d89f-c8c4-46a4-98aa-c2ce8ce4dff3.jpg
"USB3.0 pour DD 2.5"" SATA",,14€99,Interface Disque : SATA IIIFormat : 2''1/2Interface : USB 3.0Matériau : PVCVentilation : Boitier non ventiléCouleur : Noir,https://www.cybertek.fr/boitier-externe/generique-usb3-0-pour-dd-2-5-sata-14668.aspx,https://www.cybertek.fr/images_produits/84f5d89f-c8c4-46a4-98aa-c2ce8ce4dff3.jpg
A400 480Go SATA,Kingston,40€99,Capacité stockage : 480-525GoInterface Disque : SATA IIINVMe PCIe : Non NVMe PCIe,https://www.cybertek.fr/disque-ssd/kingston-a400-480go-sata-31284.aspx,https://www.cybertek.fr/images_produits/7329bb0d-ed3d-4cfe-9e37-445e6bd716ce.jpg
A400 480Go SATA,Kingston,40€99,Capacité stockage : 480-525GoInterface Disque : SATA IIINVMe PCIe : Non NVMe PCIe,https://www.cybertek.fr/disque-ssd/kingston-a400-480go-sata-31284.aspx,https://www.cybertek.fr/images_produits/7329bb0d-ed3d-4cfe-9e37-445e6bd716ce.jpg
M185 - Gris/Sans Fil,Logitech,14€99,Utilisation : BureautiqueConnectivité : Sans filCouleur : NoirCouleur : GrisPréférence Manuelle : AmbidextreType : StandardInterface avec le PC : USBDPI Maximum : 1 000 DPI,https://www.cybertek.fr/souris-pc/logitech-m185-gris-sans-fil-21651.aspx,https://www.cybertek.fr/images_produits/6ca8ac3b-da24-497d-9937-3700d20dafb9.jpg
M185 - Gris/Sans Fil,Logitech,14€99,Utilisation : BureautiqueConnectivité : Sans filCouleur : NoirCouleur : GrisPréférence Manuelle : AmbidextreType : StandardInterface avec le PC : USBDPI Maximum : 1 000 DPI,https://www.cybertek.fr/souris-pc/logitech-m185-gris-sans-fil-21651.aspx,https://www.cybertek.fr/images_produits/6ca8ac3b-da24-497d-9937-3700d20dafb9.jpg
A400 240Go SATA,Kingston,29€99,Capacité stockage : 240-275GoInterface Disque : SATA IIINVMe PCIe : Non NVMe PCIe,https://www.cybertek.fr/disque-ssd/kingston-a400-240go-sata-31283.aspx,https://www.cybertek.fr/images_produits/90ab9e14-d512-46ec-b664-653ee5527b69.jpg
A400 240Go SATA,Kingston,29€99,Capacité stockage : 240-275GoInterface Disque : SATA IIINVMe PCIe : Non NVMe PCIe,https://www.cybertek.fr/disque-ssd/kingston-a400-240go-sata-31283.aspx,https://www.cybertek.fr/images_produits/90ab9e14-d512-46ec-b664-653ee5527b69.jpg
ALIMENTATION POUR ORDINATEUR UNIVERSEL 150W Max,Port,89€99,Type : Adaptateur Alim.,https://www.cybertek.fr/accessoire-pc-portable/port-alimentation-pour-ordinateur-universel-150w-max-125259.aspx,https://www.cybertek.fr/images_produits/dbf3ec50-1d27-4c63-bb4a-8d78992b127b.jpg
ALIMENTATION POUR ORDINATEUR UNIVERSEL 150W Max,Port,89€99,Type : Adaptateur Alim.,https://www.cybertek.fr/accessoire-pc-portable/port-alimentation-pour-ordinateur-universel-150w-max-125259.aspx,https://www.cybertek.fr/images_produits/dbf3ec50-1d27-4c63-bb4a-8d78992b127b.jpg
ACH114EU 4 ports USB2,Targus,13€99,Type : USB A 2.0Format : ExterneNombre de port : 4 (ports)Alimentation : Sans alimentation externe,https://www.cybertek.fr/hub/targus-ach114eu-4-ports-usb2-19698.aspx,https://www.cybertek.fr/images_produits/6cae2eea-092b-478b-a436-2112dda98ec6.jpg
ACH114EU 4 ports USB2,Targus,13€99,Type : USB A 2.0Format : ExterneNombre de port : 4 (ports)Alimentation : Sans alimentation externe,https://www.cybertek.fr/hub/targus-ach114eu-4-ports-usb2-19698.aspx,https://www.cybertek.fr/images_produits/6cae2eea-092b-478b-a436-2112dda98ec6.jpg
870 EVO 250Go SATA,Samsung,49€99,Capacité stockage : 240-275GoInterface Disque : SATA IIINVMe PCIe : Non NVMe PCIe,https://www.cybertek.fr/disque-ssd/samsung-870-evo-250go-sata-52094.aspx,https://www.cybertek.fr/images_produits/d4b63a7c-0421-4a41-98d5-aec9078d740b.jpg
