Nom,Marque,Prix,Description,Url,Url_image
"Câble 30 broches vers USB-A pour iPhone, iPod, iPad",Câble,24€95,,https://www.materiel.net/produit/201510190060.html,https://media.materiel.net/r250/products/MN0005670009_1.jpg
"Belkin Câble USB-A vers USB-C, Lightning ou Micro-USB - 1m",Belkin,29€95,"Câble USB-A vers USB-C et Lightning 1 m Made for Iphone, Noir, 1 mètre",https://www.materiel.net/produit/202111180031.html,https://media.materiel.net/r250/products/MN0005911142_1.jpg
Belkin Câble USB-A vers Lightning MFI renforcé (blanc) - 3 m,Belkin,29€95,"Câble à gaine tressée USB-A vers Lightning, Made for Iphone, Blanc, 3 mètres",https://www.materiel.net/produit/202101070768.html,https://media.materiel.net/r250/products/MN0005927682_1.jpg
Belkin Câble USB-A vers Lightning MFI renforcé (noir) - 3 m,Belkin,29€95,"Câble à gaine tressée USB-A vers Lightning, Made for Iphone, Noir, 3 mètres",https://www.materiel.net/produit/202101070767.html,https://media.materiel.net/r250/products/MN0005927690_1.jpg
Belkin Pack de 2 Câbles USB-A vers Lightning MFI,Belkin,39€95,"Pack de 2 Câbles USB-A vers Lightning, Made for iPhone, 1 mètre, Blanc",https://www.materiel.net/produit/202202090030.html,https://media.materiel.net/r250/products/MN0005939974_1.jpg
Belkin Câble USB-A vers Lightning MFI renforcé,Belkin,16€95,"Câble à gaine tressé USB-A vers Lightning Made for iPhone, 15 cm, Noir",https://www.materiel.net/produit/202202090026.html,https://media.materiel.net/r250/products/MN0005940011_1.jpg
Belkin Câble USB-A vers Lightning MFI renforcé (blanc) - 15 cm,Belkin,16€96,"Câble à gaine tressé USB-A vers Lightning Made for iPhone, 15 cm, Blanc",https://www.materiel.net/produit/202202090025.html,https://media.materiel.net/r250/products/MN0005940024_1.jpg
Belkin Câble USB-A vers Lightning MFI (noir) - 3 m,Belkin,19€96,"Câble USB-A vers Lightning Made for iPhone, 3 mètres, Noir",https://www.materiel.net/produit/202202090028.html,https://media.materiel.net/r250/products/MN0005940053_1.jpg
Belkin Câble USB-A vers Lightning MFI (noir) - 15 cm,Belkin,13€95,"Câble USB-A vers Lightning Made for iPhone, 15 cm, Noir",https://www.materiel.net/produit/202202090032.html,https://media.materiel.net/r250/products/MN0005940115_1.jpg
Belkin Câble USB-A vers Lightning MFI (blanc) - 15 cm,Belkin,13€94,"Câble USB-A vers Lightning Made for iPhone,  15 cm, Blanc",https://www.materiel.net/produit/202202090031.html,https://media.materiel.net/r250/products/MN0005940152_1.jpg
Belkin Soundform Connect convertisseur Stéréo vers Airplay2,Belkin,76€99,"Adaptateur audio avec AirPlay 2&#8239 pour iPhone, iPad, Mac, Apple TV, HomePod et autre appareil AirPlay 2 avec iOS 11.4 (ou version ultérieure)",https://www.materiel.net/produit/202107050022.html,https://media.materiel.net/r250/products/MN0005946855.jpg
Belkin Support Ecran pour iPhone Magsafe (Noir),Belkin,44€95,"Support MagSafe pour iPhone, iMac et écrans Apple",https://www.materiel.net/produit/202310180030.html,https://media.materiel.net/r250/products/MN0006078391.jpg
