Nom,Marque,Prix,Description,Url,Url_image
JVC HA-NP50T Noir - Casque sans fil,JVC,129€95,"Écouteurs, Bluetooth",https://www.materiel.net/produit/202312050168.html,https://media.materiel.net/r250/products/MN0006090296.jpg
JVC HA-NP50T Noir - Casque sans fil,JVC,129€95,"Écouteurs, Bluetooth",https://www.materiel.net/produit/202312050168.html,https://media.materiel.net/r250/products/MN0006090296.jpg
Google Pixel Buds Pro Brume,Google,199€94,"Ecouteurs, intra-auriculaires, Bluetooth",https://www.materiel.net/produit/202207060064.html,https://media.materiel.net/r250/products/MN0005971207.jpg
Google Pixel Buds Pro Brume,Google,199€94,"Ecouteurs, intra-auriculaires, Bluetooth",https://www.materiel.net/produit/202207060064.html,https://media.materiel.net/r250/products/MN0005971207.jpg
Shokz OpenFit Noir - Casque sans fil,Shokz,199€95,"Écouteurs, Bluetooth",https://www.materiel.net/produit/202307100252.html,https://media.materiel.net/r250/products/MN0006053178.jpg
Shokz OpenFit Noir - Casque sans fil,Shokz,199€95,"Écouteurs, Bluetooth",https://www.materiel.net/produit/202307100252.html,https://media.materiel.net/r250/products/MN0006053178.jpg
Shokz OpenFit Beige - Casque sans fil,Shokz,199€95,"Écouteurs, Bluetooth",https://www.materiel.net/produit/202307100253.html,https://media.materiel.net/r250/products/MN0006053416.jpg
Shokz OpenFit Beige - Casque sans fil,Shokz,199€95,"Écouteurs, Bluetooth",https://www.materiel.net/produit/202307100253.html,https://media.materiel.net/r250/products/MN0006053416.jpg
JVC HA-NP50T Vert - Casque sans fil,JVC,129€95,"Écouteurs, Bluetooth",https://www.materiel.net/produit/202312050169.html,https://media.materiel.net/r250/products/MN0006090308.jpg
JVC HA-NP50T Vert - Casque sans fil,JVC,129€95,"Écouteurs, Bluetooth",https://www.materiel.net/produit/202312050169.html,https://media.materiel.net/r250/products/MN0006090308.jpg
JVC HA-NP50T Beige - Casque sans fil,JVC,129€95,"Écouteurs, Bluetooth",https://www.materiel.net/produit/202312050170.html,https://media.materiel.net/r250/products/MN0006090313.jpg
JVC HA-NP50T Beige - Casque sans fil,JVC,129€95,"Écouteurs, Bluetooth",https://www.materiel.net/produit/202312050170.html,https://media.materiel.net/r250/products/MN0006090313.jpg
