Nom,Marque,Prix,Description,Url,Url_image
"PanzerGlassiPhone 6/7/8/SE 2020, Film de protection",PanzerGlass,"€ 20,79",adapté aux: SmartphoneTexture: Brillant,https://www.alternate.fr/PanzerGlass/iPhone-6-7-8-SE-2020-Film-de-protection/html/product/1655982,https://www.alternate.fr/p/200x200/9/PanzerGlass_iPhone_6_7_8_SE_2020__Film_de_protection@@9aq4hzc4.jpg
"PanzerGlassiPhone 6/7/8/SE 2020, Film de protection",PanzerGlass,"€ 20,79",adapté aux: SmartphoneTexture: Brillant,https://www.alternate.fr/PanzerGlass/iPhone-6-7-8-SE-2020-Film-de-protection/html/product/1655982,https://www.alternate.fr/p/200x200/9/PanzerGlass_iPhone_6_7_8_SE_2020__Film_de_protection@@9aq4hzc4.jpg
"PanzerGlassiPhone 6/7/8/SE 2020, Film de protection",PanzerGlass,"€ 16,29",adapté aux: SmartphoneTexture: Brillant,https://www.alternate.fr/PanzerGlass/iPhone-6-7-8-SE-2020-Film-de-protection/html/product/1654957,https://www.alternate.fr/p/200x200/9/PanzerGlass_iPhone_6_7_8_SE_2020__Film_de_protection@@9aq4hzc2.jpg
"PanzerGlassiPhone 6/7/8/SE 2020, Film de protection",PanzerGlass,"€ 16,29",adapté aux: SmartphoneTexture: Brillant,https://www.alternate.fr/PanzerGlass/iPhone-6-7-8-SE-2020-Film-de-protection/html/product/1654957,https://www.alternate.fr/p/200x200/9/PanzerGlass_iPhone_6_7_8_SE_2020__Film_de_protection@@9aq4hzc2.jpg
"NevoxStyleShell Shock coque de protection pour téléphones portables 11,9 cm (4.7"") Housse Noir, Housse/Étui smartphone",Nevox,"€ 13,79",Type: Housse/Étui smartphoneCaractéristique: Découpe pour caméra,https://www.alternate.fr/Nevox/StyleShell-Shock-coque-de-protection-pour-téléphones-portables-11-9-cm-(4-Zoll)-Housse-Noir-Housse-Étui-smartphone/html/product/1470929,https://www.alternate.fr/p/200x200/9/2/Nevox_StyleShell_Shock_coque_de_protection_pour_t_l_phones_portables_11_9_cm__4_7___Housse_Noir__Housse__tui_smartphone@@1470929.jpg
"NevoxStyleShell Shock coque de protection pour téléphones portables 11,9 cm (4.7"") Housse Noir, Housse/Étui smartphone",Nevox,"€ 13,79",Type: Housse/Étui smartphoneCaractéristique: Découpe pour caméra,https://www.alternate.fr/Nevox/StyleShell-Shock-coque-de-protection-pour-téléphones-portables-11-9-cm-(4-Zoll)-Housse-Noir-Housse-Étui-smartphone/html/product/1470929,https://www.alternate.fr/p/200x200/9/2/Nevox_StyleShell_Shock_coque_de_protection_pour_t_l_phones_portables_11_9_cm__4_7___Housse_Noir__Housse__tui_smartphone@@1470929.jpg
"OtterboxTrusted Glass, Film de protection",Otterbox,"€ 10,99",adapté aux: SmartphoneTexture: Brillant,https://www.alternate.fr/Otterbox/Trusted-Glass-Film-de-protection/html/product/1678973,https://www.alternate.fr/p/200x200/3/7/Otterbox_Trusted_Glass__Film_de_protection@@1678973.jpg
"OtterboxTrusted Glass, Film de protection",Otterbox,"€ 10,99",adapté aux: SmartphoneTexture: Brillant,https://www.alternate.fr/Otterbox/Trusted-Glass-Film-de-protection/html/product/1678973,https://www.alternate.fr/p/200x200/3/7/Otterbox_Trusted_Glass__Film_de_protection@@1678973.jpg
"Nevox1513 coque de protection pour téléphones portables 11,9 cm (4.7"") Folio Noir, Housse/Étui smartphone",Nevox,"€ 18,79",Type: Housse/Étui smartphoneBloquer: Aimant,https://www.alternate.fr/Nevox/1513-coque-de-protection-pour-téléphones-portables-11-9-cm-(4-Zoll)-Folio-Noir-Housse-Étui-smartphone/html/product/1430217,https://www.alternate.fr/p/200x200/9/Nevox_1513_coque_de_protection_pour_t_l_phones_portables_11_9_cm__4_7___Folio_Noir__Housse__tui_smartphone@@9ao1hnjl.jpg
"Nevox1513 coque de protection pour téléphones portables 11,9 cm (4.7"") Folio Noir, Housse/Étui smartphone",Nevox,"€ 18,79",Type: Housse/Étui smartphoneBloquer: Aimant,https://www.alternate.fr/Nevox/1513-coque-de-protection-pour-téléphones-portables-11-9-cm-(4-Zoll)-Folio-Noir-Housse-Étui-smartphone/html/product/1430217,https://www.alternate.fr/p/200x200/9/Nevox_1513_coque_de_protection_pour_t_l_phones_portables_11_9_cm__4_7___Folio_Noir__Housse__tui_smartphone@@9ao1hnjl.jpg
"AppleAdaptateur secteur USB‑C 20 W, Chargeur",Apple,"€ 18,79",Source d'alimentation: SocketPuissance de sortie: 20 Watt,https://www.alternate.fr/Apple/Adaptateur-secteur-USBC-20-W-Chargeur/html/product/1687702,https://www.alternate.fr/p/200x200/9/Apple_Adaptateur_secteur_USB_C_20_W__Chargeur@@9aq4hakz.jpg
"AppleAdaptateur secteur USB‑C 20 W, Chargeur",Apple,"€ 18,79",Source d'alimentation: SocketPuissance de sortie: 20 Watt,https://www.alternate.fr/Apple/Adaptateur-secteur-USBC-20-W-Chargeur/html/product/1687702,https://www.alternate.fr/p/200x200/9/Apple_Adaptateur_secteur_USB_C_20_W__Chargeur@@9aq4hakz.jpg
"AppleiPad (9e génération), 10,2"" tablette 10.2""",Apple,"€ 366,00","Processeur: Apple A13 BionicMémoire vive: 64 GoEcran d'affichage: 25,91 cm (10,2 pouce)Couleur: Gris",https://www.alternate.fr/Apple/iPad-(9e-génération)-10-Zoll-tablette-10-Zoll/html/product/1784227,https://www.alternate.fr/p/200x200/7/2/Apple_iPad__9e_g_n_ration___10_2__tablette_10_2_@@1784227.jpg
"AppleiPad (9e génération), 10,2"" tablette 10.2""",Apple,"€ 366,00","Processeur: Apple A13 BionicMémoire vive: 64 GoEcran d'affichage: 25,91 cm (10,2 pouce)Couleur: Gris",https://www.alternate.fr/Apple/iPad-(9e-génération)-10-Zoll-tablette-10-Zoll/html/product/1784227,https://www.alternate.fr/p/200x200/7/2/Apple_iPad__9e_g_n_ration___10_2__tablette_10_2_@@1784227.jpg
"NevoxNEVOGLASS Apple 1 pièce(s), Film de protection",Nevox,"€ 13,49",adapté aux: SmartphoneTexture: Brillant,https://www.alternate.fr/Nevox/NEVOGLASS-Apple-1-pièce(s)-Film-de-protection/html/product/1642489,https://www.alternate.fr/p/200x200/9/8/Nevox_NEVOGLASS_Apple_1_pi_ce_s___Film_de_protection@@1642489.jpg
"NevoxNEVOGLASS Apple 1 pièce(s), Film de protection",Nevox,"€ 13,49",adapté aux: SmartphoneTexture: Brillant,https://www.alternate.fr/Nevox/NEVOGLASS-Apple-1-pièce(s)-Film-de-protection/html/product/1642489,https://www.alternate.fr/p/200x200/9/8/Nevox_NEVOGLASS_Apple_1_pi_ce_s___Film_de_protection@@1642489.jpg
"NevoxNevoglass Protection d'écran transparent Apple 1 pièce(s), Film de protection",Nevox,"€ 7,49",adapté aux: SmartphoneTexture: Brillant,https://www.alternate.fr/Nevox/Nevoglass-Protection-décran-transparent-Apple-1-pièce(s)-Film-de-protection/html/product/1642483,https://www.alternate.fr/p/200x200/9/Nevox_Nevoglass_Protection_d__cran_transparent_Apple_1_pi_ce_s___Film_de_protection@@9ao1hnb6.jpg
"NevoxNevoglass Protection d'écran transparent Apple 1 pièce(s), Film de protection",Nevox,"€ 7,49",adapté aux: SmartphoneTexture: Brillant,https://www.alternate.fr/Nevox/Nevoglass-Protection-décran-transparent-Apple-1-pièce(s)-Film-de-protection/html/product/1642483,https://www.alternate.fr/p/200x200/9/Nevox_Nevoglass_Protection_d__cran_transparent_Apple_1_pi_ce_s___Film_de_protection@@9ao1hnb6.jpg
