Nom,Marque,Prix,Description,Url,Url_image
"ATENUC232A Convertisseur USB pour modem, Adaptateur",ATEN,"€ 12,99",Connexions: 1x USB-A (mâle) sur 1x série à 9 broches (mâle)Version: USB 2.0,https://www.alternate.fr/ATEN/UC232A-Convertisseur-USB-pour-modem-Adaptateur/html/product/50377,https://www.alternate.fr/p/200x200/l/ATEN_UC232A_Convertisseur_USB_pour_modem__Adaptateur@@lxzh87.jpg
"ATENUC232A Convertisseur USB pour modem, Adaptateur",ATEN,"€ 12,99",Connexions: 1x USB-A (mâle) sur 1x série à 9 broches (mâle)Version: USB 2.0,https://www.alternate.fr/ATEN/UC232A-Convertisseur-USB-pour-modem-Adaptateur/html/product/50377,https://www.alternate.fr/p/200x200/l/ATEN_UC232A_Convertisseur_USB_pour_modem__Adaptateur@@lxzh87.jpg
"ALLNETALL-BM210VDSL2SV, Modem",ALLNET,"€ 105,90","Type d'appareil: ModemLAN: 10 MBit/s, 100 MBit/s, 1000 MBit/sConnexions: 2x RJ-45 (LAN) totalInterface: Desktop",https://www.alternate.fr/ALLNET/ALL-BM210VDSL2SV-Modem/html/product/100055431,https://www.alternate.fr/p/200x200/1/3/ALLNET_ALL_BM210VDSL2SV__Modem@@100055431.jpg
"ALLNETALL-BM210VDSL2SV, Modem",ALLNET,"€ 105,90","Type d'appareil: ModemLAN: 10 MBit/s, 100 MBit/s, 1000 MBit/sConnexions: 2x RJ-45 (LAN) totalInterface: Desktop",https://www.alternate.fr/ALLNET/ALL-BM210VDSL2SV-Modem/html/product/100055431,https://www.alternate.fr/p/200x200/1/3/ALLNET_ALL_BM210VDSL2SV__Modem@@100055431.jpg
ALLNETModem,ALLNET,"€ 144,90","Type d'appareil: ModemLAN: 10 MBit/s, 100 MBit/s, Auto-MDI/MDIXConnexions: 2x RJ-45 (LAN) totalInterface: Desktop",https://www.alternate.fr/ALLNET/Modem/html/product/100055444,https://www.alternate.fr/p/200x200/4/4/ALLNET_Modem@@100055444.jpg
ALLNETModem,ALLNET,"€ 144,90","Type d'appareil: ModemLAN: 10 MBit/s, 100 MBit/s, Auto-MDI/MDIXConnexions: 2x RJ-45 (LAN) totalInterface: Desktop",https://www.alternate.fr/ALLNET/Modem/html/product/100055444,https://www.alternate.fr/p/200x200/4/4/ALLNET_Modem@@100055444.jpg
"ZyxelWAH7601 Routeur/modem de réseau cellulaire, WLAN-LTE-Routeur",Zyxel,"€ 61,90","Type d'appareil: WLAN-LTE-RouteurWLAN: WLAN 2,4 Ghz: 300 MBit/s",https://www.alternate.fr/ZyXEL/WAH7601-Routeur-modem-de-réseau-cellulaire-WLAN-LTE-Routeur/html/product/1632777,https://www.alternate.fr/p/200x200/o/Zyxel_WAH7601_Routeur_modem_de_r_seau_cellulaire__WLAN_LTE_Routeur@@odmy05.jpg
"ZyxelWAH7601 Routeur/modem de réseau cellulaire, WLAN-LTE-Routeur",Zyxel,"€ 61,90","Type d'appareil: WLAN-LTE-RouteurWLAN: WLAN 2,4 Ghz: 300 MBit/s",https://www.alternate.fr/ZyXEL/WAH7601-Routeur-modem-de-réseau-cellulaire-WLAN-LTE-Routeur/html/product/1632777,https://www.alternate.fr/p/200x200/o/Zyxel_WAH7601_Routeur_modem_de_r_seau_cellulaire__WLAN_LTE_Routeur@@odmy05.jpg
"ALLNETALL126AS3, Modem",ALLNET,"€ 192,90","Type d'appareil: ModemLAN: 10 MBit/s, 100 MBit/s, 1000 MBit/sConnexions: 4x RJ-45 (LAN) total, 1x RJ-11 (analogique)Interface: Montage mural",https://www.alternate.fr/ALLNET/ALL126AS3-Modem/html/product/100055443,https://www.alternate.fr/p/200x200/3/4/ALLNET_ALL126AS3__Modem@@100055443.jpg
"ALLNETALL126AS3, Modem",ALLNET,"€ 192,90","Type d'appareil: ModemLAN: 10 MBit/s, 100 MBit/s, 1000 MBit/sConnexions: 4x RJ-45 (LAN) total, 1x RJ-11 (analogique)Interface: Montage mural",https://www.alternate.fr/ALLNET/ALL126AS3-Modem/html/product/100055443,https://www.alternate.fr/p/200x200/3/4/ALLNET_ALL126AS3__Modem@@100055443.jpg
