Nom,Marque,Prix,Description,Url,Url_image
Clavier + SourisLOGITECHMK295 Silent Wireless Combo,LOGITECH,"34,95€",Sans filTouches silencieusesAlimentation : 2 piles AAA et 1 pile AALe + :Technologie Silent Touch qui élimine plus de 90 % des bruits du clavier et de la souris,/ref/1155008,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206092389_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK295 Silent Wireless Combo,LOGITECH,"34,95€",Sans filTouches silencieusesAlimentation : 2 piles AAA et 1 pile AALe + :Technologie Silent Touch qui élimine plus de 90 % des bruits du clavier et de la souris,/ref/1155008,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206092389_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK950 Signature Slim Bluetooth Graphite,LOGITECH,"119,00€",BluetoothTouches silencieusesAlimentation : 2 piles AAA et 1 pile AA,/ref/1203423,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206119369_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK950 Signature Slim Bluetooth Graphite,LOGITECH,"119,00€",BluetoothTouches silencieusesAlimentation : 2 piles AAA et 1 pile AA,/ref/1203423,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206119369_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier sans filLOGITECHMX Mechanical Rétroéclairé,LOGITECH,"135,99€","BluetoothTouches silencieusesAlimentation : Rechargeable -
              
            
              Rétroéclairé -
              
            
              
              Longueur câble : 1,00 mLe + :clavier performant avec une frappe mécanique fluide et silencieuse et rétroéclairage intelligent",/ref/1180247,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206103047_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier sans filLOGITECHMX Mechanical Rétroéclairé,LOGITECH,"135,99€","BluetoothTouches silencieusesAlimentation : Rechargeable -
              
            
              Rétroéclairé -
              
            
              
              Longueur câble : 1,00 mLe + :clavier performant avec une frappe mécanique fluide et silencieuse et rétroéclairage intelligent",/ref/1180247,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206103047_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier sans filLOGITECHMX Mechanical Rétroéclairé,LOGITECH,"135,99€","BluetoothTouches silencieusesAlimentation : Rechargeable -
              
            
              Rétroéclairé -
              
            
              
              Longueur câble : 1,00 mLe + :clavier performant avec une frappe mécanique fluide et silencieuse et rétroéclairage intelligent",/ref/1180247,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206103047_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK470 Blanc,LOGITECH,"49,99€","Sans fil (Dongle USB)Touches silencieusesAlimentation : 2 piles AAA et 1 pile AA -
              
            
              
              Rétroéclairé : RGB non intégréLe + :son design compact et ultra fin",/ref/1136108,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206086470_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK470 Blanc,LOGITECH,"49,99€","Sans fil (Dongle USB)Touches silencieusesAlimentation : 2 piles AAA et 1 pile AA -
              
            
              
              Rétroéclairé : RGB non intégréLe + :son design compact et ultra fin",/ref/1136108,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206086470_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHCombo Pebble 2,LOGITECH,"74,99€",BluetoothTouches silencieusesAlimentation : 2 piles AAA et 1 pile AALe + :Pack souris et clavier compact,/ref/1195714,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206115583_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHCombo Pebble 2,LOGITECH,"74,99€",BluetoothTouches silencieusesAlimentation : 2 piles AAA et 1 pile AALe + :Pack souris et clavier compact,/ref/1195714,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206115583_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier gamer sans filLOGITECHPro X LIGHTSPEED  TKL Tactile Noir,LOGITECH,"179,00€","Touches : mécanique -
              
            
              
              Switch : brownRétroéclairage : RGB2,4 GHz, BluetoothLe + :Clavier très réactif pour le jeu avec des switches tactiles GX-BROWN",/ref/1194956,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206113367_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier gamer sans filLOGITECHPro X LIGHTSPEED  TKL Tactile Noir,LOGITECH,"179,00€","Touches : mécanique -
              
            
              
              Switch : brownRétroéclairage : RGB2,4 GHz, BluetoothLe + :Clavier très réactif pour le jeu avec des switches tactiles GX-BROWN",/ref/1194956,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206113367_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier gamer sans filLOGITECHPro X LIGHTSPEED  TKL Tactile Noir,LOGITECH,"179,00€","Touches : mécanique -
              
            
              
              Switch : brownRétroéclairage : RGB2,4 GHz, BluetoothLe + :Clavier très réactif pour le jeu avec des switches tactiles GX-BROWN",/ref/1194956,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206113367_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier gamer sans filLOGITECHG PRO X 60 LIGHTSPEED NOIR,LOGITECH,"189,99€","Touches : mécanique -
              
            
              
              Switch : brownRétroéclairage : RGB2,4 GHz, BluetoothLe + :mécanique ultra compact TKL 60%, RVB, touches en PBT double couche, switchs tactiles GX optiques",/ref/1202904,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206112810_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier gamer sans filLOGITECHG PRO X 60 LIGHTSPEED NOIR,LOGITECH,"189,99€","Touches : mécanique -
              
            
              
              Switch : brownRétroéclairage : RGB2,4 GHz, BluetoothLe + :mécanique ultra compact TKL 60%, RVB, touches en PBT double couche, switchs tactiles GX optiques",/ref/1202904,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206112810_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier gamerLOGITECHG413SE TKL Mecanique Tactile,LOGITECH,"52,05€","Touches : mécanique -
              
            
              
              Switch : brownType de Switch : tactileRétroéclairage : RétroéclairéFilaireLe + :Des switches mécaniques tactiles à la mémorisation de 6 frappes de touche avec anti-ghosting",/ref/1179560,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206097957_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier gamerLOGITECHG413SE TKL Mecanique Tactile,LOGITECH,"52,05€","Touches : mécanique -
              
            
              
              Switch : brownType de Switch : tactileRétroéclairage : RétroéclairéFilaireLe + :Des switches mécaniques tactiles à la mémorisation de 6 frappes de touche avec anti-ghosting",/ref/1179560,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206097957_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK270 Wireless Desktop,LOGITECH,"28,99€","Sans fil (Dongle USB)Alimentation : 2 Piles AAA -
              
            
              
              Rétroéclairé : RGB non intégréLe + :Sans fil offre une connexion rapide, fiable ; longévité de plusieurs mois sans besoin de changer les piles (commutateur Marche/Arrêt)",/ref/1000407,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206039162_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK270 Wireless Desktop,LOGITECH,"28,99€","Sans fil (Dongle USB)Alimentation : 2 Piles AAA -
              
            
              
              Rétroéclairé : RGB non intégréLe + :Sans fil offre une connexion rapide, fiable ; longévité de plusieurs mois sans besoin de changer les piles (commutateur Marche/Arrêt)",/ref/1000407,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206039162_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier sans filLOGITECHSignature Slim K950 Bluetooth - Graphite,LOGITECH,"89,99€",BluetoothTouches silencieusesAlimentation : 2 Piles AAA,/ref/1203422,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206118812_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier sans filLOGITECHSignature Slim K950 Bluetooth - Graphite,LOGITECH,"89,99€",BluetoothTouches silencieusesAlimentation : 2 Piles AAA,/ref/1203422,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206118812_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK120,LOGITECH,"20,10€","FilaireTouches silencieusesAlimentation : USB -
              
            
              
              Longueur câble : 150,00 mLe + :Touches ultraplates et silencieuses, solide grâce à son design étanche, ses pattes inclinables robustes et ses touches durables.",/ref/855046,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206020474_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK120,LOGITECH,"20,10€","FilaireTouches silencieusesAlimentation : USB -
              
            
              
              Longueur câble : 150,00 mLe + :Touches ultraplates et silencieuses, solide grâce à son design étanche, ses pattes inclinables robustes et ses touches durables.",/ref/855046,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206020474_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK470 Graphite,LOGITECH,"54,99€","Sans fil (Dongle USB)Touches silencieusesAlimentation : 2 piles AAA et 1 pile AA -
              
            
              
              Rétroéclairé : RGB non intégréLe + :Minimaliste, moderne, compact",/ref/1136107,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206086463_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
