Nom,Marque,Prix,Description,Url,Url_image
Clé USB WiFi 802.11n/g/b,TP-Link,11€99,Interface : USBNorme : Wi-Fi 4 (802.11n)POE (Power Over Ethernet) : Sans POEExterne/Interne : Externe,https://www.cybertek.fr/carte-reseau/tp-link-cle-usb-wifi-802-11n-g-b-28825.aspx,https://www.cybertek.fr/images_produits/fa81f370-e573-4acc-a5f2-bf24d5034b4d.jpg
Clé USB WiFi 802.11n/g/b,TP-Link,11€99,Interface : USBNorme : Wi-Fi 4 (802.11n)POE (Power Over Ethernet) : Sans POEExterne/Interne : Externe,https://www.cybertek.fr/carte-reseau/tp-link-cle-usb-wifi-802-11n-g-b-28825.aspx,https://www.cybertek.fr/images_produits/fa81f370-e573-4acc-a5f2-bf24d5034b4d.jpg
ARCHER MR600,TP-Link,139€90,Norme : 4G LTENorme : Wi-Fi 5 (802.11ac)Modem intégré : Modem intégréSwitch : Switch intégréFirewall : Firewall intégré,https://www.cybertek.fr/routeur/tp-link-archer-mr600-46949.aspx,https://www.cybertek.fr/images_produits/6594fddc-c9a2-4a78-909f-a397a5a5b657.jpg
ARCHER MR600,TP-Link,139€90,Norme : 4G LTENorme : Wi-Fi 5 (802.11ac)Modem intégré : Modem intégréSwitch : Switch intégréFirewall : Firewall intégré,https://www.cybertek.fr/routeur/tp-link-archer-mr600-46949.aspx,https://www.cybertek.fr/images_produits/6594fddc-c9a2-4a78-909f-a397a5a5b657.jpg
Modem Routeur 4G V2 - 300 LTE,Strong,64€99,Norme : 4G LTENorme : Wi-Fi 4 (802.11n)Modem intégré : Modem intégréSwitch : Switch intégréFirewall : Sans firewall,https://www.cybertek.fr/routeur/strong-modem-routeur-4g-v2-300-lte-132652.aspx,https://www.cybertek.fr/images_produits/9a58457e-1335-4c83-92d3-b700201546d1.jpg
Modem Routeur 4G V2 - 300 LTE,Strong,64€99,Norme : 4G LTENorme : Wi-Fi 4 (802.11n)Modem intégré : Modem intégréSwitch : Switch intégréFirewall : Sans firewall,https://www.cybertek.fr/routeur/strong-modem-routeur-4g-v2-300-lte-132652.aspx,https://www.cybertek.fr/images_produits/9a58457e-1335-4c83-92d3-b700201546d1.jpg
Modem Filtre ADSL,,3€99,,https://www.cybertek.fr/modem/generique-modem-filtre-adsl-1537.aspx,https://www.cybertek.fr/images_produits/706168cc-0406-4cb5-84b6-318b3d1a4cc1.jpg
Modem Filtre ADSL,,3€99,,https://www.cybertek.fr/modem/generique-modem-filtre-adsl-1537.aspx,https://www.cybertek.fr/images_produits/706168cc-0406-4cb5-84b6-318b3d1a4cc1.jpg
TD-W9970 - 4 ports 10/100 + WiFi 802.11n,TP-Link,44€99,Norme : Wi-Fi 4 (802.11n)Modem intégré : Modem intégréSwitch : Switch intégréFirewall : Sans firewall,https://www.cybertek.fr/routeur/tp-link-td-w9970-4-ports-10-100-wifi-802-11n-35299.aspx,https://www.cybertek.fr/images_produits/3717f1de-6dca-48c5-a183-e8499410b1f6.jpg
TD-W9970 - 4 ports 10/100 + WiFi 802.11n,TP-Link,44€99,Norme : Wi-Fi 4 (802.11n)Modem intégré : Modem intégréSwitch : Switch intégréFirewall : Sans firewall,https://www.cybertek.fr/routeur/tp-link-td-w9970-4-ports-10-100-wifi-802-11n-35299.aspx,https://www.cybertek.fr/images_produits/3717f1de-6dca-48c5-a183-e8499410b1f6.jpg
ARCHER VR400,TP-Link,85€99,Norme : Wi-Fi 5 (802.11ac)Modem intégré : Modem intégréSwitch : Switch intégréFirewall : Firewall intégré,https://www.cybertek.fr/routeur/tp-link-archer-vr400-32149.aspx,https://www.cybertek.fr/images_produits/6a610125-d172-40c3-9f67-5d0e9905b017.jpg
