Nom,Marque,Prix,Description,Url,Url_image
Asus TUF VG279Q1A,Asus,209€95,"27"", IPS, 16:9, 1920 x 1080 (FHD), 1 ms, 165 Hz, FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202007070027.html,https://media.materiel.net/r250/products/MN0005697875_1.jpg
Asus TUF VG279Q1A,Asus,209€95,"27"", IPS, 16:9, 1920 x 1080 (FHD), 1 ms, 165 Hz, FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202007070027.html,https://media.materiel.net/r250/products/MN0005697875_1.jpg
Fox Spirit PGM270 V2,Fox,234€95,"27"" Incurvé, VA, 16:9, 2560 x 1440 (WQHD), 1 ms, 165 Hz, HDR, FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202301120025.html,https://media.materiel.net/r250/products/MN0006048989.jpg
Fox Spirit PGM270 V2,Fox,234€95,"27"" Incurvé, VA, 16:9, 2560 x 1440 (WQHD), 1 ms, 165 Hz, HDR, FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202301120025.html,https://media.materiel.net/r250/products/MN0006048989.jpg
Fox Spirit FH245,Fox,199€95,"24.5"", IPS, 16:9, 1920 x 1080 (FHD), 1 ms, 144 Hz, FreeSync, HDMI/DisplayPort/USB-C",https://www.materiel.net/produit/202012180044.html,https://media.materiel.net/r250/products/MN0005830994_1_0005831053.jpg
Fox Spirit FH245,Fox,199€95,"24.5"", IPS, 16:9, 1920 x 1080 (FHD), 1 ms, 144 Hz, FreeSync, HDMI/DisplayPort/USB-C",https://www.materiel.net/produit/202012180044.html,https://media.materiel.net/r250/products/MN0005830994_1_0005831053.jpg
Samsung Odyssey G5 S32CG510EU,Samsung,269€95,"32"", VA, 16:9, 2560 x 1440 (WQHD), 1 ms (MPRT), 165 Hz, HDR, FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202309050050.html,https://media.materiel.net/r250/products/MN0006080458.jpg
Samsung Odyssey G5 S32CG510EU,Samsung,269€95,"32"", VA, 16:9, 2560 x 1440 (WQHD), 1 ms (MPRT), 165 Hz, HDR, FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202309050050.html,https://media.materiel.net/r250/products/MN0006080458.jpg
INOVU MBU32,INOVU,329€95,"32"", IPS, 16:9, 3840 x 2160 (4K UHD), 4 ms, 60 Hz, HDR, VGA/HDMI",https://www.materiel.net/produit/202303080158.html,https://media.materiel.net/r250/products/MN0006049192.jpg
INOVU MBU32,INOVU,329€95,"32"", IPS, 16:9, 3840 x 2160 (4K UHD), 4 ms, 60 Hz, HDR, VGA/HDMI",https://www.materiel.net/produit/202303080158.html,https://media.materiel.net/r250/products/MN0006049192.jpg
INOVU MBU27,INOVU,249€95,"27"", IPS, 16:9, 3840 x 2160 (4K UHD), 4 ms, 60 Hz, HDR, VGA/HDMI",https://www.materiel.net/produit/202303080157.html,https://media.materiel.net/r250/products/MN0006049317.jpg
INOVU MBU27,INOVU,249€95,"27"", IPS, 16:9, 3840 x 2160 (4K UHD), 4 ms, 60 Hz, HDR, VGA/HDMI",https://www.materiel.net/produit/202303080157.html,https://media.materiel.net/r250/products/MN0006049317.jpg
Fox Spirit PGK280,Fox,449€95,"28"", IPS, 16:9, 3840 x 2160 (4K UHD), 0.5 ms, 144 Hz, HDR, FreeSync, HDMI/DisplayPort/USB-C",https://www.materiel.net/produit/202202240061.html,https://media.materiel.net/r250/products/MN0005970615.jpg
Fox Spirit PGK280,Fox,449€95,"28"", IPS, 16:9, 3840 x 2160 (4K UHD), 0.5 ms, 144 Hz, HDR, FreeSync, HDMI/DisplayPort/USB-C",https://www.materiel.net/produit/202202240061.html,https://media.materiel.net/r250/products/MN0005970615.jpg
Asus TUF VG27AQ,Asus,329€95,"27"", IPS, 16:9, 2560 x 1440 (WQHD), 1 ms, 165 Hz, HDR, FreeSync/G-Sync, HDMI/DisplayPort",https://www.materiel.net/produit/201908290045.html,https://media.materiel.net/r250/products/MN0005748171_1.jpg
Asus TUF VG27AQ,Asus,329€95,"27"", IPS, 16:9, 2560 x 1440 (WQHD), 1 ms, 165 Hz, HDR, FreeSync/G-Sync, HDMI/DisplayPort",https://www.materiel.net/produit/201908290045.html,https://media.materiel.net/r250/products/MN0005748171_1.jpg
Fox Spirit PGN340,Fox,399€95,"34"" Incurvé, VA, 21:9, 3440 x 1440 (UWQHD), 1 ms (MPRT), 165 Hz, HDR, FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202204110034.html,https://media.materiel.net/r250/products/MN0006001024.jpg
Fox Spirit PGN340,Fox,399€95,"34"" Incurvé, VA, 21:9, 3440 x 1440 (UWQHD), 1 ms (MPRT), 165 Hz, HDR, FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202204110034.html,https://media.materiel.net/r250/products/MN0006001024.jpg
Fox Spirit PGM490 V2,Fox,699€95,"49"" Incurvé, VA, 32:9, 3840 x 1080 (DFHD), 4 ms, 144 Hz, HDR, FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202203220060.html,https://media.materiel.net/r250/products/MN0005971903.jpg
Fox Spirit PGM490 V2,Fox,699€95,"49"" Incurvé, VA, 32:9, 3840 x 1080 (DFHD), 4 ms, 144 Hz, HDR, FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202203220060.html,https://media.materiel.net/r250/products/MN0005971903.jpg
Inovu MB27,Inovu,144€95,"27"", VA , 16:9, 1920 x 1080 (FHD), 8 ms, 75 Hz, VGA/HDMI",https://www.materiel.net/produit/202205090077.html,https://media.materiel.net/r250/products/MN0005981392.jpg
Inovu MB27,Inovu,144€95,"27"", VA , 16:9, 1920 x 1080 (FHD), 8 ms, 75 Hz, VGA/HDMI",https://www.materiel.net/produit/202205090077.html,https://media.materiel.net/r250/products/MN0005981392.jpg
Gigabyte G34WQC A,Gigabyte,379€95,"34"" Incurvé, VA, 21:9, 3440 x 1440 (UWQHD), 1 ms (MPRT), 144 Hz, HDR, FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202112060020.html,https://media.materiel.net/r250/products/MN0005916294_1.jpg
Gigabyte G34WQC A,Gigabyte,379€95,"34"" Incurvé, VA, 21:9, 3440 x 1440 (UWQHD), 1 ms (MPRT), 144 Hz, HDR, FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202112060020.html,https://media.materiel.net/r250/products/MN0005916294_1.jpg
BenQ GW2780,BenQ,149€95,"27"", IPS, 16:9, 1920 x 1080 (FHD), 5 ms, 75 Hz, VGA/HDMI/DisplayPort",https://www.materiel.net/produit/201708010180.html,https://media.materiel.net/r250/products/MN0005045848_1.jpg
