Nom,Marque,Prix,Description,Url,Url_image
Apple iPhone 15 Plus Noir - 128 Go,Apple,1 009€00,"iPhone 15 Plus, Noir, 128 Go, 6,7 pouces, iOS 17",https://www.materiel.net/produit/202309130033.html,https://media.materiel.net/r250/products/MN0006064203_0006064523.jpg
Apple iPhone 15 Plus Noir - 128 Go,Apple,1 009€00,"iPhone 15 Plus, Noir, 128 Go, 6,7 pouces, iOS 17",https://www.materiel.net/produit/202309130033.html,https://media.materiel.net/r250/products/MN0006064203_0006064523.jpg
Apple iPhone 5s (gris sidéral) - 16 Go - Reconditionné,Apple,269€00,"Noir, iOS, 4"", Apple A7 Dual-Core 1.3 GHz, 16 Go, 8 Mégapixels, Bluetooth 4.0, DAS : 0,979 W/kg",https://www.materiel.net/produit/201310310010.html,https://media.materiel.net/r250/oproducts/AR201310310010_g1.jpg
Apple iPhone 5s (gris sidéral) - 16 Go - Reconditionné,Apple,269€00,"Noir, iOS, 4"", Apple A7 Dual-Core 1.3 GHz, 16 Go, 8 Mégapixels, Bluetooth 4.0, DAS : 0,979 W/kg",https://www.materiel.net/produit/201310310010.html,https://media.materiel.net/r250/oproducts/AR201310310010_g1.jpg
Apple iPhone 8 (gris sidéral) - 64 Go - Reconditionné,Apple,169€00,"Gris, iOS, Certifié IP67, 4,7"", Apple A11 Bionic 64 bits, 64 Go, 12 Mégapixels, Bluetooth 5.0, DAS : 1,360 W/kg",https://www.materiel.net/produit/201709130030.html,https://media.materiel.net/r250/oproducts/AR201709130030_g2.jpg
Apple iPhone 8 (gris sidéral) - 64 Go - Reconditionné,Apple,169€00,"Gris, iOS, Certifié IP67, 4,7"", Apple A11 Bionic 64 bits, 64 Go, 12 Mégapixels, Bluetooth 5.0, DAS : 1,360 W/kg",https://www.materiel.net/produit/201709130030.html,https://media.materiel.net/r250/oproducts/AR201709130030_g2.jpg
Apple iPhone 8 Plus (argent) - 256 Go - Reconditionné,Apple,169€93,"Argent, iOS, Certifié IP67, 5,5"", Apple A11 Bionic 64 bits, 256 Go, 2 x 12 mégapixels, Bluetooth 5.0, DAS : 0,990 W/kg",https://www.materiel.net/produit/201709130041.html,https://media.materiel.net/r250/oproducts/AR201709130041_g2.jpg
Apple iPhone 8 Plus (argent) - 256 Go - Reconditionné,Apple,169€93,"Argent, iOS, Certifié IP67, 5,5"", Apple A11 Bionic 64 bits, 256 Go, 2 x 12 mégapixels, Bluetooth 5.0, DAS : 0,990 W/kg",https://www.materiel.net/produit/201709130041.html,https://media.materiel.net/r250/oproducts/AR201709130041_g2.jpg
Apple iPhone 8 (gris sidéral) - 256 Go - Reconditionné,Apple,164€79,"Gris, iOS, Certifié IP67, 4,7"", Apple A11 Bionic 64 bits, 256 Go, 12 Mégapixels, Bluetooth 5.0, DAS : 1,360 W/kg",https://www.materiel.net/produit/201709130033.html,https://media.materiel.net/r250/oproducts/AR201709130033_g2.jpg
Apple iPhone 8 (gris sidéral) - 256 Go - Reconditionné,Apple,164€79,"Gris, iOS, Certifié IP67, 4,7"", Apple A11 Bionic 64 bits, 256 Go, 12 Mégapixels, Bluetooth 5.0, DAS : 1,360 W/kg",https://www.materiel.net/produit/201709130033.html,https://media.materiel.net/r250/oproducts/AR201709130033_g2.jpg
Apple iPhone 8 Plus (gris sidéral) - 64 Go - Reconditionné,Apple,198€99,"Gris, iOS, Certifié IP67, 5,5"", Apple A11 Bionic 64 bits, 64 Go, 2 x 12 mégapixels, Bluetooth 5.0, DAS : 0,990 W/kg",https://www.materiel.net/produit/201709130036.html,https://media.materiel.net/r250/oproducts/AR201709130036_g2.jpg
Apple iPhone 8 Plus (gris sidéral) - 64 Go - Reconditionné,Apple,198€99,"Gris, iOS, Certifié IP67, 5,5"", Apple A11 Bionic 64 bits, 64 Go, 2 x 12 mégapixels, Bluetooth 5.0, DAS : 0,990 W/kg",https://www.materiel.net/produit/201709130036.html,https://media.materiel.net/r250/oproducts/AR201709130036_g2.jpg
Apple iPhone 8 (argent) - 64 Go - Reconditionné,Apple,149€00,"Argent, iOS, Certifié IP67, 4,7"", Apple A11 Bionic 64 bits, 64 Go, 12 Mégapixels, Bluetooth 5.0, DAS : 1,360 W/kg",https://www.materiel.net/produit/201709130031.html,https://media.materiel.net/r250/oproducts/AR201709130031_g2.jpg
Apple iPhone 8 (argent) - 64 Go - Reconditionné,Apple,149€00,"Argent, iOS, Certifié IP67, 4,7"", Apple A11 Bionic 64 bits, 64 Go, 12 Mégapixels, Bluetooth 5.0, DAS : 1,360 W/kg",https://www.materiel.net/produit/201709130031.html,https://media.materiel.net/r250/oproducts/AR201709130031_g2.jpg
Apple iPhone 8 Plus (or) - 64 Go - Reconditionné,Apple,158€60,"Or, iOS, Certifié IP67, 5,5"", Apple A11 Bionic 64 bits, 64 Go, 2 x 12 mégapixels, Bluetooth 5.0, DAS : 0,990 W/kg",https://www.materiel.net/produit/201709130038.html,https://media.materiel.net/r250/oproducts/AR201709130038_g2.jpg
