Nom,Marque,Prix,Description,Url,Url_image
"MediaRangeMR721 kit de nettoyage pour ordinateur LCD/TFT/Plasma Chiffons secs et humides et liquide de nettoyage d'équipement électronique 250 ml, Détergent",MediaRange,"€ 3,09",Adapté pour: Ordinateurs et écransQuantité de remplissage: 250 ml,https://www.alternate.fr/MediaRange/MR721-kit-de-nettoyage-pour-ordinateur-LCD-TFT-Plasma-Chiffons-secs-et-humides-et-liquide-de-nettoyage-déquipement-électronique-250-ml-Détergent/html/product/983982,https://www.alternate.fr/p/200x200/v/MediaRange_MR721_kit_de_nettoyage_pour_ordinateur_LCD_TFT_Plasma_Chiffons_secs_et_humides_et_liquide_de_nettoyage_d__quipement__lectronique_250_ml__D_@@vzzvm1.jpg
"NoctuaNH-U12S système de refroidissement d’ordinateur Processeur Refroidisseur 12 cm Marron, Acier inoxydable, Refroidisseur CPU",Noctua,"€ 83,90","Type: Ventilateur refroidisseur de processeurVitesse: 300 jusqu'à 1 500 Tr/minVolume: 18,6 - 22,4 dBFixation: Pour les cartes mères ATX, Socket 1151 ready, vissé",https://www.alternate.fr/Noctua/NH-U12S-système-de-refroidissement-dordinateur-Processeur-Refroidisseur-12-cm-Marron-Acier-inoxydable-Refroidisseur-CPU/html/product/1076314,https://www.alternate.fr/p/200x200/h/Noctua_NH_U12S_syst_me_de_refroidissement_d_ordinateur_Processeur_Refroidisseur_12_cm_Marron__Acier_inoxydable__Refroidisseur_CPU@@hxlu20.jpg
"NoctuaNH-L9X65 SE-AM4 système de refroidissement d’ordinateur Processeur Refroidisseur Beige, Marron, Acier inoxydable, Refroidisseur CPU",Noctua,"€ 61,90","Type: Ventilateur refroidisseur de processeurVitesse: 1 800 jusqu'à 2 500 Tr/minVolume: 14,8 - 23,6 dBFixation: vissé",https://www.alternate.fr/Noctua/NH-L9X65-SE-AM4-système-de-refroidissement-dordinateur-Processeur-Refroidisseur-Beige-Marron-Acier-inoxydable-Refroidisseur-CPU/html/product/1332962,https://www.alternate.fr/p/200x200/h/Noctua_NH_L9X65_SE_AM4_syst_me_de_refroidissement_d_ordinateur_Processeur_Refroidisseur_Beige__Marron__Acier_inoxydable__Refroidisseur_CPU@@hxlu33.jpg
"NoctuaNF-F12 PWM système de refroidissement d’ordinateur Boitier PC Ventilateur, Ventilateur de boîtier",Noctua,"€ 24,79","Type: Ventilateur de boîtierVitesse: 300 jusqu'à 1 500 Tr/minVolume: 22,4 dBFixation: vissé",https://www.alternate.fr/Noctua/NF-F12-PWM-système-de-refroidissement-dordinateur-Boitier-PC-Ventilateur-Ventilateur-de-boîtier/html/product/963692,https://www.alternate.fr/p/200x200/2/9/Noctua_NF_F12_PWM_syst_me_de_refroidissement_d_ordinateur_Boitier_PC_Ventilateur__Ventilateur_de_bo_tier@@963692.jpg
"NoctuaNH-D15S système de refroidissement d’ordinateur Processeur Refroidisseur 14 cm Cuivre, Métallique, Refroidisseur CPU",Noctua,"€ 103,90","Type: Ventilateur refroidisseur de processeurVitesse: 300 jusqu'à 1 500 Tr/minVolume: 19,2 - 24,6 dBFixation: Socket 1151 ready, vissé",https://www.alternate.fr/Noctua/NH-D15S-système-de-refroidissement-dordinateur-Processeur-Refroidisseur-14-cm-Cuivre-Métallique-Refroidisseur-CPU/html/product/1205931,https://www.alternate.fr/p/200x200/h/Noctua_NH_D15S_syst_me_de_refroidissement_d_ordinateur_Processeur_Refroidisseur_14_cm_Cuivre__M_tallique__Refroidisseur_CPU@@hxlu32.jpg
"NoctuaNH-U14S système de refroidissement d’ordinateur Processeur Refroidisseur 12 cm Marron, Acier inoxydable, Refroidisseur CPU",Noctua,"€ 93,90","Type: Ventilateur refroidisseur de processeurVitesse: 300 jusqu'à 1 500 Tr/minVolume: 19,2 - 24,6 dBFixation: Pour les cartes mères ATX, Socket 1151 ready, vissé",https://www.alternate.fr/Noctua/NH-U14S-système-de-refroidissement-dordinateur-Processeur-Refroidisseur-12-cm-Marron-Acier-inoxydable-Refroidisseur-CPU/html/product/1076315,https://www.alternate.fr/p/200x200/h/Noctua_NH_U14S_syst_me_de_refroidissement_d_ordinateur_Processeur_Refroidisseur_12_cm_Marron__Acier_inoxydable__Refroidisseur_CPU@@hxlu21.jpg
"SilverStoneFF121B Pièces et accessoires pour systèmes de refroidissement d'ordinateurs, Filtre à poussière",SilverStone,"€ 4,19",,https://www.alternate.fr/SilverStone/FF121B-Pièces-et-accessoires-pour-systèmes-de-refroidissement-dordinateurs-Filtre-à-poussière/html/product/153938,https://www.alternate.fr/p/200x200/t/SilverStone_FF121B_Pi_ces_et_accessoires_pour_syst_mes_de_refroidissement_d_ordinateurs__Filtre___poussi_re@@tlzi01.jpg
"NoctuaNA-SYC1 pièce et accessoire pour systèmes de refroidissement d'ordinateurs, Câble",Noctua,"€ 9,29","Connexions: 1x ventilateur à 4 broches (PWM, socket) sur 2x ventilateur à 4 broches (PWM, prise)Exécution de: Intern",https://www.alternate.fr/Noctua/NA-SYC1-pièce-et-accessoire-pour-systèmes-de-refroidissement-dordinateurs-Câble/html/product/1142136,https://www.alternate.fr/p/200x200/t/Noctua_NA_SYC1_pi_ce_et_accessoire_pour_syst_mes_de_refroidissement_d_ordinateurs__C_ble@@tlzu06.jpg
"Alphacool11390 système de refroidissement d’ordinateur Processeur Refroidisseur de liquide tout-en-un Noir, Bleu, Watercooling",Alphacool,"€ 164,90","Socket: 1150, 1151, 1155, 1156, 1366, 1700, 2011, 2011-3, 604, 771, 775, 939, 940, AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, G34, AM4, 2066, 1200, AM5Type: Assortiments de WatercoolingTaille du radiateur: 3x 140 mmÉvier de chaleur matériel: Cuivre",https://www.alternate.fr/AlphaCool/11390-système-de-refroidissement-dordinateur-Processeur-Refroidisseur-de-liquide-tout-en-un-Noir-Bleu-Watercooling/html/product/1377906,https://www.alternate.fr/p/200x200/h/Alphacool_11390_syst_me_de_refroidissement_d_ordinateur_Processeur_Refroidisseur_de_liquide_tout_en_un_Noir__Bleu__Watercooling@@hxlna041.jpg
"NoctuaNH-U14S DX-3647 système de refroidissement d’ordinateur Processeur Refroidisseur 15 cm, Refroidisseur CPU",Noctua,"€ 113,90","Type: Ventilateur refroidisseur de processeurVitesse: 1 500 Tr/minVolume: 24,6 dBFixation: vissé",https://www.alternate.fr/Noctua/NH-U14S-DX-3647-système-de-refroidissement-dordinateur-Processeur-Refroidisseur-15-cm-Refroidisseur-CPU/html/product/1463356,https://www.alternate.fr/p/200x200/h/Noctua_NH_U14S_DX_3647_syst_me_de_refroidissement_d_ordinateur_Processeur_Refroidisseur_15_cm__Refroidisseur_CPU@@hxlu38.jpg
"GARDENAOrdinateur pour l'irrigation, Contrôle d'irrigation",GARDENA,"€ 50,90",Temps de cycle: 1 min jusqu'à 8 Heures.Irrigation: 3 ProgrammesProgrammes: 1 pièce,https://www.alternate.fr/GARDENA/Ordinateur-pour-lirrigation-Contrôle-dirrigation/html/product/1686959,https://www.alternate.fr/p/200x200/9/5/GARDENA_Ordinateur_pour_l_irrigation__Contr_le_d_irrigation@@1686959.jpg
"AppleMacBook Air M2 Ordinateur portable 34,5 cm (13.6"") Apple M 8 Go 512 Go SSD Wi-Fi 6 (802.11ax) macOS Monterey Argent 13.6"" PC portable",Apple,"€ 1.289,00","Processeur: Apple M2Graphiques: Apple M2 10-Core GPUMémoire vive: 8 Go Mémoire | 512 Go SSD-Disque durAffichage: 34,5 cm (13,6 pouce)",https://www.alternate.fr/Apple/MacBook-Air-M2-Ordinateur-portable-34-5-cm-(13-Zoll)-Apple-M-8-Go-512-Go-SSD-Wi-Fi-6-(802-11ax)-macOS-Monterey-Argent-13-Zoll-PC-portable/html/product/1848951,https://www.alternate.fr/p/200x200/1/5/Apple_MacBook_Air_M2_Ordinateur_portable_34_5_cm__13_6___Apple_M_8_Go_512_Go_SSD_Wi_Fi_6__802_11ax__macOS_Monterey_Argent_13_6__PC_portable@@1848951.jpg
"AppleMacBook Air MacBookAir M2 Ordinateur portable 34,5 cm (13.6"") Apple M 8 Go 256 Go SSD Wi-Fi 6 (802.11ax) macOS Monterey Bleu 13.6"" PC portable",Apple,"€ 1.109,00","Processeur: Apple M2Graphiques: Apple M2 8-Core GPUMémoire vive: 8 Go Mémoire | 256 Go SSD-Disque durAffichage: 34,5 cm (13,6 pouce)",https://www.alternate.fr/Apple/MacBook-Air-MacBookAir-M2-Ordinateur-portable-34-5-cm-(13-Zoll)-Apple-M-8-Go-256-Go-SSD-Wi-Fi-6-(802-11ax)-macOS-Monterey-Bleu-13-Zoll-PC-portable/html/product/1848938,https://www.alternate.fr/p/200x200/8/3/Apple_MacBook_Air_MacBookAir_M2_Ordinateur_portable_34_5_cm__13_6___Apple_M_8_Go_256_Go_SSD_Wi_Fi_6__802_11ax__macOS_Monterey_Bleu_13_6__PC_portable@@1848938.jpg
"AppleMacBook Air MacBookAir M2 Ordinateur portable 34,5 cm (13.6"") Apple M 8 Go 256 Go SSD Wi-Fi 6 (802.11ax) macOS Monterey Beige 13.6"" PC portable",Apple,"€ 1.109,00","Processeur: Apple M2Graphiques: Apple M2 8-Core GPUMémoire vive: 8 Go Mémoire | 256 Go SSD-Disque durAffichage: 34,5 cm (13,6 pouce)",https://www.alternate.fr/Apple/MacBook-Air-MacBookAir-M2-Ordinateur-portable-34-5-cm-(13-Zoll)-Apple-M-8-Go-256-Go-SSD-Wi-Fi-6-(802-11ax)-macOS-Monterey-Beige-13-Zoll-PC-portable/html/product/1848937,https://www.alternate.fr/p/200x200/7/3/Apple_MacBook_Air_MacBookAir_M2_Ordinateur_portable_34_5_cm__13_6___Apple_M_8_Go_256_Go_SSD_Wi_Fi_6__802_11ax__macOS_Monterey_Beige_13_6__PC_portable@@1848937.jpg
"AppleMacBook Air MacBookAir M2 Ordinateur portable 34,5 cm (13.6"") Apple M 8 Go 256 Go SSD Wi-Fi 6 (802.11ax) macOS Monterey Argent 13.6"" PC portable",Apple,"€ 1.109,00","Processeur: Apple M2Graphiques: Apple M2 8-Core GPUMémoire vive: 8 Go Mémoire | 256 Go SSD-Disque durAffichage: 34,5 cm (13,6 pouce)",https://www.alternate.fr/Apple/MacBook-Air-MacBookAir-M2-Ordinateur-portable-34-5-cm-(13-Zoll)-Apple-M-8-Go-256-Go-SSD-Wi-Fi-6-(802-11ax)-macOS-Monterey-Argent-13-Zoll-PC-portable/html/product/1792314,https://www.alternate.fr/p/200x200/4/1/Apple_MacBook_Air_MacBookAir_M2_Ordinateur_portable_34_5_cm__13_6___Apple_M_8_Go_256_Go_SSD_Wi_Fi_6__802_11ax__macOS_Monterey_Argent_13_6__PC_portable@@1792314.jpg
