Nom,Marque,Prix,Description,Url,Url_image
Clavier sans filAPPLEMagic Keyboard 2017 avec Pad Numérique,APPLE,"149,00€","BluetoothTouches silencieusesAlimentation : Rechargeable -
              
            
              
              Rétroéclairé : RGB non intégréLe + :Un clavier design avec pavé numérique.",/ref/1091551,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/0190198383297_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier sans filLOGITECHMX Mechanical Rétroéclairé,LOGITECH,"135,99€","BluetoothTouches silencieusesAlimentation : Rechargeable -
              
            
              Rétroéclairé -
              
            
              
              Longueur câble : 1,00 mLe + :clavier performant avec une frappe mécanique fluide et silencieuse et rétroéclairage intelligent",/ref/1180247,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206103047_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK295 Silent Wireless Combo,LOGITECH,"34,95€",Sans filTouches silencieusesAlimentation : 2 piles AAA et 1 pile AALe + :Technologie Silent Touch qui élimine plus de 90 % des bruits du clavier et de la souris,/ref/1155008,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206092389_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK950 Signature Slim Bluetooth Graphite,LOGITECH,"119,00€",BluetoothTouches silencieusesAlimentation : 2 piles AAA et 1 pile AA,/ref/1203423,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206119369_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK270 Wireless Desktop,LOGITECH,"28,99€","Sans fil (Dongle USB)Alimentation : 2 Piles AAA -
              
            
              
              Rétroéclairé : RGB non intégréLe + :Sans fil offre une connexion rapide, fiable ; longévité de plusieurs mois sans besoin de changer les piles (commutateur Marche/Arrêt)",/ref/1000407,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206039162_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK470 Blanc,LOGITECH,"49,99€","Sans fil (Dongle USB)Touches silencieusesAlimentation : 2 piles AAA et 1 pile AA -
              
            
              
              Rétroéclairé : RGB non intégréLe + :son design compact et ultra fin",/ref/1136108,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206086470_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier gamer sans filLOGITECHG915 TKL LIGHTSPEED RVB,LOGITECH,"139,00€","Touches : mécanique -
              
            
              
              Switch : brownType de Switch : tactileRétroéclairage : RGBBluetoothLe + :40 heures d'autonomies avec une seule charge",/ref/1175479,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206088764_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMK540 Advanced,LOGITECH,"41,99€",Sans filTouches silencieusesAlimentation : 2 Piles AALe + :1 seul récepteur USB pour le clavier et la souris.,/ref/1106551,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206077386_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier sans filLOGITECHMX Keys S  Silencieux Graphite,LOGITECH,"119,00€","BluetoothTouches silencieusesAlimentation : USB -
              
            
              Rétroéclairé -
              
            
              
              Longueur câble : 1,00 mLe + :L'automatisation des tâches répétitives pour gagner du temps.",/ref/1192236,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206112261_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Clavier + SourisLOGITECHMX keys S avec repose poignet,LOGITECH,"219,00€","BluetoothTouches silencieusesSupport poignetAlimentation : USB -
              
            
              Rétroéclairé -
              
            
              
              Longueur câble : 1,00 mLe + :L'automatisation des tâches répétitives pour gagner du temps.",/ref/1192238,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/5099206112377_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
