Nom,Marque,Prix,Description,Url,Url_image
Ordinateur portableLENOVOIdeapad 3 17ALC6,LENOVO,"549,00€","Ecran : 17,3"" (43,9 cm)Processeur : AMD Ryzen 5 5500UStockage : SSD 512 Go -
              
            
              
              Mémoire vive : 12 GoContrôleur graphique : AMD Radeon GraphicsLe + :Le confort d'un écran 17,3 pouces",/ref/1200650,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/0197530112775_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Ordinateur AppleMACBOOKAir 13' M3 8Go RAM 256Go SSD Minuit,MACBOOK,"1299,00€","Ecran : 13,6"" (34.54 cm)Processeur : Apple M3 8 CPUStockage : SSD 256 Go -
              
            
              
              Mémoire vive : 8 GoContrôleur graphique : Apple M3 8 GPULe + :La puce M3 vous offre toute la rapidité et la fluidité dont vous avez besoin.",/ref/1203166,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/0195949126888_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Ordinateur portableLENOVOPack IdeaPad Slim 3 sacoche + souris,LENOVO,"599,00€","Ecran : 15,6"" (39,6 cm)Processeur : Intel Core i5 12450HStockage : SSD 512 Go -
              
            
              
              Mémoire vive : 16 GoContrôleur graphique : Intel UHD GraphicsLe + :Un pack comprenant une souris et une sacoche",/ref/1200276,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/0197531321978_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
PC GamerSKILLKORPSK16-R73050 Powered by ROG,SKILLKORP,"899,00€","Processeur : AMD Ryzen 7 5800XMémoire vive : 16 GoCapacité totale de stockage : SSD 512 GoModèle : Nvidia GeForce RTX 3050 -
              
            
              
              Mémoire : 8 GoLe + :Equipé d'un processeur AMD Ryzen 7",/ref/8011112,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/3497674185398_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
PC GamerMSICyborg 15 A12VF-1035FR,MSI,"999,00€","Processeur : Intel Core i5-12450HCarte graphique : NVIDIA GeForce RTX 4060Ecran : 15,6"" (39,6 cm) -
              
            
              
              Mémoire vive (RAM) : 16 GoStockage : SSD 512 GoLe + :La technologie audio Nahimic 3 délivre une expérience audio immersive à 360°.",/ref/1201199,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711377197762_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Ordinateur portableASUSVivobook S1405YA-LY008W,ASUS,"699,00€","Ecran : 14"" (35,6 cm)Processeur : AMD Ryzen 7 7730UStockage : SSD 512 Go (en PCi-Express) -
              
            
              
              Mémoire vive : 16 GoContrôleur graphique : AMD Radeon GraphicsLe + :Robustesse extrême, testé selon les normes militaires US pour une durabilité maximale.",/ref/1199805,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711387408728_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Ordinateur portableASUSZenbook 15 OLED UM3504DA-MA332W,ASUS,"1149,00€","Ecran : 15,6"" (39,6 cm)Processeur : AMD Ryzen 7 7735UStockage : SSD 1 To (en PCi-Express) -
              
            
              
              Mémoire vive : 32 GoContrôleur graphique : AMD Radeon GraphicsLe + :La technologie OLED garantit aux images un contraste élevé, des couleurs réalistes, un noir profond",/ref/1199659,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711387243060_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
ChromebookLENOVOIdeapad 3 14M868 CO2 Offset,LENOVO,"299,00€","Ecran : Tactile 14"" (35,6 cm)Processeur : MediaTek Kompanio 520Stockage : eMMC 128Go -
              
            
              
              Mémoire vive : 8 GoContrôleur graphique : ARM Mali-G52 MC2Le + :Son écran Full HD tactile",/ref/1193277,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/0197528848211_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Unité centraleHPM01-F3000nf,HP,"529,00€",Référence du processeur : AMD Ryzen 5 5600GMémoire vive : 8 GoStockage : SSD 512 PCIe NVMeCarte graphique : AMD RadeonLe + :Très polyvalent avec le processeur AMD Ryzen 5,/ref/1190274,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/0196786482472_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Ordinateur portableLENOVOIdeapad 1 15ALC7 CO2 Offset,LENOVO,"449,00€","Ecran : 15,6"" (39,6 cm)Processeur : AMD Ryzen 5 5500UStockage : SSD 256 Go -
              
            
              
              Mémoire vive : 8 GoContrôleur graphique : AMD Radeon GraphicsLe + :Son écran Full HD de 15,6"" !",/ref/1193267,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/0197528845050_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
