Nom,Marque,Prix,Description,Url,Url_image
Materiel.net Furax SUPER Win11 - PC Gamer,Materiel.net,1 959€90,"PC de jeu, Intel Core i5 14600KF, GeForce RTX 4070 Super, SSD NVMe 1 To, 32 Go DDR5, Windows 11 - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202303220123.html,https://media.materiel.net/r250/products/MN0006123059.jpg
Prestation de montage PC,Prestation,74€95,Assemblage et tests par nos techniciens - Sans système d'exploitation,https://www.materiel.net/produit/201707180097.html,https://media.materiel.net/r250/products/MN0006068398.jpg
Materiel.net Player Two Win11 - PC Gamer,Materiel.net,1 099€95,"PC de jeu, Intel Core i5 12400F, GeForce RTX 4060, SSD NVMe 1 To, 16 Go DDR4, Windows 11 - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202306290098.html,https://media.materiel.net/r250/products/MN0006054023_0006059544_0006059556_0006074822_0006086635_0006090084_0006116552.jpg
Materiel.net Dynamite Win11 - PC Gamer,Materiel.net,1 329€95,"PC de jeu, AMD Ryzen 5 5600X, GeForce RTX 4060, SSD NVMe 1 To, 32 Go DDR4, Windows 11 - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202306130059.html,https://media.materiel.net/r250/products/MN0006077565_0006077578_0006086657_0006101183.jpg
Materiel.net Respawn SUPER Win11 - PC Gamer,Materiel.net,1 829€90,"PC de jeu, AMD Ryzen 7 5800X, GeForce RTX 4070 SUPER, SSD NVMe 1 To, 32 Go DDR4, Windows 11 - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202304200057.html,https://media.materiel.net/r250/products/MN0006078069_0006088397_0006099071_0006099123_0006114380.jpg
Materiel.net Furax SUPER - PC Gamer,Materiel.net,1 829€90,"PC de jeu, Intel Core i5 14600KF, GeForce RTX 4070 Super, SSD NVMe 1 To, 32 Go DDR5, sans OS - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202303220122.html,https://media.materiel.net/r250/products/MN0006123059_0006123075.jpg
Materiel.net Player Two - PC Gamer,Materiel.net,969€95,"PC de jeu, Intel Core i5 12400F, GeForce RTX 4060, SSD NVMe 1 To, 16 Go DDR4, sans OS - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202306290097.html,https://media.materiel.net/r250/products/MN0006054023_0006059544_0006078744_0006086621_0006091945_0006116556.jpg
Materiel.net Blackbird Win11 - PC Gamer,Materiel.net,2 599€90,"PC de jeu, Intel Core i7 14700KF, GeForce RTX 4070 Ti SUPER, SSD NVMe 1 To, 32 Go DDR5, Windows 11 - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202401310037.html,https://media.materiel.net/r250/products/MN0006108903.jpg
Materiel.net Mandatory Victory Win11 - PC Gamer,Materiel.net,1 399€90,"PC de jeu, AMD Ryzen 5 7500F, GeForce RTX 4060, SSD NVMe 1 To, 32 Go DDR5, Windows 11 - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202402200103.html,https://media.materiel.net/r250/products/MN0006122332_0006124303.jpg
Materiel.net Bahamut Win11 - PC Gamer,Materiel.net,3 149€90,"PC de jeu, Intel Core i7 14700KF, GeForce RTX 4080 SUPER, SSD NVMe 2 To, 32 Go DDR5, Windows 11 - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202304050078.html,https://media.materiel.net/r250/products/MN0006116916.jpg
Materiel.net Orochi SUPER Win11 - PC Gamer,Materiel.net,2 259€95,"PC de jeu, Intel Core i5 14600KF, GeForce RTX 4070 Ti SUPER, SSD NVMe 1 To, 32 Go DDR5, Windows 11 - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202302150113.html,https://media.materiel.net/r250/products/MN0006085357_0006101301_0006101520_0006104166.jpg
Materiel.net Respawn SUPER - PC Gamer,Materiel.net,1 679€90,"PC de jeu, AMD Ryzen 7 5800X, GeForce RTX 4070 SUPER, SSD NVMe 1 To, 32 Go DDR4, sans OS - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202304200055.html,https://media.materiel.net/r250/products/MN0006078069_0006088397_0006099071_0006106736.jpg
Materiel.net Sirocco Win11 - PC Gamer,Materiel.net,2 699€95,"PC de jeu, AMD Ryzen 7 7800X3D, GeForce RTX 4070 Ti SUPER, SSD NVMe 2 To, 32 Go DDR5, Windows 11 - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202307240062.html,https://media.materiel.net/r250/products/MN0006094622_0006126651.jpg
Prestation de montage PC + installation Windows (non inclus),Prestation,99€95,"Assemblage et tests par nos techniciens + Installation Windows (license non incluse, à ajouter au panier)",https://www.materiel.net/produit/201707260338.html,https://media.materiel.net/r250/products/MN0006068412.jpg
Materiel.net Orochi SUPER - PC Gamer,Materiel.net,2 129€95,"PC de jeu, Intel Core i5 14600KF, GeForce RTX 4070 Ti SUPER, SSD NVMe 1 To, 32 Go DDR5, sans OS - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202302150112.html,https://media.materiel.net/r250/products/MN0006085357_0006101301_0006104186.jpg
Materiel.net Blink Win11 - PC Gamer,Materiel.net,829€95,"PC de jeu, AMD Ryzen 5 5500, AMD Radeon RX 6600, SSD NVMe 500 Go, 16 Go DDR4, Windows 11 - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202402060026.html,https://media.materiel.net/r250/products/MN0006108261_0006108652_0006124100.jpg
Materiel.net Hellfire Win11 - PC Gamer,Materiel.net,2 149€90,"PC de jeu, AMD Ryzen 7 7800X3D, GeForce RTX 4070 SUPER, SSD NVMe 1 To, 32 Go DDR5, Windows 11 - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202402190017.html,https://media.materiel.net/r250/products/MN0006114272_0006114306.jpg
Materiel.net Ultimate Win11 - PC Gamer,Materiel.net,4 499€95,"PC de jeu, Intel Core i9 14900KF, GeForce RTX 4090, SSD NVMe 2 To, 64 Go DDR5, Windows 11 - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202309200032.html,https://media.materiel.net/r250/products/MN0006068633_0006078761_0006087056_0006095327_0006101222_0006117665.jpg
Materiel.net Mandatory Hammer Win11 - PC Gamer,Materiel.net,2 399€90,"PC de jeu, AMD Ryzen 7 7800X3D, GeForce RTX 4070 SUPER, SSD NVMe 2 To, 32 Go DDR5, Windows 11 - Monté et testé dans nos ateliers",https://www.materiel.net/produit/202403250032.html,https://media.materiel.net/r250/products/MN0006122143.jpg
