Nom,Marque,Prix,Description,Url,Url_image
Apple iPhone 13 (Bleu) - 128 Go,Apple,639€00,"iPhone 13, Bleu, 128 Go, 6,1 pouces, iOS 15",https://www.materiel.net/produit/202201130064.html,https://media.materiel.net/r250/products/MN0005886317_1_0005930324.jpg
Apple iPhone 15 Noir - 128 Go,Apple,859€00,"iPhone 15, Noir, 128 Go, 6,1 pouces, iOS 17",https://www.materiel.net/produit/202309130018.html,https://media.materiel.net/r250/products/MN0006064203.jpg
Apple iPhone 15 Pro (Titane bleu) - 128 Go,Apple,1 109€00,"iPhone 15 Pro, Titane bleu, 128 Go, 6,1 pouces, iOS 17",https://www.materiel.net/produit/202309130051.html,https://media.materiel.net/r250/products/MN0006064926.jpg
Apple iPhone 15 Pro (Titane noir) - 128 Go,Apple,1 109€00,"iPhone 15 Pro, Titane noir, 128 Go, 6,1 pouces, iOS 17",https://www.materiel.net/produit/202309130048.html,https://media.materiel.net/r250/products/MN0006064872.jpg
Apple iPhone 15 Pro (Titane noir) - 256 Go,Apple,1 239€00,"iPhone 15 Pro, Titane noir, 256 Go, 6,1 pouces, iOS 17",https://www.materiel.net/produit/202309130052.html,https://media.materiel.net/r250/products/MN0006064872_0006064936.jpg
Apple iPhone 15 Pro Max (Titane bleu) - 256 Go,Apple,1 359€00,"iPhone 15 Pro Max, Titane bleu, 256 Go, 6,7 pouces, iOS 17",https://www.materiel.net/produit/202309130067.html,https://media.materiel.net/r250/products/MN0006065407.jpg
Apple iPhone 13 (Rose) - 128 Go,Apple,639€00,"iPhone 13, Rose, 128 Go, 6,1 pouces, iOS 15",https://www.materiel.net/produit/202201130062.html,https://media.materiel.net/r250/products/MN0005886251_1_0005930269.jpg
Apple iPhone 14 Minuit - 128 Go,Apple,759€00,"iPhone 14, Minuit, 128 Go, 6,1 pouces, iOS 16",https://www.materiel.net/produit/202209080101.html,https://media.materiel.net/r250/products/MN0005977835.jpg
Apple iPhone 15 Vert - 256 Go,Apple,989€00,"iPhone 15, Vert, 256 Go, 6,1 pouces, iOS 17",https://www.materiel.net/produit/202309130027.html,https://media.materiel.net/r250/products/MN0006064426_0006064475.jpg
Apple iPhone 15 Pro Max (Titane naturel) - 256 Go,Apple,1 359€00,"iPhone 15 Pro Max, Titane naturel, 256 Go, 6,7 pouces, iOS 17",https://www.materiel.net/produit/202309130066.html,https://media.materiel.net/r250/products/MN0006065389.jpg
Apple iPhone 15 Pro Max (Titane noir) - 512 Go,Apple,1 609€00,"iPhone 15 Pro Max, Titane noir, 512 Go, 6,7 pouces, iOS 17",https://www.materiel.net/produit/202309130068.html,https://media.materiel.net/r250/products/MN0006065357_0006065431.jpg
Apple iPhone 15 Pro Max (Titane blanc) - 1 To,Apple,1 859€00,"iPhone 15 Pro Max, Titane blanc, 1 To, 6,7 pouces, iOS 17",https://www.materiel.net/produit/202309130073.html,https://media.materiel.net/r250/products/MN0006065378_0006065437_0006065483.jpg
Apple iPhone 13 (Minuit) - 128 Go,Apple,639€00,"iPhone 13, Minuit, 128 Go, 6,1 pouces, iOS 15",https://www.materiel.net/produit/202201130060.html,https://media.materiel.net/r250/products/MN0005886187_1_0005933627.jpg
Apple iPhone SE 5G (Minuit) - 128 Go,Apple,539€00,"iPhone SE 5G, minuit, 128 Go, 4,7 pouces, iOS 15",https://www.materiel.net/produit/202203090125.html,https://media.materiel.net/r250/products/MN0005936920_1_0005936925.jpg
Apple iPhone SE 5G (Lumière Stellaire) - 64 Go,Apple,469€00,"iPhone SE 5G, lumière stellaire, 64 Go, 4,7 pouces, iOS 15",https://www.materiel.net/produit/202203090123.html,https://media.materiel.net/r250/products/MN0005936940_1.jpg
