Nom,Marque,Prix,Description,Url,Url_image
"AppleiPhone 14, Smartphone",Apple,"€ 917,00","Affichage: 15,4 cm (6,1 pouce)Processeur: Apple A15 BionicAppareil photo: 12 MP + 12 MPCaméra frontale: 12 MP",https://www.alternate.fr/Apple/iPhone-14-Smartphone/html/product/1905448,https://www.alternate.fr/p/200x200/8/4/Apple_iPhone_14__Smartphone@@1905448.jpg
"PanzerGlassiPhone 14/13/13 Pro - Classic Fit, Film de protection",PanzerGlass,"€ 16,99",adapté aux: SmartphoneTexture: Brillant,https://www.alternate.fr/PanzerGlass/iPhone-14-13-13-Pro-Classic-Fit-Film-de-protection/html/product/1875295,https://www.alternate.fr/p/200x200/5/9/PanzerGlass_iPhone_14_13_13_Pro___Classic_Fit__Film_de_protection@@1875295.jpg
"AppleiPhone 14 Pro, Smartphone",Apple,"€ 1.159,00","Affichage: 15,5 cm (6,1 pouce)Processeur: Apple A16 BionicAppareil photo: 48 MP + 12 MP + 12 MPCaméra frontale: 12 MP",https://www.alternate.fr/Apple/iPhone-14-Pro-Smartphone/html/product/1866581,https://www.alternate.fr/p/200x200/1/8/Apple_iPhone_14_Pro__Smartphone@@1866581.jpg
"AppleiPhone 14, Smartphone",Apple,"€ 744,00","Affichage: 15,4 cm (6,1 pouce)Processeur: Apple A15 BionicAppareil photo: 12 MP + 12 MPCaméra frontale: 12 MP",https://www.alternate.fr/Apple/iPhone-14-Smartphone/html/product/1866563,https://www.alternate.fr/p/200x200/3/6/Apple_iPhone_14__Smartphone@@1866563.jpg
"AppleiPhone 14, Smartphone",Apple,"€ 737,00","Affichage: 15,4 cm (6,1 pouce)Processeur: Apple A15 BionicAppareil photo: 12 MP + 12 MPCaméra frontale: 12 MP",https://www.alternate.fr/Apple/iPhone-14-Smartphone/html/product/1866562,https://www.alternate.fr/p/200x200/2/6/Apple_iPhone_14__Smartphone@@1866562.jpg
"AppleiPhone 14, Smartphone",Apple,"€ 737,00","Affichage: 15,4 cm (6,1 pouce)Processeur: Apple A15 BionicAppareil photo: 12 MP + 12 MPCaméra frontale: 12 MP",https://www.alternate.fr/Apple/iPhone-14-Smartphone/html/product/1866560,https://www.alternate.fr/p/200x200/0/6/Apple_iPhone_14__Smartphone@@1866560.jpg
"AppleiPhone 14 Plus, Smartphone",Apple,"€ 884,00","Affichage: 17 cm (6,7 pouce)Processeur: Apple A15 BionicAppareil photo: 12 MP + 12 MPCaméra frontale: 12 MP",https://www.alternate.fr/Apple/iPhone-14-Plus-Smartphone/html/product/1866515,https://www.alternate.fr/p/200x200/5/1/Apple_iPhone_14_Plus__Smartphone@@1866515.jpg
"AppleiPhone 14, Smartphone",Apple,"€ 917,00","Affichage: 15,4 cm (6,1 pouce)Processeur: Apple A15 BionicAppareil photo: 12 MP + 12 MPCaméra frontale: 12 MP",https://www.alternate.fr/Apple/iPhone-14-Smartphone/html/product/1866505,https://www.alternate.fr/p/200x200/5/0/Apple_iPhone_14__Smartphone@@1866505.jpg
"AppleiPhone 14, Smartphone",Apple,"€ 765,00","Affichage: 15,4 cm (6,1 pouce)Processeur: Apple A15 BionicAppareil photo: 12 MP + 12 MPCaméra frontale: 12 MP",https://www.alternate.fr/Apple/iPhone-14-Smartphone/html/product/1866500,https://www.alternate.fr/p/200x200/0/0/Apple_iPhone_14__Smartphone@@1866500.jpg
"AppleiPhone 14, Smartphone",Apple,"€ 765,00","Affichage: 15,4 cm (6,1 pouce)Processeur: Apple A15 BionicAppareil photo: 12 MP + 12 MPCaméra frontale: 12 MP",https://www.alternate.fr/Apple/iPhone-14-Smartphone/html/product/1866497,https://www.alternate.fr/p/200x200/7/9/Apple_iPhone_14__Smartphone@@1866497.jpg
