Nom,Marque,Prix,Description,Url,Url_image
Batterie iPhone 7 plus,Compatible,25€99,,https://www.cybertek.fr/accessoire-telephonie/compatible-batterie-iphone-7-plus-90410.aspx,/images_assets/no-image.jpg
Protection en verre trempé pour Apple iPhone 4/4S,,2€50,Type : Film de Protection,https://www.cybertek.fr/accessoire-telephonie/generique-protection-en-verre-trempe-pour-apple-iphone-4-4s-26436.aspx,https://www.cybertek.fr/images_produits/16fbe5e6-122c-45e0-86fc-2434994ae598.jpg
Cable USB 2.0 pour Iphone/Ipad/Ipod,DUST,1€19,Connecteur 1 : USB 2.0Connecteur 2 : AppleLongueur Câble : 1.2m,https://www.cybertek.fr/connectique-pc/dust-cable-usb-2-0-pour-iphone-ipad-ipod-19979.aspx,https://www.cybertek.fr/images_produits/6d5fe37d-4539-48aa-9dea-cd38b4bc9f61.jpg
iPhone 15 128 Go - Jaune,Apple,968€90,"Stockage : 128GoTaille écran : 6.1""Couleur : Jaune",https://www.cybertek.fr/telephonie/apple-iphone-15-128-go-jaune-144119.aspx,/images_assets/no-image.jpg
iPhone 15 128Go - Noir,Apple,869€,,https://www.cybertek.fr/telephonie/apple-iphone-15-128go-noir-143223.aspx,https://www.cybertek.fr/images_produits/d35f2625-938d-4a49-af09-b87e836d69d3.png
iPhone 15 Pro 512Go - Natural Titanium,Apple,1609€,"Stockage : 512GoTaille écran : 6.1""Couleur : Argent (Silver)",https://www.cybertek.fr/telephonie/apple-iphone-15-pro-512go-natural-titanium-143191.aspx,https://www.cybertek.fr/images_produits/affc8cdb-6f40-426e-9d64-953fa26bb8d2.jpg
iPhone 15 Plus 256Go - Black,Apple,1139€,"Stockage : 256GoTaille écran : 6.7""Couleur : Noir",https://www.cybertek.fr/telephonie/apple-iphone-15-plus-256go-black-137983.aspx,https://www.cybertek.fr/images_produits/307cc261-976a-483a-8323-3a3584c860d9.jpg
Coque en silicone pour iPhone 12 & 12 Pro,DLH Energy,8€99,,https://www.cybertek.fr/accessoire-telephonie/dlh-energy-coque-en-silicone-pour-iphone-12-12-pro-130505.aspx,https://www.cybertek.fr/images_produits/cf991177-1f07-4e7a-b29f-d81f6cdd93b8.jpg
Verre trempé iPhone 12/12 Pro - 77-65419,OTTERBOX,14€99,Type : Film de Protection,https://www.cybertek.fr/accessoire-telephonie/otterbox-verre-trempe-iphone-12-12-pro-77-65419-95040.aspx,https://www.cybertek.fr/images_produits/4103643d-b426-4755-8c7e-f04052fc5759.jpg
Keyz Hydro BWR,The G-LAB,21€24,Utilisation : GamerCouleur : BlancCouleur : RougeCouleur : BleuConnectivité : FilaireType de clavier : MembraneRétroéclairé : RétroéclairéInterface avec le PC : USB,https://www.cybertek.fr/clavier-pc/the-g-lab-keyz-hydro-bwr-137785.aspx,https://www.cybertek.fr/images_produits/d12f2b90-bed0-4ad6-b04f-505fd996dd8e.jpg
Wireless Office Pack R,Bluestork,20€93,Utilisation : BureautiqueRétroéclairage : Sans rétroéclairageCouleur : Noir,https://www.cybertek.fr/pack-clavier-souris/bluestork-wireless-office-pack-r-137712.aspx,https://www.cybertek.fr/images_produits/f6aa1ca0-f0bd-4040-b637-4036effe151f.jpg
DW 9100 Slim - Blanc/Argent/Sans Fil,Cherry,101€99,Utilisation : Bureautique,https://www.cybertek.fr/pack-clavier-souris/cherry-dw-9100-slim-blanc-argent-sans-fil-125237.aspx,https://www.cybertek.fr/images_produits/76e9d2a2-cc24-47ce-911d-ba70ba02fd09.jpg
Classic Desktop MK120,Logitech,24€49,Utilisation : BureautiqueRétroéclairage : Sans rétroéclairageConnectivité : FilaireCouleur : NoirAlimentation souris et clavier : Filaire,https://www.cybertek.fr/pack-clavier-souris/logitech-classic-desktop-mk120-15075.aspx,https://www.cybertek.fr/images_produits/419eb504-e0cb-4889-9773-436047a7d750.jpg
K55 RGB Pro,Corsair,64€90,Utilisation : GamerCouleur : RGBConnectivité : FilaireType de clavier : MembraneRétroéclairé : RétroéclairéInterface avec le PC : USB 2.0,https://www.cybertek.fr/clavier-pc/corsair-k55-rgb-pro-53066.aspx,https://www.cybertek.fr/images_produits/af77bdce-a54f-4fe5-a706-b32f3563e8b1.jpg
