Nom,Marque,Prix,Description,Url,Url_image
DW 9100 Slim - Blanc/Argent/Sans Fil,Cherry,101€14,Utilisation : Bureautique,https://www.grosbill.com/pack-clavier-souris/cherry-dw-9100-slim-blanc-argent-sans-fil-125237.aspx,https://www.grosbill.com/images_produits/76e9d2a2-cc24-47ce-911d-ba70ba02fd09.jpg
GTA-210 RGB,Advance,13€99,Utilisation : GamerCouleur : NoirCouleur : RGBConnectivité : FilaireType de clavier : ClassiqueRétroéclairé : RétroéclairéInterface avec le PC : USB 2.0,https://www.grosbill.com/clavier-pc/advance-gta-210-rgb-47129.aspx,https://www.grosbill.com/images_produits/31f04aa1-e546-4ef3-80f2-34979960de24.jpg
K55 RGB Pro,Corsair,60€99,Utilisation : GamerCouleur : RGBConnectivité : FilaireType de clavier : MembraneRétroéclairé : RétroéclairéInterface avec le PC : USB 2.0,https://www.grosbill.com/clavier-pc/corsair-k55-rgb-pro-53066.aspx,https://www.grosbill.com/images_produits/af77bdce-a54f-4fe5-a706-b32f3563e8b1.jpg
Wireless MK235,Logitech,27€99,Utilisation : BureautiqueRétroéclairage : Sans rétroéclairageConnectivité : Sans filCouleur : NoirCouleur : GrisAlimentation souris et clavier : Filaire,https://www.grosbill.com/pack-clavier-souris/logitech-wireless-mk235-28875.aspx,https://www.grosbill.com/images_produits/dfba3453-2523-4629-8d1e-cce2e457ac5d.jpg
Combo Tungsten - Souris/clavier/sans fil/RGB,The G-LAB,46€99,Utilisation : GamerRétroéclairage : Avec rétroéclairageConnectivité : Sans filCouleur : NoirAlimentation souris et clavier : Batterie rechargeable,https://www.grosbill.com/pack-clavier-souris/the-g-lab-combo-tungsten-souris-clavier-sans-fil-rgb-51701.aspx,https://www.grosbill.com/images_produits/403dcf2b-0584-48fd-ab4f-389f9c4857a5.jpg
ELITE-K40,Spirit Of Gamer,27€90,Utilisation : GamerCouleur : NoirCouleur : RGBConnectivité : FilaireType de clavier : MembraneRétroéclairé : RétroéclairéInterface avec le PC : USB 2.0,https://www.grosbill.com/clavier-pc/spirit-of-gamer-elite-k40-136742.aspx,https://www.grosbill.com/images_produits/a0f0540d-c15f-4125-92cf-5daebe32d168.jpg
Gaming Combo ZINC - Clavier/Souris,The G-LAB,24€90,Utilisation : GamerRétroéclairage : Avec rétroéclairageConnectivité : FilaireCouleur : RGBAlimentation souris et clavier : Filaire,https://www.grosbill.com/pack-clavier-souris/the-g-lab-gaming-combo-zinc-clavier-souris-47381.aspx,https://www.grosbill.com/images_produits/765cf7ad-0d97-498b-bba2-e7bbc9b684b6.jpg
Wireless Desktop MK270,Logitech,28€90,Utilisation : BureautiqueRétroéclairage : Sans rétroéclairageConnectivité : Sans filCouleur : NoirAlimentation souris et clavier : Filaire,https://www.grosbill.com/pack-clavier-souris/logitech-wireless-desktop-mk270-21927.aspx,https://www.grosbill.com/images_produits/85b086c3-7bf4-41db-a942-4e3b41884e0e.jpg
Classic Desktop MK120,Logitech,20€,Utilisation : BureautiqueRétroéclairage : Sans rétroéclairageConnectivité : FilaireCouleur : NoirAlimentation souris et clavier : Filaire,https://www.grosbill.com/pack-clavier-souris/logitech-classic-desktop-mk120-15075.aspx,https://www.grosbill.com/images_produits/419eb504-e0cb-4889-9773-436047a7d750.jpg
Keyz Rubidium-E,The G-LAB,59€,Utilisation : GamerCouleur : RGBConnectivité : FilaireType de clavier : MécaniqueRétroéclairé : RétroéclairéInterface avec le PC : USB 2.0,https://www.grosbill.com/clavier-pc/the-g-lab-keyz-rubidium-e-34454.aspx,https://www.grosbill.com/images_produits/62fe3b20-399a-4c08-9b18-e09a4fb50757.jpg
K70 Max RGB (MGX),Corsair,229€90,Utilisation : GamerCouleur : NoirCouleur : RGBConnectivité : FilaireType de clavier : magnéto-mécaniqueRétroéclairé : RétroéclairéInterface avec le PC : USB,https://www.grosbill.com/clavier-pc/corsair-k70-max-rgb-mgx-136220.aspx,https://www.grosbill.com/images_produits/ab86a4da-b7f2-4a58-945f-5aa831767928.jpg
KB MINI PC - Gris et Noir,Bluestork,19€90,Utilisation : BureautiqueCouleur : NoirCouleur : GrisConnectivité : Sans filType de clavier : MembraneRétroéclairé : Non rétroéclairéInterface avec le PC : USB + Bluetooth,https://www.grosbill.com/clavier-pc/bluestork-kb-mini-pc-gris-et-noir-142533.aspx,https://www.grosbill.com/images_produits/352af373-59cd-45a0-894c-02b2a4f9f3f2.jpg
"ROG FLOW Z13 GZ301VV-MU008W - Avec Pochette, Stylet ,Souris Gaming ROG, Clavier Rétroéclairé",Asus,2199€99,"Utilisation : GamerTaille PC Portable : 13.4""Résolution : 2560x1600Mémoire RAM : 16 GoProcesseur : INTEL Core i9SSD : SSD 1 ToOS : Windows 11Chipset graphique : RTX 4060","https://www.grosbill.com/pc-portable/asus-rog-flow-z13-gz301vv-mu008w-avec-pochette,-stylet-,souris-gaming-rog,-clavier-retroeclaire-139402.aspx",https://www.grosbill.com/images_produits/6a3d9c23-8bd8-4f86-a259-896f0b329ba9.jpg
Pack Gaming 3 en 1 PRO-MK5,Spirit Of Gamer,39€99,,https://www.grosbill.com/pack-clavier-souris/spirit-of-gamer-pack-gaming-3-en-1-pro-mk5-136744.aspx,https://www.grosbill.com/images_produits/9b229f9f-d2f7-43dd-80cc-3284474c1ae9.jpg
