Nom,Marque,Prix,Description,Url,Url_image
"GoProHERO11 Black Mini, Caméra vidéo",GoPro,"€ 370,00","Taille de l'écran: 1,4 cm (0,55 pouce)Type de carte mémoire: microSDZoom: Digital: 2 branche",https://www.alternate.fr/GoPro/HERO11-Black-Mini-Caméra-vidéo/html/product/1898162,https://www.alternate.fr/p/200x200/2/6/GoPro_HERO11_Black_Mini__Cam_ra_vid_o@@1898162.jpg
"B&W4000/Y/GoPro9, Valise",B&W,"€ 153,90","Type: Sac de voyageadapté aux: Caméscope, Appareil photo, En plein airEspace pour: 16,6 l Volume",https://www.alternate.fr/BplusW/4000-Y-GoPro9-Valise/html/product/1740835,https://www.alternate.fr/p/200x200/5/3/B_W_4000_Y_GoPro9__Valise@@1740835.jpg
"B&W4000/B/GoPro9, Valise",B&W,"€ 149,90","Type: Sac de voyageadapté aux: Caméscope, Appareil photo, En plein airEspace pour: 16,6 l Volume",https://www.alternate.fr/BplusW/4000-B-GoPro9-Valise/html/product/1740821,https://www.alternate.fr/p/200x200/1/2/B_W_4000_B_GoPro9__Valise@@1740821.jpg
"B&W3000/Y/GoPro9, Valise",B&W,"€ 111,90","Type: Sac de voyageadapté aux: Caméscope, Appareil photo, En plein airEspace pour: 11,7 l Volume",https://www.alternate.fr/BplusW/3000-Y-GoPro9-Valise/html/product/1740804,https://www.alternate.fr/p/200x200/4/0/B_W_3000_Y_GoPro9__Valise@@1740804.jpg
"B&W3000/O/GoPro9, Valise",B&W,"€ 111,90","Type: Sac de voyageadapté aux: Caméscope, Appareil photo, En plein airEspace pour: 11,7 l Volume",https://www.alternate.fr/BplusW/3000-O-GoPro9-Valise/html/product/1740786,https://www.alternate.fr/p/200x200/6/8/B_W_3000_O_GoPro9__Valise@@1740786.jpg
"B&W2000/Y/GoPro9, Valise",B&W,"€ 80,90","Type: Sac de voyageadapté aux: Caméscope, Appareil photo, En plein airEspace pour: 6,6 l Volume",https://www.alternate.fr/BplusW/2000-Y-GoPro9-Valise/html/product/1740469,https://www.alternate.fr/p/200x200/9/6/B_W_2000_Y_GoPro9__Valise@@1740469.jpg
"B&W2000/B/GoPro9, Valise",B&W,"€ 80,90","Type: Sac de voyageadapté aux: Caméscope, Appareil photo, En plein airEspace pour: 6,6 l Volume",https://www.alternate.fr/BplusW/2000-B-GoPro9-Valise/html/product/1740450,https://www.alternate.fr/p/200x200/0/5/B_W_2000_B_GoPro9__Valise@@1740450.jpg
"KingstonWorkflow microSD Reader lecteur de carte mémoire USB 3.2 Gen 1 (3.1 Gen 1) Type-C Noir, Argent",Kingston,"€ 23,79","Cartes: microSD, microSDHC, microSDXCConnexion: 1x USB-C 3.2 Gen 1 (5 Gbit/s)Conception: Ext.",https://www.alternate.fr/Kingston/Workflow-microSD-Reader-lecteur-de-carte-mémoire-USB-3-2-Gen-1-(3-1-Gen-1)-Type-C-Noir-Argent/html/product/1713241,https://www.alternate.fr/p/200x200/1/4/Kingston_Workflow_microSD_Reader_lecteur_de_carte_m_moire_USB_3_2_Gen_1__3_1_Gen_1__Type_C_Noir__Argent@@1713241.jpg
"KingstonWorkflow SD Reader lecteur de carte mémoire USB 3.2 Gen 1 (3.1 Gen 1) Noir, Argent",Kingston,"€ 23,79","Cartes: SDHC, SDHC-UHS-I, SDXCConnexion: 1x USB-C 3.2 Gen 1 (5 Gbit/s)Conception: Ext.",https://www.alternate.fr/Kingston/Workflow-SD-Reader-lecteur-de-carte-mémoire-USB-3-2-Gen-1-(3-1-Gen-1)-Noir-Argent/html/product/1713230,https://www.alternate.fr/p/200x200/0/3/Kingston_Workflow_SD_Reader_lecteur_de_carte_m_moire_USB_3_2_Gen_1__3_1_Gen_1__Noir__Argent@@1713230.jpg
LaCie1big Dock disque dur externe 16000 Go Noir,LaCie,"€ 701,00",Capacité: 16 ToMS/Cache/Tr: -/-/7 200 Tr/minType de construction: Ext.,https://www.alternate.fr/LaCie/1big-Dock-disque-dur-externe-16000-Go-Noir/html/product/1667624,https://www.alternate.fr/p/200x200/4/2/LaCie_1big_Dock_disque_dur_externe_16000_Go_Noir@@1667624.jpg
