Nom,Marque,Prix,Description,Url,Url_image
GoPro HERO12 Black,GoPro,449€95,"Caméra sport, CMOS, 27 Mpixels, Vidéo 5.3K, Etanche",https://www.materiel.net/produit/202308300002.html,https://media.materiel.net/r250/products/MN0006072219.jpg
GoPro MAX,GoPro,529€95,"Caméra sport, caméra 360°, HyperSmooth Max, écran tactile, Contrôle vocal, Wi-Fi, Bluetooth, GPS",https://www.materiel.net/produit/202109300060.html,https://media.materiel.net/r250/products/MN0005895792_1.jpg
GoPro 2 Batteries Enduro rechargeable HERO11 / HERO10 / HERO9 Black,GoPro,39€95,Batterie rechargeable pour caméra GoPro HERO11 / HERO10 / HERO9 Black,https://www.materiel.net/produit/202302070034.html,https://media.materiel.net/r250/products/MN0006014558.jpg
GoPro HERO12 Black Creator Edition,GoPro,679€96,"Caméra sport, CMOS, 27 Mpixels, Vidéo 5.3K, Etanche, Fixation intégrée, Poignée Volta, Module d'éclairage, Module médias",https://www.materiel.net/produit/202309200091.html,https://media.materiel.net/r250/products/MN0006072242.jpg
GoPro HERO11 Black,GoPro,399€95,"Caméra sport, CMOS, 27.13 Mpixels, Vidéo 5.3K, Etanche",https://www.materiel.net/produit/202309210118.html,https://media.materiel.net/r250/products/MN0006030852_0006077836.jpg
GoPro HERO12 Black Bundle,GoPro,499€95,"Caméra sport, CMOS, 27 Mpixels, Vidéo 5.3K, Étanche, Accessoires",https://www.materiel.net/produit/202311270080.html,https://media.materiel.net/r250/products/MN0006087997.jpg
GoPro HERO10 Black,GoPro,299€95,"Caméra sport, CMOS, 23 Mpixels, Vidéo 5K, Etanche",https://www.materiel.net/produit/202312190008.html,https://media.materiel.net/r250/products/MN0005951740_0006093404.jpg
GoPro Fixations adhésives incurvées et plates,GoPro,29€95,Fixations pour caméra GoPro HERO 3 / HERO 3+ / HERO 4,https://www.materiel.net/produit/201212030032.html,https://media.materiel.net/r250/products/MN0005311360_1.jpg
GoPro Fixation ventouse,GoPro,49€94,,https://www.materiel.net/produit/201311130016.html,https://media.materiel.net/r250/oproducts/AR201311130016_g1.jpg
GoPro Fixation latérale et frontale pour casque,GoPro,39€95,"Accessoire GoPro, fixation latérale et frontale pour caméra sportive",https://www.materiel.net/produit/201607280061.html,https://media.materiel.net/r250/oproducts/AR201607280061_g1.jpg
GoPro Protection d'écran,GoPro,24€90,"Accessoire GoPro, Protection d'écran pour HERO5, HERO6",https://www.materiel.net/produit/201703101324.html,https://media.materiel.net/r250/oproducts/AR201703101324_g1.jpg
GoPro Dragonne main/poignet,GoPro,51€95,"Accessoire GoPro, fixation main et poignet",https://www.materiel.net/produit/201708310205.html,https://media.materiel.net/r250/oproducts/AR201708310205_g1.jpg
GoPro Chesty (AGCHM-001),GoPro,39€95,"Accessoire GoPro, Harnais de fixation poitrine pour GoPro HERO5, HERO6,  HERO 2018, HERO7",https://www.materiel.net/produit/201904180043.html,https://media.materiel.net/r250/products/MN0005296717_1.jpg
GoPro Shorty,GoPro,39€95,"Accessoire GoPro, Mini-perche extensible et trépied",https://www.materiel.net/produit/201904190060.html,https://media.materiel.net/r250/products/MN0005297405_1.jpg
GoPro Clip Pivotant Magnétique,GoPro,24€95,"Accessoire GoPro, Clip magnétique avec rotation à 360° pour GoPro MAX, HERO8 Black, HERO7, HERO 2018, HERO6 Black, HERO5 Black",https://www.materiel.net/produit/202001160070.html,https://media.materiel.net/r250/products/MN0005605850_1.jpg
GoPro Poignée/Trépied Max,GoPro,59€95,Fixation polyvalente 3-en-1 poignée pour GoPro,https://www.materiel.net/produit/202104080009.html,https://media.materiel.net/r250/products/MN0005821455_1.jpg
