Nom,Marque,Prix,Description,Url,Url_image
Apple iPhone 15 Pro Max (Titane noir) - 256 Go,Apple,1 359€00,"iPhone 15 Pro Max, Titane noir, 256 Go, 6,7 pouces, iOS 17",https://www.materiel.net/produit/202309130064.html,https://media.materiel.net/r250/products/MN0006065357.jpg
Apple iPhone 15 Pro Max (Titane naturel) - 256 Go,Apple,1 359€00,"iPhone 15 Pro Max, Titane naturel, 256 Go, 6,7 pouces, iOS 17",https://www.materiel.net/produit/202309130066.html,https://media.materiel.net/r250/products/MN0006065389.jpg
Apple iPhone 13 (Rose) - 128 Go,Apple,639€00,"iPhone 13, Rose, 128 Go, 6,1 pouces, iOS 15",https://www.materiel.net/produit/202201130062.html,https://media.materiel.net/r250/products/MN0005886251_1_0005930269.jpg
Apple iPhone 15 Pro (Titane bleu) - 128 Go,Apple,1 109€00,"iPhone 15 Pro, Titane bleu, 128 Go, 6,1 pouces, iOS 17",https://www.materiel.net/produit/202309130051.html,https://media.materiel.net/r250/products/MN0006064926.jpg
Apple iPhone 15 Pro (Titane noir) - 256 Go,Apple,1 239€00,"iPhone 15 Pro, Titane noir, 256 Go, 6,1 pouces, iOS 17",https://www.materiel.net/produit/202309130052.html,https://media.materiel.net/r250/products/MN0006064872_0006064936.jpg
Apple iPhone 15 Pro (Titane blanc) - 256 Go,Apple,1 239€00,"iPhone 15 Pro, Titane blanc, 256 Go, 6,1 pouces, iOS 17",https://www.materiel.net/produit/202309130053.html,https://media.materiel.net/r250/products/MN0006064887_0006064947.jpg
Apple iPhone 15 Pro Max (Titane bleu) - 256 Go,Apple,1 359€00,"iPhone 15 Pro Max, Titane bleu, 256 Go, 6,7 pouces, iOS 17",https://www.materiel.net/produit/202309130067.html,https://media.materiel.net/r250/products/MN0006065407.jpg
Apple iPhone 13 (PRODUCT)RED - 128 Go,Apple,639€00,"iPhone 13, (PRODUCT)RED, 128 Go, 6,1 pouces, iOS 15",https://www.materiel.net/produit/202201130063.html,https://media.materiel.net/r250/products/MN0005886292_1_0005933617.jpg
Apple iPhone 14 Minuit - 128 Go,Apple,759€00,"iPhone 14, Minuit, 128 Go, 6,1 pouces, iOS 16",https://www.materiel.net/produit/202209080101.html,https://media.materiel.net/r250/products/MN0005977835.jpg
Apple iPhone 15 Plus Bleu - 128 Go,Apple,1 009€00,"iPhone 15, Bleu, 128 Go, 6,7 pouces, iOS 17",https://www.materiel.net/produit/202309130036.html,https://media.materiel.net/r250/products/MN0006064418_0006064581.jpg
Apple iPhone 15 Noir - 128 Go,Apple,859€00,"iPhone 15, Noir, 128 Go, 6,1 pouces, iOS 17",https://www.materiel.net/produit/202309130018.html,https://media.materiel.net/r250/products/MN0006064203.jpg
