Nom,Marque,Prix,Description,Url,Url_image
PC GamerASUSROG STRIX G18 G814JIR-N6082W,ASUS,"2699,00€","Processeur : Intel Core i9-14900HXCarte graphique : NVIDIA GeForce RTX 4070Ecran : 18"" (45,72 cm) -
              
            
              
              Mémoire vive (RAM) : 32 GoStockage : SSD 1 To (en PCi-Express)Le + :Le confort de son écran 18 pouces à bords fins et son rafraîchissement à 240 Hz",/ref/1200568,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711387475515_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Ordinateur portableASUSVivobook 16 S1605VA-MB571W,ASUS,"999,00€","Ecran : 16"" (40,64 cm)Processeur : Intel Core i7 13700HStockage : SSD 1 To (en PCi-Express) -
              
            
              
              Mémoire vive : 24 GoContrôleur graphique : Intel Iris Xe GraphicsLe + :Robustesse extrême, testé selon les normes militaires US pour une durabilité maximale.",/ref/1199777,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711387430705_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Ordinateur portableASUSVivobook 15 S1504ZA-NJ191W,ASUS,"599,00€","Ecran : 15,6"" (39,6 cm)Processeur : Intel Core i5 1235UStockage : SSD 512 Go (en PCi-Express) -
              
            
              
              Mémoire vive : 16 GoContrôleur graphique : Intel Iris Xe GraphicsLe + :Robustesse extrême, testé selon les normes militaires US pour une durabilité maximale.",/ref/1199794,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711387430798_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
,,,,,
Ordinateur portableASUSVivobook S1704ZA-AU252W,ASUS,"799,00€","Ecran : 17,3"" (43,9 cm)Processeur : Intel Core i7 1255UStockage : SSD 512 Go (en PCi-Express) -
              
            
              
              Mémoire vive : 16 GoContrôleur graphique : Intel Iris Xe GraphicsLe + :Le confort de son écran 17"" Full HD avec son traitement anti-reflet",/ref/1199796,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711387430965_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
SmartphoneASUSZenfone 11 Ultra noir 512Go,ASUS,"999,00€","Ecran : large 6,7"" soit 17 cmMémoire interne : 512 GoCapteurs photos : 3 (50 MP en capteur principal)Mémoire RAM : 16 Go -
              
            
              
              Processeur : Qualcomm Snapdragon 8 Gen 3Le + :L'innovation de l'IA pour faciliter votre vie.",/ref/1203123,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711387473511_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Console PortableASUSROG Ally Z1 Extreme 512Go,ASUS,"699,99€","Ecran : 7"" tactile -
              
            
              IPS -
              
            
              
              120 HzAMD Ryzen Z1 EXTREME -
              
            
              
              16 GoCarte graphique : AMD Radeon Navi3, 2 GoStockage : 512 Go -
              
            
              
              PCIELe + :Profitez d'un processeur plus puissant avec l'AMD Ryzen Z1 EXTREME",/ref/1190784,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711387155547_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
,,,,,
PC GamerASUSTUF F17 TUF707ZC4-HX028W,ASUS,"899,00€","Processeur : Intel Core i5 12500HCarte graphique : NVIDIA GeForce RTX 3050Ecran : 17,3"" (43,9 cm) -
              
            
              
              Mémoire vive (RAM) : 16 GoStockage : SSD 512 Go (en PCi-Express)Le + :Son écran au bord fin avec une fréquence de rafraichissement de 144Hz",/ref/1197934,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711387374955_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Ecran PC GamerASUSTUF VG249QL3A Plat 24'' IPS,ASUS,"179,99€","Taille : 24"" (61 cm) -
              
            
              
              Résolution : 1920 x 1080 pixelsFréquence : 180 Hz -
              
            
              
              Temps de réponse : 1 msDéfinition : Full HD -
              
            
              
              Type de dalle : IPSIdéal : pour se divertir et jouerLe + :Son pied ajustable en hauteur",/ref/1197680,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711387262191_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Ordinateur portableASUSVivobook N6506MW-MA076W,ASUS,"1999,00€","Ecran : 15,6"" (39,6 cm)Processeur : Intel Core Ultra 9 185HStockage : SSD 1 To (en PCi-Express) -
              
            
              
              Mémoire vive : 24 GoCarte graphique : NVIDIA GeForce RTX 4060 -
              
            
              
              Contrôleur graphique : Intel Arc GraphicsLe + :Nouveau processeur Intel Core Ultra : IA avancée et équilibre entre autonomie et performance.",/ref/1199795,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711387430866_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Ordinateur portableASUSN3704VA-AU032W,ASUS,"1199,00€","Ecran : 17,3"" (43,9 cm)Processeur : Intel Core i9 13900HStockage : SSD 1 To (en PCi-Express) -
              
            
              
              Mémoire vive : 16 GoContrôleur graphique : Intel Iris Xe GraphicsLe + :Son processeur Intel Core i9 et son écran LED Full HD",/ref/1190078,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711387166895_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Ecran PC GamerASUSTUF VG34VQL1B Incurvé 34'' VA,ASUS,"399,99€","Taille : 34"" (86 cm) -
              
            
              
              Résolution : 3440 x 1440 pixelsFréquence : 165 Hz -
              
            
              
              Temps de réponse : 1 msDéfinition : WQHD -
              
            
              
              Type de dalle : VAIdéal : pour se divertir et jouerLe + :Supporte le Full HD @120Hz sur les nouvelles consoles PS5 et Xbox Series X/S",/ref/1167943,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4718017927222_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
PC GamerASUSROG ZEPHYRUS G16 GU605MI-OLED,ASUS,"2999,00€","Processeur : Intel Core Ultra 9 185HCarte graphique : NVIDIA GeForce RTX 4070Ecran : 16"" (40,64 cm) -
              
            
              
              Mémoire vive (RAM) : 32 GoStockage : SSD 1 To (en PCi-Express)Le + :Sa carte graphique Nvidia GeForce RTX 4070",/ref/1200548,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711387475768_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
PC GamerASUSPack ROG STRIX G17 G713PV + souris,ASUS,"1499,00€","Processeur : AMD Ryzen 9 7845HXCarte graphique : NVIDIA GeForce RTX 4060Ecran : 17,3"" (43,9 cm) -
              
            
              
              Mémoire vive (RAM) : 16 GoStockage : SSD 512 Go (en PCi-Express)Le + :Son écran Full HD et sa carte graphique Nvidia GeForce RTX 4060",/ref/1193860,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711387312315_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Ordinateur portableASUSVivobook S1404FA-NK435W,ASUS,"599,00€","Ecran : 14"" (35,6 cm)Processeur : AMD Ryzen 5 7520UStockage : SSD 512 Go (en PCi-Express) -
              
            
              
              Mémoire vive : 16 GoContrôleur graphique : AMD Radeon GraphicsLe + :Un pack comprenant un sac et une souris",/ref/1199792,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711387430712_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
PC GamerASUSROG SCAR 16 G634JYR-RA074W,ASUS,"4799,00€","Processeur : Intel Core i9-14900HXCarte graphique : NVIDIA GeForce RTX 4090Ecran : 16"" (40,64 cm) -
              
            
              
              Mémoire vive (RAM) : 64 GoStockage : SSD 2 To (en PCi-Express)Le + :Son écran de 16 pouces à bords fins avec une fréquence de rafraîchissement de 240 Hz",/ref/1200579,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711387475690_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
Ecran PC 4KASUSProArt PA32DC,ASUS,"3999,99€","Taille : 32"" (80 cm) -
              
            
              
              Résolution : 3840 x 2160 pixelsFréquence : 60 Hz -
              
            
              
              Temps de réponse : 0,1 msDéfinition : 4KIdéal : pour la création graphique et vidéoLe + :Des détails et une qualité d'image époustouflants grâce au 4k et au Dolby vision",/ref/1186923,"https://boulanger.comhttps://boulanger.scene7.com/is/image/Boulanger/4711081560883_h_f_l_0?wid=120&hei=120&resMode=sharp2&op_usm=1.75,0.3,2,0"
