Nom,Marque,Prix,Description,Url,Url_image
PRIME H510M-K R2.0,Asus,74€99,Utilisation : BureautiqueSocket : INTEL LGA1200Socket : INTEL LGA1200(2021)Format Carte-mère : Micro-ATXConnectivité : Sans WifiNombre de barrettes RAM : 2Norme Mémoire RAM : DDR4LED : Non RGB,https://www.cybertek.fr/carte-mere/asus-prime-h510m-k-r2-0-134389.aspx,https://www.cybertek.fr/images_produits/12fd686d-82d9-442a-8dff-b445aa7bf967.jpg
DUAL RTX 4060 Ti O8G,Asus,454€99,Utilisation : GamerConstructeur GPU : NVIDIAGPU : NVIDIA GF RTX 4060 TiSorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 8GoRefroidissement : ActifLongueur GPU : 230 mm,https://www.cybertek.fr/carte-graphique/asus-dual-rtx-4060-ti-o8g-133673.aspx,https://www.cybertek.fr/images_produits/ee03e45c-da0c-4fe9-9a23-ed8f05a71d8a.jpg
GeForce RTX 4060 DUAL O8G,Asus,354€99,Utilisation : GamerConstructeur GPU : NVIDIAGPU : NVIDIA GF RTX 4060Sorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 8GoRefroidissement : ActifLongueur GPU : 230 mm,https://www.cybertek.fr/carte-graphique/asus-geforce-rtx-4060-dual-o8g-134574.aspx,https://www.cybertek.fr/images_produits/121e0e9a-5008-47b7-9107-0ab11eff2b7d.jpg
PRIME B660-PLUS D4,Asus,129€99,Utilisation : ProUtilisation : MultimédiaSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : Sans WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR4LED : Non RGB,https://www.cybertek.fr/carte-mere/asus-prime-b660-plus-d4-99318.aspx,https://www.cybertek.fr/images_produits/40ee06b3-9609-4578-bf87-279fa42a5d0f.jpg
Adaptateur secteur pour Notebook ASUS 65W,Port,39€90,Type : Adaptateur Alim.,https://www.cybertek.fr/accessoire-pc-portable/port-adaptateur-secteur-pour-notebook-asus-65w-116204.aspx,https://www.cybertek.fr/images_produits/ead8746b-1371-403f-b3a7-160445d977d4.jpg
Adaptateur USB pour Bluetooth V5.0 USB-BT500,Asus,19€90,Connecteur 2 : BluetoothConnecteur 1 : USB 3.0Longueur Câble : 0.0m,https://www.cybertek.fr/connectique-pc/asus-adaptateur-usb-pour-bluetooth-v5-0-usb-bt500-47653.aspx,https://www.cybertek.fr/images_produits/ae1d439f-25c4-47a7-9372-391f7225483b.jpg
PRIME B760-PLUS D4,Asus,154€99,Utilisation : BureautiqueUtilisation : GamerSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : Sans WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR4LED : RGB,https://www.cybertek.fr/carte-mere/asus-prime-b760-plus-d4-129240.aspx,https://www.cybertek.fr/images_produits/51d6c4a8-dc3a-4d61-bb51-cfdfa1bc3d51.jpg
Chargeur secteur ASUS 100% compatible 90W,Port,49€99,Type : Adaptateur Alim.,https://www.cybertek.fr/accessoire-pc-portable/port-chargeur-secteur-asus-100-compatible-90w-46474.aspx,https://www.cybertek.fr/images_produits/afd91f83-9dcc-4830-ba57-58fead9975e5.jpg
VivoBook 17 X1701CEA-BX893W - Sacoche et Souris inclus,Asus,549€90,"Utilisation : BureautiqueTaille PC Portable : 17.3""Résolution : 1600x900Mémoire RAM : 8 GoProcesseur : INTEL Core i3SSD : SSD 480/512 GoOS : Windows 11Chipset graphique : Intel Intégré",https://www.cybertek.fr/pc-portable/asus-vivobook-17-x1701cea-bx893w-sacoche-et-souris-inclus-135158.aspx,https://www.cybertek.fr/images_produits/97f05189-dacc-479f-9a7c-d2d1e9d3933d.png
TUF GAMING B760-PLUS WIFI D4,Asus,199€90,Utilisation : BureautiqueUtilisation : GamerSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR4LED : RGB,https://www.cybertek.fr/carte-mere/asus-tuf-gaming-b760-plus-wifi-d4-129239.aspx,https://www.cybertek.fr/images_produits/95f3c0e0-3b7e-4440-9581-01eb5242ae6d.jpg
