Nom,Marque,Prix,Description,Url,Url_image
"TUF GAMING F15 TUF507ZU4-LP013W - 15.6"" FHD 144Hz i7-12700H RTX 4050 16Go 512Go W11",Asus,1159€90,"Utilisation : GamerTaille PC Portable : 15.6""Résolution : 1920x1080Mémoire RAM : 16 GoProcesseur : INTEL Core i7SSD : SSD 480/512 GoOS : Windows 11Chipset graphique : RTX 4050",https://www.grosbill.com/pc-portable/asus-tuf-gaming-f15-tuf507zu4-lp013w-15-6-fhd-144hz-i7-12700h-rtx-4050-16go-512go-w11-131759.aspx,https://www.grosbill.com/images_produits/694a04f0-79a1-41ad-88f8-fb9237fa877a.jpg
PRIME H510M-K R2.0,Asus,69€99,Utilisation : BureautiqueSocket : INTEL LGA1200Socket : INTEL LGA1200(2021)Format Carte-mère : Micro-ATXConnectivité : Sans WifiNombre de barrettes RAM : 2Norme Mémoire RAM : DDR4LED : Non RGB,https://www.grosbill.com/carte-mere/asus-prime-h510m-k-r2-0-134389.aspx,https://www.grosbill.com/images_produits/12fd686d-82d9-442a-8dff-b445aa7bf967.jpg
DUAL-RTX3050-O8G-V2 - RTX3050/8G/HDMI/DP,Asus,269€99,Utilisation : BureautiqueUtilisation : GamerConstructeur GPU : NVIDIAGPU : NVIDIA GF RTX 3050Sorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 8GoRefroidissement : Actif,https://www.grosbill.com/carte-graphique/asus-dual-rtx3050-o8g-v2-rtx3050-8g-hdmi-dp-135202.aspx,https://www.grosbill.com/images_produits/87450b6b-c55b-4769-9a1f-3d01061784a6.png
SATA DVD+/-RW DL Noir,Asus,27€99,Type de graveur : DVDType de graveur : CDEmplacement : InterneInterface : SATACouleur : Noir,https://www.grosbill.com/graveur/asus-sata-dvd-rw-dl-noir-13618.aspx,https://www.grosbill.com/images_produits/ce62b9ca-444e-4f62-8f68-84c9b85cba72.jpg
DUAL RTX 4060 Ti O8G,Asus,449€99,Utilisation : GamerConstructeur GPU : NVIDIAGPU : NVIDIA GF RTX 4060 TiSorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 8GoRefroidissement : ActifLongueur GPU : 230 mm,https://www.grosbill.com/carte-graphique/asus-dual-rtx-4060-ti-o8g-133673.aspx,https://www.grosbill.com/images_produits/ee03e45c-da0c-4fe9-9a23-ed8f05a71d8a.jpg
TUF GAMING B760-PLUS WIFI - LGA1700/DDR5/ATX,Asus,186€99,Utilisation : BureautiqueUtilisation : GamerSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR5LED : RGB,https://www.grosbill.com/carte-mere/asus-tuf-gaming-b760-plus-wifi-lga1700-ddr5-atx-137003.aspx,https://www.grosbill.com/images_produits/bdc0190b-09f8-4e82-968e-c9f3df6410de.jpg
PRIME B660-PLUS D4,Asus,129€99,Utilisation : ProUtilisation : MultimédiaSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : Sans WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR4LED : Non RGB,https://www.grosbill.com/carte-mere/asus-prime-b660-plus-d4-99318.aspx,https://www.grosbill.com/images_produits/40ee06b3-9609-4578-bf87-279fa42a5d0f.jpg
GeForce RTX 4060 DUAL O8G,Asus,349€99,Utilisation : GamerConstructeur GPU : NVIDIAGPU : NVIDIA GF RTX 4060Sorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 8GoRefroidissement : ActifLongueur GPU : 230 mm,https://www.grosbill.com/carte-graphique/asus-geforce-rtx-4060-dual-o8g-134574.aspx,https://www.grosbill.com/images_produits/121e0e9a-5008-47b7-9107-0ab11eff2b7d.jpg
PRIME B760M-A WIFI D4,Asus,163€99,Utilisation : BureautiqueUtilisation : GamerSocket : INTEL LGA1700Format Carte-mère : Micro-ATXConnectivité : WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR4LED : RGB,https://www.grosbill.com/carte-mere/asus-prime-b760m-a-wifi-d4-129244.aspx,https://www.grosbill.com/images_produits/f40f46a0-3ae2-42d7-82a7-a6e1d7c5f873.jpg
PRIME B650-PLUS,Asus,184€90,Utilisation : BureautiqueUtilisation : GamerSocket : AMD AM5Format Carte-mère : ATXConnectivité : Sans WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR5LED : Non RGB,https://www.grosbill.com/carte-mere/asus-prime-b650-plus-128818.aspx,https://www.grosbill.com/images_produits/2554e735-4da5-439f-aded-d1e0774af5bb.jpg
PRIME B760-PLUS D4,Asus,139€99,Utilisation : BureautiqueUtilisation : GamerSocket : INTEL LGA1700Format Carte-mère : ATXConnectivité : Sans WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR4LED : RGB,https://www.grosbill.com/carte-mere/asus-prime-b760-plus-d4-129240.aspx,https://www.grosbill.com/images_produits/51d6c4a8-dc3a-4d61-bb51-cfdfa1bc3d51.jpg
GeForce ROG Strix RTX 4090 O24G GAMING,Asus,2249€99,Utilisation : GamerUtilisation : ProConstructeur GPU : NVIDIAGPU : NVIDIA GF RTX 4090Sorties vidéo GPU : HDMISorties vidéo GPU : DisplayPortMémoire GPU : 24GoRefroidissement : Actif,https://www.grosbill.com/carte-graphique/asus-geforce-rog-strix-rtx-4090-o24g-gaming-126366.aspx,https://www.grosbill.com/images_produits/ebda038e-02f8-46f8-8efb-43b096b39d1c.jpg
Chargeur secteur ASUS 100% compatible 90W,Port,44€90,Type : Adaptateur Alim.,https://www.grosbill.com/accessoire-pc-portable/port-chargeur-secteur-asus-100-compatible-90w-46474.aspx,https://www.grosbill.com/images_produits/afd91f83-9dcc-4830-ba57-58fead9975e5.jpg
VivoBook 17 X1701CEA-BX893W - Sacoche et Souris inclus,Asus,529€90,"Utilisation : BureautiqueTaille PC Portable : 17.3""Résolution : 1600x900Mémoire RAM : 8 GoProcesseur : INTEL Core i3SSD : SSD 480/512 GoOS : Windows 11Chipset graphique : Intel Intégré",https://www.grosbill.com/pc-portable/asus-vivobook-17-x1701cea-bx893w-sacoche-et-souris-inclus-135158.aspx,https://www.grosbill.com/images_produits/97f05189-dacc-479f-9a7c-d2d1e9d3933d.png
Adaptateur USB pour Bluetooth V5.0 USB-BT500,Asus,14€99,Connecteur 2 : BluetoothConnecteur 1 : USB 3.0Longueur Câble : 0.0m,https://www.grosbill.com/connectique-pc/asus-adaptateur-usb-pour-bluetooth-v5-0-usb-bt500-47653.aspx,https://www.grosbill.com/images_produits/ae1d439f-25c4-47a7-9372-391f7225483b.jpg
TUF GAMING B550-PLUS WIFI II,Asus,168€99,Utilisation : BureautiqueUtilisation : GamerSocket : AMD AM4Format Carte-mère : ATXConnectivité : WifiNombre de barrettes RAM : 4Norme Mémoire RAM : DDR4LED : RGB,https://www.grosbill.com/carte-mere/asus-tuf-gaming-b550-plus-wifi-ii-109629.aspx,https://www.grosbill.com/images_produits/08c558bf-fa3d-4944-bbcc-46fe58dd26a2.jpg
"ProArt PA278QV - 27"" QHD 100% sRGB & Rec709",Asus,294€90,"Utilisation : ProUtilisation : Art GraphiqueTaille : 27""Résolution : 2560x1440Type d'écran : PlatTemps de Réponse : 5 msSync Techno. : NonType de Dalle : LED IPS / PLS",https://www.grosbill.com/ecran-pc/asus-proart-pa278qv-27-qhd-100-srgb-rec709-56832.aspx,https://www.grosbill.com/images_produits/eefe5346-c7d0-400a-a7ea-7409cd1216f3.jpg
