Nom,Marque,Prix,Description,Url,Url_image
Asus TUF VG279Q1A,Asus,209€95,"27"", IPS, 16:9, 1920 x 1080 (FHD), 1 ms, 165 Hz, FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202007070027.html,https://media.materiel.net/r250/products/MN0005697875_1.jpg
Asus PCE-AX1800,Asus,39€95,"PCI-Express, Sans fil (Wi-Fi 6), Bluetooth 5.2",https://www.materiel.net/produit/202202240027.html,https://media.materiel.net/r250/products/MN0005934187_1.jpg
Asus TUF GAMING B760-PLUS WIFI,Asus,205€95,Intel B760 - Socket LGA1700 - ATX - Wi-Fi 6ax - Compatible processeurs Intel Core 12 et 13ème génération - Support DDR5,https://www.materiel.net/produit/202307180094.html,https://media.materiel.net/r250/products/MN0006055304.jpg
Asus TUF VG27AQ,Asus,309€90,"27"", IPS, 16:9, 2560 x 1440 (WQHD), 1 ms, 165 Hz, HDR, FreeSync/G-Sync, HDMI/DisplayPort",https://www.materiel.net/produit/201908290045.html,https://media.materiel.net/r250/products/MN0005748171_1.jpg
Asus GeForce RTX 4060 Ti DUAL OC,Asus,459€95,"GeForce RTX 4060 Ti, PCI-Express 4.0 x8, 8 Go GDDR6, DLSS 3",https://www.materiel.net/produit/202305100029.html,https://media.materiel.net/r250/products/MN0006038623.jpg
ASUS Zenbook Pro 15 OLED UM3504DA-MA447W,ASUS,999€95,"PC portable, 15.6"", OLED, 2880 x 1620, 120 Hz, Ryzen 7 7735U, RAM 16 Go, SSD 1 To, Windows 11, 1,40 kg",https://www.materiel.net/produit/202310310115.html,https://media.materiel.net/r250/products/MN0006035321_0006104852.jpg
Asus PCE-AX3000,Asus,49€96,"PCI-Express, Sans fil (Wi-Fi 6)",https://www.materiel.net/produit/202011060086.html,https://media.materiel.net/r250/products/MN0005764084_1.jpg
Asus PRIME B760-PLUS,Asus,164€95,Intel B760 - Socket LGA1700 - ATX - Compatible processeurs Intel Core 12 et 13ème génération - Support DDR5,https://www.materiel.net/produit/202307180093.html,https://media.materiel.net/r250/products/MN0006055359.jpg
ASUS Vivobook 16 S1605VA-MB574W,ASUS,999€95,"PC portable, 16"", IPS, Full HD+, 16:10, 60 Hz, Core i9-13900H, RAM 24 Go, SSD 1 To, Windows 11, 1,88 kg",https://www.materiel.net/produit/202310310110.html,https://media.materiel.net/r250/products/MN0006095848_0006103730.jpg
Asus VG27AQ3A,Asus,279€95,"27"", IPS, 16:9, 2560 x 1440 (WQHD), 1 ms, 180 Hz, HDR, G-Sync/FreeSync, HDMI/DisplayPort",https://www.materiel.net/produit/202306200022.html,https://media.materiel.net/r250/products/MN0006053285.jpg
Asus PRIME B650-Plus,Asus,189€95,AMD B650 - Socket AM5 - ATX - Raphael - Compatible processeurs AMD Ryzen 7000,https://www.materiel.net/produit/202210070071.html,https://media.materiel.net/r250/products/MN0005986148.jpg
Asus ROG Swift OLED PG32UCDM,Asus,1 499€95,"31.5"", QD-OLED, 16:9, 3840 x 2160 (4K UHD), 0.03 ms, 240 Hz, HDR, FreeSync/G-Sync, HDMI/DisplayPort/USB-C",https://www.materiel.net/produit/202403050008.html,https://media.materiel.net/r250/products/MN0006114933.jpg
